estimand,dataset,score,n_folds,n_unique_perturbations,spearman_fold_macro
e140_fold_macro_perturbation_cluster,Frangieh,safeconf_calibrated_pair_risk,3,189,0.25300639357974863
e140_fold_macro_perturbation_cluster,Frangieh,risk_model_disagreement,3,189,0.13729477247694932
e140_fold_macro_perturbation_cluster,Frangieh,baseline_predicted_magnitude,3,189,0.14814820954296473
e140_fold_macro_perturbation_cluster,Lara_exvivo,safeconf_calibrated_pair_risk,5,31,0.38712458896602125
e140_fold_macro_perturbation_cluster,Lara_exvivo,risk_model_disagreement,5,31,0.17609791742784073
e140_fold_macro_perturbation_cluster,Lara_exvivo,baseline_predicted_magnitude,5,31,0.147504567044209
e140_fold_macro_perturbation_cluster,Liang,safeconf_calibrated_pair_risk,9,18,0.21240226395970885
e140_fold_macro_perturbation_cluster,Liang,risk_model_disagreement,9,18,0.07455052105202883
e140_fold_macro_perturbation_cluster,Liang,baseline_predicted_magnitude,9,18,0.0741984875282581
e140_fold_macro_perturbation_cluster,Nadig_two_cellline,safeconf_calibrated_pair_risk,2,96,0.23096595136423118
e140_fold_macro_perturbation_cluster,Nadig_two_cellline,risk_model_disagreement,2,96,0.2302462918879326
e140_fold_macro_perturbation_cluster,Nadig_two_cellline,baseline_predicted_magnitude,2,96,0.4025790835011902
e140_fold_macro_perturbation_cluster,Santinha,safeconf_calibrated_pair_risk,5,23,0.06459306321087302
e140_fold_macro_perturbation_cluster,Santinha,risk_model_disagreement,5,23,-0.1268054298642534
e140_fold_macro_perturbation_cluster,Santinha,baseline_predicted_magnitude,5,23,-0.08930316742081448
e140_fold_macro_perturbation_cluster,Shifrut,safeconf_calibrated_pair_risk,4,20,0.17268196919359713
e140_fold_macro_perturbation_cluster,Shifrut,risk_model_disagreement,4,20,0.05134400483237693
e140_fold_macro_perturbation_cluster,Shifrut,baseline_predicted_magnitude,4,20,0.2086982784657203
e140_fold_macro_perturbation_cluster,Tian_CRISPRi,safeconf_calibrated_pair_risk,4,99,0.13421641615690086
e140_fold_macro_perturbation_cluster,Tian_CRISPRi,risk_model_disagreement,4,99,-0.017868402089713565
e140_fold_macro_perturbation_cluster,Tian_CRISPRi,baseline_predicted_magnitude,4,99,0.06673836676509522
