dataset,estimand,analysis,effect,n_independent_clusters,rho_safeconf,rho_comparator,delta_rho_safe_minus_comparator,yi_fisher_z,sei,sei_source
Frangieh,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,189,0.25300639357974863,0.25300639357974863,0.0,0.2586222157067062,0.03233719909652727,perturbation_cluster_bootstrap_fisher_z
Frangieh,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,189,0.25300639357974863,0.13729477247694932,0.11571162110279931,0.1381673245958228,0.04366200122436616,perturbation_cluster_bootstrap_fisher_z
Frangieh,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,189,0.25300639357974863,0.14814820954296473,0.1048581840367839,0.14924655705053924,0.044567244934753864,perturbation_cluster_bootstrap_fisher_z
Frangieh,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,189,0.25300639357974863,0.13729477247694932,0.11571162110279931,0.1204548911108834,0.041232480688738284,paired_cluster_bootstrap_delta_fisher_z
Frangieh,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,189,0.25300639357974863,0.14814820954296473,0.1048581840367839,0.10937565865616694,0.040958959846090374,paired_cluster_bootstrap_delta_fisher_z
Frangieh,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,567,0.26191552366403204,0.26191552366403204,0.0,0.2681639088857707,0.04210759605332595,classical_fisher_z_context_tasks_sensitivity
Frangieh,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,567,0.26191552366403204,0.13876960230167815,0.12314592136235389,0.13967080026286138,0.04210759605332595,classical_fisher_z_context_tasks_sensitivity
Frangieh,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,567,0.26191552366403204,0.1867436789300125,0.07517184473401953,0.18896104655996215,0.04210759605332595,classical_fisher_z_context_tasks_sensitivity
Frangieh,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,567,0.26191552366403204,0.13876960230167815,0.12314592136235389,0.1284931086229093,0.04740174048613006,paired_cluster_bootstrap_delta_fisher_z
Frangieh,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,567,0.26191552366403204,0.1867436789300125,0.07517184473401953,0.07920286232580853,0.04709682996062982,paired_cluster_bootstrap_delta_fisher_z
Lara_exvivo,e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,31,0.38712458896602125,0.38712458896602125,0.0,0.40841328593172355,0.10245420210327554,perturbation_cluster_bootstrap_fisher_z
Lara_exvivo,e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,31,0.38712458896602125,0.17609791742784073,0.21102667153818053,0.17795284854639837,0.11065308032379655,perturbation_cluster_bootstrap_fisher_z
Lara_exvivo,e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,31,0.38712458896602125,0.147504567044209,0.23962002192181225,0.1485885350075102,0.1125679613493535,perturbation_cluster_bootstrap_fisher_z
Lara_exvivo,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,31,0.38712458896602125,0.17609791742784073,0.21102667153818053,0.23046043738532518,0.05544561855829941,paired_cluster_bootstrap_delta_fisher_z
Lara_exvivo,e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,31,0.38712458896602125,0.147504567044209,0.23962002192181225,0.2598247509242133,0.0584307775363482,paired_cluster_bootstrap_delta_fisher_z
Lara_exvivo,pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,155,0.31005446166736483,0.31005446166736483,0.0,0.32060566229972143,0.08111071056538127,classical_fisher_z_context_tasks_sensitivity
Lara_exvivo,pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,155,0.31005446166736483,0.3336985595050111,-0.02364409783764626,0.34698452602792207,0.08111071056538127,classical_fisher_z_context_tasks_sensitivity
Lara_exvivo,pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,155,0.31005446166736483,0.2846250523669879,0.02542940930037696,0.2927076795912692,0.08111071056538127,classical_fisher_z_context_tasks_sensitivity
Lara_exvivo,pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,155,0.31005446166736483,0.3336985595050111,-0.02364409783764626,-0.02637886372820064,0.08442561121029128,paired_cluster_bootstrap_delta_fisher_z
