dataset,estimand,metric,observed,n_valid_draws,bootstrap_median,ci95_low,ci95_high,p_gt_zero
Frangieh,e140_fold_macro_context_task_cluster,rho__safeconf_calibrated_pair_risk,0.25300639357974863,3000,0.25170877065057795,0.19307705375494327,0.3107063956135195,1.0
Frangieh,e140_fold_macro_context_task_cluster,rho__risk_model_disagreement,0.13729477247694932,3000,0.13614717951165847,0.07054032481824297,0.2022104981729582,1.0
Frangieh,e140_fold_macro_context_task_cluster,rho__baseline_predicted_magnitude,0.14814820954296473,3000,0.14696718217372393,0.08006278814973121,0.2140901918756093,0.9996666666666667
Frangieh,e140_fold_macro_context_task_cluster,delta_rho__safe_minus_disagreement,0.11571162110279931,3000,0.11447191957496236,0.03722826364503935,0.19167053949590349,0.998
Frangieh,e140_fold_macro_context_task_cluster,delta_rho__safe_minus_magnitude,0.1048581840367839,3000,0.10433140898810575,0.026414156653381662,0.18273786519913715,0.9956666666666667
Frangieh,e140_fold_macro_context_task_cluster,delta_z__safe_minus_disagreement,0.1204548911108834,3000,0.11935367389996002,0.03864659612355927,0.19943750297349003,0.998
Frangieh,e140_fold_macro_context_task_cluster,delta_z__safe_minus_magnitude,0.10937565865616694,3000,0.10895500850467592,0.02762276058979102,0.19082910182548646,0.9956666666666667
Frangieh,e140_fold_macro_perturbation_cluster,rho__safeconf_calibrated_pair_risk,0.25300639357974863,3000,0.2534752694184996,0.1939862105078804,0.3160133853551233,1.0
Frangieh,e140_fold_macro_perturbation_cluster,rho__risk_model_disagreement,0.13729477247694932,3000,0.13660807987139412,0.05651663312036893,0.22043778438760905,0.9996666666666667
Frangieh,e140_fold_macro_perturbation_cluster,rho__baseline_predicted_magnitude,0.14814820954296473,3000,0.14861267117798346,0.0646494594507755,0.23505745015694024,1.0
Frangieh,e140_fold_macro_perturbation_cluster,delta_rho__safe_minus_disagreement,0.11571162110279931,3000,0.11685061289512823,0.03829460384514428,0.19248960245002203,0.998
Frangieh,e140_fold_macro_perturbation_cluster,delta_rho__safe_minus_magnitude,0.1048581840367839,3000,0.10540002407644329,0.027731060944465938,0.18340773720088205,0.9963333333333333
Frangieh,e140_fold_macro_perturbation_cluster,delta_z__safe_minus_disagreement,0.1204548911108834,3000,0.12179843880724373,0.03975481649844859,0.19972114284002865,0.998
Frangieh,e140_fold_macro_perturbation_cluster,delta_z__safe_minus_magnitude,0.10937565865616694,3000,0.10989064955524902,0.02899516972853537,0.1895646063324854,0.9963333333333333
Frangieh,pooled_context_task_median_sensitivity,rho__safeconf_calibrated_pair_risk,0.26191552366403204,3000,0.2618082601318075,0.18495766791838952,0.3369523786027433,1.0
