fold_id,context,perturbation,split,setting,n_cells,predicted_magnitude,model_disagreement,context_novelty,perturbation_novelty,magnitude_percentile,disagreement_percentile,context_novelty_percentile,perturbation_novelty_percentile,safeconf_structural_proxy,e218_transfer_router,test_truth_used_for_features,error_source_rmse,error_ridge_rmse,error_two_predictor_mean_rmse,error_no_change_rmse
Papalexi_holdout_rep1,rep1,CMTM6,test,context_and_perturbation_unseen,345,0.026578711,0.030035043,0.0158383250236511,1.0,0.5945945945945946,0.5675675675675675,0.6891891891891891,0.7837837837837838,0.6801801801801801,0.6373873873873874,False,0.04463875593889759,0.029471220740882317,0.037054988339889953,0.022388761339327504
Papalexi_holdout_rep1,rep1,CUL3,test,context_and_perturbation_unseen,136,0.022372147,0.016720463,0.0158383250236511,1.0,0.5405405405405406,0.1621621621621621,0.6891891891891891,0.7837837837837838,0.545045045045045,0.5427927927927928,False,0.06251504060875515,0.06188747094034928,0.06220125577455221,0.05643967641273421
Papalexi_holdout_rep1,rep1,IRF1,test,context_and_perturbation_unseen,610,0.020252392,0.023589866,0.0158383250236511,1.0,0.4324324324324324,0.3243243243243243,0.6891891891891891,0.7837837837837838,0.5990990990990991,0.5157657657657657,False,0.06101111296166393,0.06487986904763811,0.06294549100465102,0.060422177963618595
Papalexi_holdout_rep1,rep1,IRF7,test,context_and_perturbation_unseen,317,0.019321684,0.033919424,0.0158383250236511,1.0,0.3783783783783784,0.6756756756756757,0.6891891891891891,0.7837837837837838,0.7162162162162162,0.5844594594594595,False,0.02706479537741057,0.042251720847777556,0.03465825811259406,0.025845858198960677
Papalexi_holdout_rep1,rep1,STAT1,test,context_and_perturbation_unseen,248,0.021302383,0.015401004,0.0158383250236511,1.0,0.5135135135135135,0.054054054054054,0.6891891891891891,0.7837837837837838,0.509009009009009,0.5135135135135135,False,0.12444255448606593,0.12421270912840311,0.12432763180723452,0.14055166668276958
Papalexi_holdout_rep1,rep1,ATF2,test,context_unseen,481,0.016618146,0.023793297,0.0158383250236511,0.5,0.1351351351351351,0.3513513513513513,0.6891891891891891,0.4729729729729729,0.5045045045045046,0.3468468468468469,False,0.029760850216762665,0.02472362987894951,0.027242240047856088,0.01870298159063726
Papalexi_holdout_rep1,rep1,BRD4,test,context_unseen,122,0.03391739,0.031916875,0.0158383250236511,0.3333333333333333,0.7027027027027027,0.6216216216216216,0.6891891891891891,0.2027027027027027,0.5045045045045045,0.7027027027027027,False,0.0470521944266136,0.05735525991764229,0.05220372717212794,0.06347374210974664
Papalexi_holdout_rep1,rep1,CAV1,test,context_unseen,357,0.0133326845,0.013204878,0.0158383250236511,0.3333333333333333,0.027027027027027,0.027027027027027,0.6891891891891891,0.2027027027027027,0.3063063063063063,0.1666666666666666,False,0.0271828193575158,0.02506655650325502,0.026124687930385408,0.023204839187369784
Papalexi_holdout_rep1,rep1,CD86,test,context_unseen,560,0.0149554545,0.021841861,0.0158383250236511,0.3333333333333333,0.081081081081081,0.2702702702702703,0.6891891891891891,0.2027027027027027,0.3873873873873873,0.2578828828828828,False,0.0224956906138711,0.029396981558598385,0.025946336086234742,0.018245680933737185
Papalexi_holdout_rep1,rep1,ETV7,test,context_unseen,367,0.015352596,0.02108963,0.0158383250236511,0.3333333333333333,0.1081081081081081,0.2432432432432432,0.6891891891891891,0.2027027027027027,0.3783783783783783,0.2601351351351351,False,0.02809665143617143,0.03176086446064143,0.02992875794840643,0.02280364012712648
Papalexi_holdout_rep1,rep1,IFNGR1,test,context_unseen,680,0.07071095,0.09568833,0.0158383250236511,0.5,0.945945945945946,0.945945945945946,0.6891891891891891,0.4729729729729729,0.7027027027027026,0.945945945945946,False,0.04810501276493681,0.0725809673553581,0.060342990060147456,0.09117990129518615
Papalexi_holdout_rep1,rep1,IFNGR2,test,context_unseen,522,0.03400995,0.028027844,0.0158383250236511,1.0,0.7297297297297297,0.5135135135135135,0.6891891891891891,0.7837837837837838,0.6621621621621622,0.7297297297297297,False,0.07100375646430165,0.08580443305933928,0.07840409476182048,0.10144101616921856
Papalexi_holdout_rep1,rep1,JAK2,test,context_unseen,417,0.07211664,0.099116966,0.0158383250236511,0.3333333333333333,1.0,1.0,0.6891891891891891,0.2027027027027027,0.6306306306306305,1.0,False,0.044971938843515594,0.0875424260617023,0.06625718245260895,0.10715812276674784
Papalexi_holdout_rep1,rep1,MARCH8,test,context_unseen,477,0.024018507,0.03884356,0.0158383250236511,0.5,0.5675675675675675,0.7567567567567568,0.6891891891891891,0.4729729729729729,0.6396396396396397,0.6272522522522523,False,0.030382817776135707,0.04180850228429337,0.03609566003021454,0.01973273292232718
Papalexi_holdout_rep1,rep1,MYC,test,context_unseen,34,0.035825945,0.055524763,0.0158383250236511,0.3333333333333333,0.7567567567567568,0.8918918918918919,0.6891891891891891,0.2027027027027027,0.5945945945945946,0.7736486486486487,False,0.06955846214439558,0.07065017960243158,0.07010432087341359,0.06985366438612318
Papalexi_holdout_rep1,rep1,NFKBIA,test,context_unseen,403,0.018416774,0.026543707,0.0158383250236511,0.3333333333333333,0.3243243243243243,0.4324324324324324,0.6891891891891891,0.2027027027027027,0.4414414414414414,0.3963963963963963,False,0.02931396815931139,0.03561139422663893,0.03246268119297516,0.025199623295987593
Papalexi_holdout_rep1,rep1,PDCD1LG2,test,context_unseen,185,0.01491227,0.019394863,0.0158383250236511,0.3333333333333333,0.054054054054054,0.2162162162162162,0.6891891891891891,0.2027027027027027,0.3693693693693693,0.231981981981982,False,0.032020111745018495,0.031196853619812264,0.03160848268241538,0.026151360747290162
Papalexi_holdout_rep1,rep1,POU2F2,test,context_unseen,352,0.017425278,0.016361412,0.0158383250236511,0.3333333333333333,0.2432432432432432,0.1351351351351351,0.6891891891891891,0.2027027027027027,0.3423423423423423,0.2927927927927928,False,0.030206806504946983,0.02997019161331429,0.030088499059130636,0.023186352488925487
Papalexi_holdout_rep1,rep1,SMAD4,test,context_unseen,369,0.056297686,0.057572115,0.0158383250236511,0.3333333333333333,0.918918918918919,0.918918918918919,0.6891891891891891,0.2027027027027027,0.6036036036036035,0.918918918918919,False,0.042441549500140806,0.06477725998933588,0.05360940474473834,0.08430882664931323
Papalexi_holdout_rep1,rep1,STAT2,test,context_unseen,300,0.028795103,0.031104213,0.0158383250236511,0.3333333333333333,0.6486486486486487,0.5945945945945946,0.6891891891891891,0.2027027027027027,0.4954954954954955,0.6486486486486487,False,0.0422738550915244,0.05346314002642582,0.04786849755897511,0.06313318200151467
Papalexi_holdout_rep1,rep1,STAT3,test,context_unseen,218,0.021146532,0.035173822,0.0158383250236511,0.5,0.4864864864864865,0.7297297297297297,0.6891891891891891,0.4729729729729729,0.6306306306306306,0.588963963963964,False,0.0393925732166723,0.035015199318441784,0.03720388626755704,0.026685159784901453
Papalexi_holdout_rep1,rep1,STAT5A,test,context_unseen,288,0.017914256,0.024553299,0.0158383250236511,0.3333333333333333,0.2702702702702703,0.3783783783783784,0.6891891891891891,0.2027027027027027,0.4234234234234234,0.3603603603603603,False,0.030701577348972463,0.03594857333169962,0.03332507534033604,0.023121168608633967
Papalexi_holdout_rep1,rep1,TNFRSF14,test,context_unseen,414,0.017282756,0.017420478,0.0158383250236511,0.3333333333333333,0.1891891891891892,0.1891891891891892,0.6891891891891891,0.2027027027027027,0.3603603603603603,0.2747747747747747,False,0.026998608538378613,0.02935627731795185,0.02817744292816523,0.02121426534129278
Papalexi_holdout_rep1,rep1,UBE2L6,test,context_unseen,234,0.019144751,0.03202868,0.0158383250236511,0.3333333333333333,0.3513513513513513,0.6486486486486487,0.6891891891891891,0.2027027027027027,0.5135135135135135,0.4695945945945946,False,0.03195887545256171,0.03686611118515239,0.034412493318857054,0.023685650172990666
Papalexi_holdout_rep1,rep2,CMTM6,test,perturbation_unseen,214,0.026932444,0.034540262,0.0,1.0,0.6216216216216216,0.7027027027027027,0.1891891891891892,0.7837837837837838,0.5585585585585585,0.6317567567567568,False,0.04177532020521819,0.03109441510313689,0.03643486765417754,0.023608743386232034
