fold_id,setting,score,n_tasks,spearman,top20_error_enrichment
Papalexi_holdout_rep1,context_and_perturbation_unseen,predicted_magnitude,5,0.09999999999999999,-0.42315666216281533
Papalexi_holdout_rep1,context_and_perturbation_unseen,model_disagreement,5,-0.8999999999999998,-0.4604671006799508
Papalexi_holdout_rep1,context_and_perturbation_unseen,safeconf_structural_proxy,5,-0.8999999999999998,-0.4604671006799508
Papalexi_holdout_rep1,context_and_perturbation_unseen,e218_transfer_router,5,-0.8999999999999998,-0.42315666216281533
Papalexi_holdout_rep1,context_unseen,predicted_magnitude,19,0.9333333333333333,0.48363043572762887
Papalexi_holdout_rep1,context_unseen,model_disagreement,19,0.8210526315789475,0.48363043572762887
Papalexi_holdout_rep1,context_unseen,safeconf_structural_proxy,19,0.7824561403508771,0.2568172924949901
Papalexi_holdout_rep1,context_unseen,e218_transfer_router,19,0.9263157894736841,0.48363043572762887
Papalexi_holdout_rep1,perturbation_unseen,predicted_magnitude,10,0.6242424242424242,0.3308752327383844
Papalexi_holdout_rep1,perturbation_unseen,model_disagreement,10,0.38181818181818183,0.3308752327383844
Papalexi_holdout_rep1,perturbation_unseen,safeconf_structural_proxy,10,0.38181818181818183,0.3308752327383844
Papalexi_holdout_rep1,perturbation_unseen,e218_transfer_router,10,0.5636363636363636,0.3308752327383844
Papalexi_holdout_rep1,random_pair,predicted_magnitude,3,0.5,0.05445723791170587
Papalexi_holdout_rep1,random_pair,model_disagreement,3,-0.5,0.05445723791170587
Papalexi_holdout_rep1,random_pair,safeconf_structural_proxy,3,0.5,0.05445723791170587
Papalexi_holdout_rep1,random_pair,e218_transfer_router,3,0.5,0.05445723791170587
Papalexi_holdout_rep2,context_and_perturbation_unseen,predicted_magnitude,5,0.7999999999999999,0.07587178670746764
Papalexi_holdout_rep2,context_and_perturbation_unseen,model_disagreement,5,0.0,-0.14462957414911415
Papalexi_holdout_rep2,context_and_perturbation_unseen,safeconf_structural_proxy,5,0.0,-0.14462957414911415
Papalexi_holdout_rep2,context_and_perturbation_unseen,e218_transfer_router,5,0.49999999999999994,0.07587178670746764
Papalexi_holdout_rep2,context_unseen,predicted_magnitude,19,0.8894736842105263,0.430963704940575
Papalexi_holdout_rep2,context_unseen,model_disagreement,19,0.8122807017543859,0.4829422005326731
Papalexi_holdout_rep2,context_unseen,safeconf_structural_proxy,19,0.6283458261762207,0.365744562324402
Papalexi_holdout_rep2,context_unseen,e218_transfer_router,19,0.843859649122807,0.430963704940575
Papalexi_holdout_rep2,perturbation_unseen,predicted_magnitude,10,0.5878787878787878,0.05620821526284159
Papalexi_holdout_rep2,perturbation_unseen,model_disagreement,10,0.07878787878787878,-0.13362661982862778
Papalexi_holdout_rep2,perturbation_unseen,safeconf_structural_proxy,10,0.07878787878787878,-0.13362661982862778
Papalexi_holdout_rep2,perturbation_unseen,e218_transfer_router,10,0.5878787878787878,0.05620821526284159
Papalexi_holdout_rep2,random_pair,predicted_magnitude,3,0.5,0.41131898547390566
Papalexi_holdout_rep2,random_pair,model_disagreement,3,0.5,0.41131898547390566
Papalexi_holdout_rep2,random_pair,safeconf_structural_proxy,3,0.5,0.41131898547390566
Papalexi_holdout_rep2,random_pair,e218_transfer_router,3,0.5,0.41131898547390566
Papalexi_holdout_rep3,context_and_perturbation_unseen,predicted_magnitude,5,0.8999999999999998,0.7349903095397052
Papalexi_holdout_rep3,context_and_perturbation_unseen,model_disagreement,5,0.39999999999999997,0.7349903095397052
Papalexi_holdout_rep3,context_and_perturbation_unseen,safeconf_structural_proxy,5,0.39999999999999997,0.7349903095397052
Papalexi_holdout_rep3,context_and_perturbation_unseen,e218_transfer_router,5,0.8720815992723809,0.7349903095397052
Papalexi_holdout_rep3,context_unseen,predicted_magnitude,19,0.9192982456140351,0.4169157720604144
Papalexi_holdout_rep3,context_unseen,model_disagreement,19,0.9017543859649122,0.4169157720604144
Papalexi_holdout_rep3,context_unseen,safeconf_structural_proxy,19,0.6929824561403508,0.38476368760384805
Papalexi_holdout_rep3,context_unseen,e218_transfer_router,19,0.8982456140350877,0.4169157720604144
Papalexi_holdout_rep3,perturbation_unseen,predicted_magnitude,10,0.9030303030303028,0.2967269985802088
Papalexi_holdout_rep3,perturbation_unseen,model_disagreement,10,0.4787878787878787,0.18373610160883547
Papalexi_holdout_rep3,perturbation_unseen,safeconf_structural_proxy,10,0.4787878787878787,0.18373610160883547
Papalexi_holdout_rep3,perturbation_unseen,e218_transfer_router,10,0.9030303030303028,0.2967269985802088
Papalexi_holdout_rep3,random_pair,predicted_magnitude,3,0.5,0.05063728474180684
Papalexi_holdout_rep3,random_pair,model_disagreement,3,1.0,0.05063728474180684
Papalexi_holdout_rep3,random_pair,safeconf_structural_proxy,3,1.0,0.05063728474180684
Papalexi_holdout_rep3,random_pair,e218_transfer_router,3,0.5,0.05063728474180684
