setting,n_tasks,mean_model_error,mean_no_change_error,mean_absolute_gain,relative_error_reduction,upstream_gate
context_and_perturbation_unseen,15,0.05539555936641356,0.04943131389156261,-0.0059642454748509415,-0.1206572313237455,NOT_SUPPORTED
context_unseen,57,0.04501017905424085,0.050268728248248996,0.005258549194008142,0.1046087573180512,PASS
perturbation_unseen,30,0.057115738132002686,0.049291829089677795,-0.007823909042324892,-0.1587262876386808,NOT_SUPPORTED
random_pair,9,0.054494513154178144,0.058714893288932785,0.004220380134754634,0.07187920982818419,PASS
