phase,split,rows_indexed,columns_indexed,excluded_rows_indexed,excluded_columns_indexed,X_materialized,X_transformed,sha256,md5,selected_columns_materialized_after_normalization,train_rows_indexed,validation_rows_indexed,engineered_construct_columns_indexed,guide_barcode_columns_indexed,row_index_sha256,selected_index_sha256,endogenous_column_indices_sha256,rows_transformed,normalization
post_event_opaque_raw_hash,opaque_file_bytes,0,0,0,0,False,False,5da0485aed81b23bda57b4a7b4510a394682d54911416db89b4846ff6dd34732,6897bfdcda928a678208fecf4eeb282e,,,,,,,,,,
semantic_test_endogenous_read_and_fixed_transform,test,9902,20631,0,0,True,True,,,2023.0,0.0,0.0,0.0,0.0,8aff17249d9ab8c2ad5c994e6b1f4eeff2b52a47f1650b4cb653765f0a2443c0,c1ea5a5fee4741e507eed405489146a9f9b19fc69ee8f41bcc1a61e7bfe95b3b,f79c65e11e39d4b177252fd9038192f9e6eb25a938fac67e1169c1d3d101ae56,9902.0,log1p(10000*count/endogenous_library)
