analysis_id,score_key,score_family,predictor,seed,seed_role,score,endpoint,truth_role,multiplicity_family,n_tasks,rho,na_reason,raw_one_sided_p,task_ci_low,task_ci_high,cluster_ci_low,cluster_ci_high,magnitude_score_key,official_score_key,magnitude_rho,delta_rho_vs_magnitude,delta_rho_vs_magnitude_task_ci_low,delta_rho_vs_magnitude_task_ci_high,delta_rho_vs_magnitude_cluster_ci_low,delta_rho_vs_magnitude_cluster_ci_high,official_rho,delta_rho_vs_official,delta_rho_vs_official_task_ci_low,delta_rho_vs_official_task_ci_high,delta_rho_vs_official_cluster_ci_low,delta_rho_vs_official_cluster_ci_high,holm_adjusted_p,holm_family_size
risk__matching__min_train_pair_degree_confidence__pca10_direction_accuracy,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,-0.10877665696251074,,0.7691192462068684,-0.3859816721973031,0.18381502581795117,-0.3730616043009971,0.11481938925991975,matching__matching_magnitude_confidence,,-0.6849791090239993,0.5762024520614886,0.27956922703507037,0.8644568527558154,0.3293220910523546,0.784255177176828,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__pca10_negative_rmse,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,pca10_negative_rmse,secondary,secondary_risk_holm_family,48,0.25216822066646194,,0.04189688006827836,-0.03314460353266256,0.5080081867053325,0.05524361883000051,0.4593641755067268,matching__matching_magnitude_confidence,,0.5769648284845853,-0.32479660781812336,-0.6132748391719122,-0.029494448578413913,-0.5191721282414464,-0.09358250539969959,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__raw_pearson_accuracy_sensitivity,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,raw_pearson_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.03050555726668573,,0.4184636383230797,-0.24729386297794304,0.30211511492332604,-0.22002730971056914,0.24223811570334772,matching__matching_magnitude_confidence,,-0.7121146330872775,0.7426201903539632,0.4551810935572094,1.0159729457342086,0.48689930839081874,0.9415104526457794,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__raw_cosine_accuracy_sensitivity,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,raw_cosine_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.028129218566563474,,0.5752613118174239,-0.3113852362169136,0.25740637513424597,-0.28847192389423365,0.1948656543105867,matching__matching_magnitude_confidence,,-0.7494572297003907,0.7213280111338273,0.4273676621999326,1.001355998017386,0.45426102092767257,0.9316377060258481,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__raw_direction_accuracy_sensitivity,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,raw_direction_accuracy_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,-0.03769188291673446,,0.6003850415957899,-0.35172480822575514,0.270450586593108,-0.3403980336863671,0.21494493764421851,matching__matching_magnitude_confidence,,-0.6850132996032814,0.647321416686547,0.3352893751366862,0.9463964964917734,0.37065231969100265,0.8738254883890697,,,,,,,1.0,134
risk__matching__min_train_pair_degree_confidence__raw_negative_rmse_sensitivity,matching__min_train_pair_degree_confidence,matching_risk,matching_single_mean,,not_applicable,min_train_pair_degree_confidence,raw_negative_rmse_sensitivity,raw_truth_mandatory_sensitivity,secondary_risk_holm_family,48,0.3035081893272428,,0.017992928639358745,0.010811705973971844,0.5563954179502743,0.0929129714162768,0.4999212351315603,matching__matching_magnitude_confidence,,0.6601172383847156,-0.35660904905747276,-0.6681201704963684,-0.058646197293683734,-0.5771534023854639,-0.09870312351388705,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__pca10_pearson_accuracy,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,pca10_pearson_accuracy,secondary,secondary_risk_holm_family,48,-0.13623534520191055,,0.8220747688619947,-0.42832553839460513,0.16835439028663285,-0.3752017318620256,0.12426607885447381,matching__matching_magnitude_confidence,,-0.6974598349978289,0.5612244897959184,0.2791087232852825,0.8373241091349922,0.357304192454836,0.7496626607282108,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__pca10_cosine_accuracy,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,pca10_cosine_accuracy,secondary,secondary_risk_holm_family,48,-0.12755102040816327,,0.8061900805726092,-0.4148340821560316,0.1777194747312298,-0.37237871559637725,0.13292956491356075,matching__matching_magnitude_confidence,,-0.6996309161962657,0.5720798957881025,0.28580704642404503,0.846761207960586,0.3586764238154026,0.7673193047868948,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__pca10_direction_accuracy,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,pca10_direction_accuracy,secondary,secondary_risk_holm_family,48,-0.302318010632006,,0.9816215954395728,-0.557603474820259,-0.0037000672140051413,-0.515156454008226,-0.0835816200209338,matching__matching_magnitude_confidence,,-0.6849791090239993,0.3826610983919933,0.09661366641463379,0.6659963883300016,0.17978969090517533,0.5879183578132342,,,,,,,1.0,134
risk__matching__matching_se_pca10_confidence__pca10_negative_rmse,matching__matching_se_pca10_confidence,matching_risk,matching_single_mean,,not_applicable,matching_se_pca10_confidence,pca10_negative_rmse,H2_duplicate_complete_risk_matrix,fixed_sequence_H2_alpha_0p025,48,0.07609639600521059,,0.30360482577956527,-0.20956128543754995,0.3411650848019303,-0.1457675861945095,0.29242956920323193,matching__matching_magnitude_confidence,,0.5769648284845853,-0.5008684324793747,-0.7830404986829509,-0.20823897422613905,-0.7338454164257716,-0.20296533905551073,,,,,,,,0
