hierarchy_index,predictor,n_tasks,mean_pca10_rmse,mean_pca10_pearson,mean_raw_rmse,mean_raw_pearson,mean_systema_centroid_accuracy,mean_nearest_centroid_hit,previous_predictor,pca10_rmse_improvement_vs_previous,raw_rmse_improvement_vs_previous
0,control_no_change,48,0.11984624562814562,0.26219744420172103,0.13217977255199556,0.057709369924845606,0.5,0.020833333333333332,,,
1,cell_weighted_perturbed_mean,48,0.08290172069357281,0.8056029359950015,0.09587565268839876,0.7330807902096831,0.5,0.020833333333333332,control_no_change,0.036944524934572814,0.0363041198635968
2,condition_balanced_perturbed_mean,48,0.08195476696261444,0.8034470990292082,0.09463868181655476,0.7334845902182888,0.5,0.020833333333333332,cell_weighted_perturbed_mean,0.0009469537309583637,0.0012369708718440037
3,matching_single_mean,48,0.05484287065968099,0.9374576645291857,0.07332937871572882,0.8365604242055605,0.8448581560283688,0.14583333333333334,condition_balanced_perturbed_mean,0.027111896302933453,0.021309303100825933
4,single_additive,48,0.05073514222486935,0.9384622848438836,0.08654534317304541,0.836560432114064,0.9782801418439716,0.625,matching_single_mean,0.004107728434811643,-0.013215964457316584
