score,score_family,predictor,truth_role,coverage,retained_n,rejected_n,retained_mean_error,retained_mean_accuracy,high_error_capture_in_rejected,rejected_high_error_enrichment,estimable,na_reason
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.057124168772727295,0.9249462798680762,0.5,1.0,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.054615730198880344,0.9270636594418394,0.5,1.1428571428571428,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.05457687738554829,0.9286397744454267,0.5,1.263157894736842,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.053172113813141714,0.9285410216212655,0.5,1.5,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.05392219018294724,0.9292583845042919,0.4,1.3714285714285712,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.05396650375517772,0.9317601402728025,0.4,1.5999999999999999,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.05569907476429361,0.9340708719829572,0.2,1.0666666666666667,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05512395404437389,0.9356565524746304,0.2,1.3714285714285712,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.053990163376726734,0.9341471830653926,0.2,2.4,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.053943282816652095,0.9360412930650801,0.1,2.4,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.054842870659681,0.9374576645291857,,,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.07277150742348466,0.8428216768823314,0.7,1.4000000000000001,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.07099192192453604,0.8335041192064983,0.7,1.5999999999999999,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.07113145428857191,0.8350497359911189,0.7,1.7684210526315787,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.06981122905041563,0.8290075768283596,0.7,2.1,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.07055240967627094,0.8292164485947593,0.6,2.057142857142857,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.07067365825102738,0.8338671970179116,0.6,2.4,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.8,39,9,0.0722519654500974,0.8390237125018618,0.4,2.1333333333333333,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.85,41,7,0.0720893376334114,0.8397382512455788,0.4,2.7428571428571424,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.9,44,4,0.07181683387127903,0.8324411923559736,0.3,3.5999999999999996,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.95,46,2,0.07214456788176364,0.8349380781216899,0.2,4.8,True,
min_single_cell_count_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,1.0,48,0,0.07332937871572882,0.8365604242055604,,,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.5,24,24,0.05075887052598332,0.9471830036293878,0.7,1.4000000000000001,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.55,27,21,0.05275145058327873,0.9285938603597232,0.6,1.3714285714285712,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.6,29,19,0.05354684236670175,0.9314103600313703,0.5,1.263157894736842,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.65,32,16,0.05363251867861224,0.9308246320512037,0.4,1.2,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.7,34,14,0.05265384252863949,0.9307877051469682,0.4,1.3714285714285712,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.75,36,12,0.052293218396920776,0.9300566157853916,0.4,1.5999999999999999,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.8,39,9,0.05241191854612744,0.9315431420458277,0.4,2.1333333333333333,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.85,41,7,0.05266088830727622,0.9317219314970889,0.3,2.057142857142857,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.9,44,4,0.054300507940545195,0.934163083926853,0.1,1.2,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,0.95,46,2,0.054099935577587445,0.9361473053351522,0.1,2.4,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,pca10_primary,1.0,48,0,0.054842870659681,0.9374576645291857,,,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.5,24,24,0.06901465354113052,0.8411586972997892,0.8,1.5999999999999999,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.55,27,21,0.07031580365204684,0.8273314895543435,0.8,1.8285714285714283,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.6,29,19,0.07103284148700818,0.8331862018885945,0.7,1.7684210526315787,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.65,32,16,0.07118853356543278,0.8353455937359374,0.6,1.7999999999999998,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.7,34,14,0.07051516929903436,0.832603207254656,0.6,2.057142857142857,True,
min_train_pair_degree_confidence,matching_risk,matching_single_mean,raw_truth_sensitivity,0.75,36,12,0.0702559553157161,0.8287451760963906,0.6,2.4,True,
