predictor,family,seed,condition,centroid_accuracy,nearest_centroid_hit,distance_metric,ties,n_competing_truth_centroids,official_systema_definition
control_no_change,baseline,,DOT1L+GATA2,0.8936170212765957,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+HDAC3,0.7659574468085106,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+KDM1A,0.06382978723404255,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+MED24,0.2978723404255319,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+RCOR1,0.9361702127659575,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+RING1,0.7872340425531915,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,DOT1L+SMARCD1,0.7021276595744681,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,EP300+IKZF1,0.6170212765957447,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,EP300+MYB,0.02127659574468085,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,FLI1+GSE1,0.3404255319148936,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,FLI1+HDAC3,0.5106382978723404,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,FLI1+IKZF1,0.5531914893617021,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,FLI1+INTS1,0.6808510638297872,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
control_no_change,baseline,,FLI1+MED24,0.1276595744680851,0.0,euclidean_selected_gene_post_profile,miss,47,fraction_of_other_truth_centroids_strictly_farther_than_correct
