perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
AMIGO3+ctrl,3,True,True,750,0.024286182323694516,0.028305019747842386,0.0036637644937715054,0.01499261986464262,1.7573667764663696,1.0504118204116821,0.0,0
ASCC3+ctrl,3,True,True,1824,0.05141749234047499,0.05322824505377361,0.0009852935589484259,0.013800663873553276,1.5041743516921997,3.636263847351074,0.0,0
CAD+ctrl,3,True,True,295,0.07763951058873174,0.07854691604384573,0.0015345262314156026,0.012003298848867416,1.753685474395752,4.9863433837890625,0.0,0
COPB1+ctrl,3,True,True,235,0.04272911038277663,0.04576552714422383,0.0024144576037648945,0.01656913571059704,2.2231595516204834,3.1411609649658203,0.0,0
DDOST+ctrl,3,True,True,398,0.03380258295547887,0.035406080039070476,0.001785444594426007,0.010684741660952568,1.4574663639068604,2.5361242294311523,0.0,0
DDRGK1+ctrl,3,True,True,633,0.026710539946520964,0.03073350310404842,0.004377772429211635,0.01581961289048195,1.7423796653747559,1.5268738269805908,0.0,0
GMPPB+ctrl,3,True,True,634,0.024128001909775616,0.02697561678551187,0.0019561908539589934,0.012220888398587704,1.4405516386032104,1.210795283317566,0.0,0
HSD17B12+ctrl,3,True,True,421,0.044003833127124616,0.04601305922891103,0.001713603721119889,0.01355731301009655,1.7319633960723877,3.2963762283325195,0.0,0
HSPA5+ctrl,3,True,True,1242,0.07885262248024764,0.08064895506026319,0.0054063802183047125,0.017769265919923782,2.945192337036133,6.735330581665039,0.0,0
MRGBP+ctrl,3,True,True,586,0.041458811970379074,0.04391588989785167,0.0025160027713580202,0.014700427651405334,1.6705784797668457,2.3710837364196777,0.0,0
MTHFD1+ctrl,3,True,True,540,0.06720059153287641,0.06853938973793587,0.0004012311395257358,0.01348663866519928,1.67847740650177,4.497718334197998,0.0,0
P4HB+ctrl,3,True,True,578,0.028285769814375954,0.03278077595117356,0.005443901203310476,0.0174393393099308,1.541913390159607,1.49360990524292,0.0,0
PPWD1+ctrl,3,True,True,241,0.057467933716731215,0.05891692918963504,0.0015451200048231751,0.013077788054943085,1.7247313261032104,4.11409854888916,0.0,0
SCYL1+ctrl,3,True,True,1268,0.03341534695311756,0.035357759085389136,0.00252058475378193,0.011829583905637264,1.3615522384643555,2.810851812362671,0.0,0
SEC61A1+ctrl,3,True,True,1228,0.07012493442304343,0.07114823456950549,0.0018349363327927154,0.012162723578512669,1.2184991836547852,5.394515037536621,0.0,0
SEC61B+ctrl,3,True,True,1760,0.028793357119641486,0.030921336300621275,0.001519087584581584,0.011374499648809433,1.1837210655212402,2.003533363342285,0.0,0
SOCS1+ctrl,3,True,True,462,0.03134704269406525,0.03401400395205307,0.00329008901882169,0.013606618158519268,1.670119285583496,1.9986584186553955,0.0,0
SPCS2+ctrl,3,True,True,612,0.03906518932512763,0.04314345828474627,0.003703447668409339,0.018681127578020096,2.6535253524780273,1.7020636796951294,0.0,0
SRP72+ctrl,3,True,True,541,0.03243674497907019,0.03514195790109813,0.0016742771243629967,0.013624168932437897,1.4481016397476196,1.8110994100570679,0.0,0
SRPRB+ctrl,3,True,True,732,0.04293497838140125,0.0451202523113883,0.0013731495069139769,0.013939524069428444,1.3372958898544312,2.700639009475708,0.0,0
TMED10+ctrl,3,True,True,649,0.02596338303356466,0.029780851435253646,0.0006039868607749419,0.01460022758692503,1.4220019578933716,1.6598830223083496,0.0,0
TMED2+ctrl,3,True,True,534,0.03005421105368258,0.03310722650868401,0.0011581387096804203,0.013934638351202011,1.4957740306854248,1.9150172472000122,0.0,0
TTI2+ctrl,3,True,True,682,0.02602844441567941,0.028461083091030636,0.0034764894195940138,0.012026607990264893,1.3577207326889038,1.1925286054611206,0.0,0
UFM1+ctrl,3,True,True,723,0.022771773006082206,0.02716859106514484,0.002684949942635507,0.01505947019904852,1.4017858505249023,1.417531967163086,0.0,0
