metric,bootstrap_draws,ci_low_2.5pct,median,ci_high_97.5pct,fraction_above_zero
directional_risk_frozen__error_centered_pearson_mean,3000,0.07484435851913016,0.1940694604502883,0.3098419205434906,0.9993333333333333
directional_risk_frozen__error_centered_cosine_mean,3000,0.06471083647144114,0.18641038953491537,0.3066308430008909,0.999
directional_risk_frozen__direction_error_rank_target,3000,0.07132395982566068,0.19024653581598933,0.3071158072915519,0.999
baseline_predicted_magnitude__error_centered_pearson_mean,3000,0.09160383616511751,0.20264438240080557,0.30612146338355684,0.9996666666666667
baseline_predicted_magnitude__error_centered_cosine_mean,3000,0.10095550688447406,0.20939084466339672,0.3110464160997698,1.0
baseline_predicted_magnitude__direction_error_rank_target,3000,0.09595742372421485,0.20611240303156816,0.3081590210674749,1.0
safeconf_calibrated_pair_risk__error_centered_pearson_mean,3000,0.05711877986916841,0.1660527022408001,0.28410398802020626,0.9956666666666667
safeconf_calibrated_pair_risk__error_centered_cosine_mean,3000,0.06086853885171954,0.17578808342810529,0.29172564405311063,0.9956666666666667
safeconf_calibrated_pair_risk__direction_error_rank_target,3000,0.056792721059919664,0.17036210698246929,0.28699683888084354,0.9956666666666667
risk_model_disagreement__error_centered_pearson_mean,3000,-0.15007575347223526,-0.027379343660960054,0.08760081737351237,0.32766666666666666
risk_model_disagreement__error_centered_cosine_mean,3000,-0.15736551279624791,-0.03543509378178784,0.07914917987976432,0.2786666666666667
risk_model_disagreement__direction_error_rank_target,3000,-0.153759330943413,-0.03160056713980252,0.08313672641150747,0.29933333333333334
delta_directional_minus_magnitude__error_centered_pearson_mean,3000,-0.15405288533409914,-0.008946758812495514,0.14607625278282285,0.4533333333333333
delta_directional_minus_magnitude__error_centered_cosine_mean,3000,-0.16909662148110743,-0.022489304353935355,0.13106366802599323,0.3873333333333333
delta_directional_minus_magnitude__direction_error_rank_target,3000,-0.1622534660512335,-0.01592891657449555,0.1392169082689356,0.42
