field,value,count_in_audited_shards
canonical_smiles,,11790
canonical_smiles,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,11732
canonical_smiles,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,10172
canonical_smiles,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,9629
canonical_smiles,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,8792
canonical_smiles,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C,8479
canonical_smiles,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,8376
canonical_smiles,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-],8088
canonical_smiles,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,7057
canonical_smiles,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,4483
canonical_smiles,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,3752
canonical_smiles,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,2967
canonical_smiles,COC1=CC=C(C=C1)C2=CC(=S)SS2,1552
canonical_smiles,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,1463
canonical_smiles,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,1414
canonical_smiles,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,792
canonical_smiles,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,779
canonical_smiles,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],768
canonical_smiles,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,745
canonical_smiles,CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,701
cell_line_id,CVCL_0546,40978
cell_line_id,CVCL_0459,35370
cell_line_id,CVCL_0480,24938
cell_line_id,CVCL_1285,22330
cell_line_id,CVCL_0399,15532
cell_line_id,CVCL_0023,4833
cell_line_id,CVCL_0131,3760
drug,DMSO_TF,11790
drug,Quinestrol,11732
drug,Clonidine (hydrochloride),10172
drug,Selinexor,9629
drug,Aliskiren,8792
drug,Fusidic acid,8479
drug,Goserelin (acetate),8376
drug,Palmatine (chloride),8088
drug,Adagrasib,7057
drug,Terfenadine,4483
drug,Berbamine,3752
drug,(R)-Verapamil (hydrochloride),2967
drug,Anethole trithione,1552
drug,Rimonabant,1463
drug,Larotrectinib,1414
drug,Temsirolimus,792
drug,Artesunate,779
drug,Tolcapone,768
drug,Olanzapine,745
drug,Pasireotide (acetate),701
moa-fine,unclear,450731
moa-fine,DNA synthesis/repair inhibitor,45441
moa-fine,JAK/STAT inhibitor,22904
moa-fine,Cyclooxygenase inhibitor,21657
moa-fine,Other TK inhibitor,13823
moa-fine,MTOR inhibitor,13102
moa-fine,Adrenoceptor agonist,11495
moa-fine,,7433
moa-fine,EGFR/ERBB inhibitor,2856
plate,plate4,677400
pubchem_cid,,11790
pubchem_cid,9046.0,11732
pubchem_cid,20179.0,10172
pubchem_cid,71481097.0,9629
pubchem_cid,5493444.0,8792
pubchem_cid,3000226.0,8479
pubchem_cid,16052011.0,8376
pubchem_cid,73442.0,8088
pubchem_cid,138611145.0,7057
pubchem_cid,5405.0,4483
pubchem_cid,275182.0,3752
pubchem_cid,170014.0,2967
pubchem_cid,2194.0,1552
pubchem_cid,104850.0,1463
pubchem_cid,46188928.0,1414
pubchem_cid,6918289.0,792
pubchem_cid,6917864.0,779
pubchem_cid,4659569.0,768
pubchem_cid,135398745.0,745
pubchem_cid,72205932.0,701
