file_name,relative_path,n_rows_metadata,schema_columns,audited_columns
train-00001-of-03388.parquet,mega_external/Tahoe-100M/data/train-00001-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00002-of-03388.parquet,mega_external/Tahoe-100M/data/train-00002-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00005-of-03388.parquet,mega_external/Tahoe-100M/data/train-00005-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00018-of-03388.parquet,mega_external/Tahoe-100M/data/train-00018-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00040-of-03388.parquet,mega_external/Tahoe-100M/data/train-00040-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00041-of-03388.parquet,mega_external/Tahoe-100M/data/train-00041-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00042-of-03388.parquet,mega_external/Tahoe-100M/data/train-00042-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00043-of-03388.parquet,mega_external/Tahoe-100M/data/train-00043-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00044-of-03388.parquet,mega_external/Tahoe-100M/data/train-00044-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00045-of-03388.parquet,mega_external/Tahoe-100M/data/train-00045-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00046-of-03388.parquet,mega_external/Tahoe-100M/data/train-00046-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00047-of-03388.parquet,mega_external/Tahoe-100M/data/train-00047-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00048-of-03388.parquet,mega_external/Tahoe-100M/data/train-00048-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00049-of-03388.parquet,mega_external/Tahoe-100M/data/train-00049-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00050-of-03388.parquet,mega_external/Tahoe-100M/data/train-00050-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00051-of-03388.parquet,mega_external/Tahoe-100M/data/train-00051-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00052-of-03388.parquet,mega_external/Tahoe-100M/data/train-00052-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00053-of-03388.parquet,mega_external/Tahoe-100M/data/train-00053-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00054-of-03388.parquet,mega_external/Tahoe-100M/data/train-00054-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00055-of-03388.parquet,mega_external/Tahoe-100M/data/train-00055-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00056-of-03388.parquet,mega_external/Tahoe-100M/data/train-00056-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00057-of-03388.parquet,mega_external/Tahoe-100M/data/train-00057-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00058-of-03388.parquet,mega_external/Tahoe-100M/data/train-00058-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00059-of-03388.parquet,mega_external/Tahoe-100M/data/train-00059-of-03388.parquet,28225,genes;expressions;drug;sample;BARCODE_SUB_LIB_ID;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
