file_name,relative_path,n_rows,n_unique_drug,top5_drug,n_unique_cell_line_id,top5_cell_line_id,n_unique_moa-fine,top5_moa-fine,n_unique_canonical_smiles,top5_canonical_smiles,n_unique_pubchem_cid,top5_pubchem_cid,n_unique_plate,top5_plate
train-00001-of-03388.parquet,mega_external/Tahoe-100M/data/train-00001-of-03388.parquet,28225,52,DMSO_TF:967 | Clonidine (hydrochloride):868 | Goserelin (acetate):746 | Selinexor:734 | Fusidic acid:722,50,CVCL_0546:1628 | CVCL_0459:1343 | CVCL_0480:1123 | CVCL_1285:1028 | CVCL_0131:981,13,unclear:18723 | DNA synthesis/repair inhibitor:1550 | Cyclooxygenase inhibitor:1250 | JAK/STAT inhibitor:1045 | :967,52,:967 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:868 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:746 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:734 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:722,52,:967 | 20179.0:868 | 16052011.0:746 | 71481097.0:734 | 3000226.0:722,1,plate4:28225
train-00002-of-03388.parquet,mega_external/Tahoe-100M/data/train-00002-of-03388.parquet,28225,63,Quinestrol:798 | Goserelin (acetate):795 | Fusidic acid:744 | Larotrectinib:704 | Rimonabant:689,50,CVCL_0546:1539 | CVCL_0459:1343 | CVCL_0480:1128 | CVCL_1285:1064 | CVCL_0023:970,12,unclear:19585 | DNA synthesis/repair inhibitor:1577 | JAK/STAT inhibitor:1547 | Other TK inhibitor:1268 | EGFR/ERBB inhibitor:950,63,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:798 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:795 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:744 | C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F:704 | CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl:689,63,9046.0:798 | 16052011.0:795 | 3000226.0:744 | 46188928.0:704 | 104850.0:689,1,plate4:28225
train-00005-of-03388.parquet,mega_external/Tahoe-100M/data/train-00005-of-03388.parquet,28225,54,Quinestrol:904 | Aliskiren:772 | Berbamine:709 | Palmatine (chloride):706 | Terfenadine:700,50,CVCL_0546:1774 | CVCL_0459:1444 | CVCL_0480:1046 | CVCL_1285:973 | CVCL_0399:921,9,unclear:19870 | DNA synthesis/repair inhibitor:2118 | Cyclooxygenase inhibitor:1684 | MTOR inhibitor:1099 | JAK/STAT inhibitor:894,54,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:904 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:772 | CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC:709 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:706 | CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O:700,54,9046.0:904 | 5493444.0:772 | 275182.0:709 | 73442.0:706 | 5405.0:700,1,plate4:28225
train-00018-of-03388.parquet,mega_external/Tahoe-100M/data/train-00018-of-03388.parquet,28225,51,Quinestrol:936 | Aliskiren:838 | Tolcapone:768 | (R)-Verapamil (hydrochloride):767 | Terfenadine:766,50,CVCL_0546:1695 | CVCL_0459:1471 | CVCL_0480:1040 | CVCL_1285:965 | CVCL_0399:957,10,unclear:19191 | DNA synthesis/repair inhibitor:2085 | Other TK inhibitor:1449 | MTOR inhibitor:1235 | Cyclooxygenase inhibitor:1039,51,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:936 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:838 | CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]:768 | CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl:767 | CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O:766,51,9046.0:936 | 5493444.0:838 | 4659569.0:768 | 170014.0:767 | 5405.0:766,1,plate4:28225
train-00040-of-03388.parquet,mega_external/Tahoe-100M/data/train-00040-of-03388.parquet,28225,49,Fusidic acid:880 | Selinexor:872 | Clonidine (hydrochloride):860 | Adagrasib:851 | Anethole trithione:797,50,CVCL_0546:1764 | CVCL_0459:1514 | CVCL_0480:987 | CVCL_0399:960 | CVCL_0131:957,13,unclear:18444 | DNA synthesis/repair inhibitor:1492 | Adrenoceptor agonist:1390 | Other TK inhibitor:1356 | JAK/STAT inhibitor:1225,49,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:880 | C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:872 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:860 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:851 | COC1=CC=C(C=C1)C2=CC(=S)SS2:797,49,3000226.0:880 | 71481097.0:872 | 20179.0:860 | 138611145.0:851 | 2194.0:797,1,plate4:28225
train-00041-of-03388.parquet,mega_external/Tahoe-100M/data/train-00041-of-03388.parquet,28225,47,Quinestrol:994 | Palmatine (chloride):922 | Aliskiren:853 | Berbamine:797 | Terfenadine:789,50,CVCL_0546:1718 | CVCL_0459:1572 | CVCL_0480:1008 | CVCL_1285:964 | CVCL_0399:924,10,unclear:18837 | DNA synthesis/repair inhibitor:2391 | Cyclooxygenase inhibitor:1800 | MTOR inhibitor:1251 | JAK/STAT inhibitor:923,47,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:994 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:922 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:853 | CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC:797 | CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O:789,47,9046.0:994 | 73442.0:922 | 5493444.0:853 | 275182.0:797 | 5405.0:789,1,plate4:28225
train-00042-of-03388.parquet,mega_external/Tahoe-100M/data/train-00042-of-03388.parquet,28225,47,Selinexor:988 | Goserelin (acetate):898 | Fusidic acid:894 | Artesunate:779 | Rimonabant:774,50,CVCL_0546:1796 | CVCL_0459:1511 | CVCL_0480:997 | CVCL_0399:989 | CVCL_1285:946,11,unclear:20131 | DNA synthesis/repair inhibitor:1621 | Other TK inhibitor:1411 | JAK/STAT inhibitor:1335 | EGFR/ERBB inhibitor:769,47,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:988 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:898 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:894 | CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C:779 | CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl:774,47,71481097.0:988 | 16052011.0:898 | 3000226.0:894 | 6917864.0:779 | 104850.0:774,1,plate4:28225
train-00043-of-03388.parquet,mega_external/Tahoe-100M/data/train-00043-of-03388.parquet,28225,46,DMSO_TF:1297 | Clonidine (hydrochloride):991 | Adagrasib:927 | Quinestrol:910 | Palmatine (chloride):856,50,CVCL_0546:1787 | CVCL_0459:1522 | CVCL_0480:1028 | CVCL_1285:983 | CVCL_0399:975,10,unclear:17546 | DNA synthesis/repair inhibitor:2271 | Cyclooxygenase inhibitor:1724 | :1297 | MTOR inhibitor:1215,46,:1297 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:991 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:927 | CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:910 | COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]:856,46,:1297 | 20179.0:991 | 138611145.0:927 | 9046.0:910 | 73442.0:856,1,plate4:28225
train-00044-of-03388.parquet,mega_external/Tahoe-100M/data/train-00044-of-03388.parquet,28225,51,Selinexor:869 | Fusidic acid:864 | Goserelin (acetate):863 | Anethole trithione:755 | Olanzapine:745,50,CVCL_0546:1794 | CVCL_0459:1442 | CVCL_0480:1009 | CVCL_0399:987 | CVCL_1285:960,11,unclear:19842 | DNA synthesis/repair inhibitor:1573 | Other TK inhibitor:1340 | JAK/STAT inhibitor:1222 | EGFR/ERBB inhibitor:1137,51,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F:869 | CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C:864 | CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O:863 | COC1=CC=C(C=C1)C2=CC(=S)SS2:755 | CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C:745,51,71481097.0:869 | 3000226.0:864 | 16052011.0:863 | 2194.0:755 | 135398745.0:745,1,plate4:28225
train-00045-of-03388.parquet,mega_external/Tahoe-100M/data/train-00045-of-03388.parquet,28225,52,DMSO_TF:1278 | Clonidine (hydrochloride):941 | Quinestrol:886 | Adagrasib:816 | Aliskiren:749,50,CVCL_0546:1582 | CVCL_0459:1415 | CVCL_0480:1159 | CVCL_1285:952 | CVCL_0023:951,11,unclear:17252 | DNA synthesis/repair inhibitor:2148 | Cyclooxygenase inhibitor:1696 | :1278 | Adrenoceptor agonist:1220,52,:1278 | C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl:941 | CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5:886 | CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F:816 | CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N:749,52,:1278 | 20179.0:941 | 9046.0:886 | 138611145.0:816 | 5493444.0:749,1,plate4:28225
