culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.0822171397757778,True
Rest,seen_160,160,True,160,1.0084006496501017,True
Stim8hr,all_200,200,True,200,1.0668740423070693,True
Stim8hr,seen_160,160,True,160,0.99715448103268967,True
Stim48hr,all_200,200,True,200,1.0635064600835931,True
Stim48hr,seen_160,160,True,160,0.9970167444130823,True
