culture_condition,stratum,n_tasks,spearman_3407_3408,spearman_3407_3409,spearman_3408_3409,median_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
Rest,all_200,200,0.55840996024900635,0.5154068851721294,0.7568199204980125,0.55840996024900635,0.74014150353758845,2000,0.4591574886281693,0.6516212026622703,True
Rest,seen_160,160,0.31274463846243994,0.2375219735145904,0.62529590999648421,0.31274463846243994,0.59456944932744771,2000,0.17959531416661836,0.44386486128177016,False
Stim8hr,all_200,200,0.55548488712217814,0.51073126828170712,0.75281632040801039,0.55548488712217814,0.73756277240264345,2000,0.45300404750926543,0.65006676071250313,True
Stim8hr,seen_160,160,0.31147017461619592,0.2271328958162428,0.61624575178717911,0.31147017461619592,0.58996640493769292,2000,0.172070655211817,0.44494583345166067,False
Stim48hr,all_200,200,0.54653566339158477,0.50418810470261766,0.74846021150528774,0.54653566339158477,0.7331519954665533,2000,0.44817724040663748,0.63863034063629143,True
Stim48hr,seen_160,160,0.29970116020157034,0.2190202742294621,0.61021914918551501,0.29970116020157034,0.58420901858145502,2000,0.16292604385445453,0.43418270259621899,False
