seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.025378173620750507,129,,
3407,GEARS,1,0.02465405563513438,,1369,4891
3408,scGPT,3,0.025277371673534315,129,,
3408,GEARS,20,0.024475412163883447,,1369,4891
3409,scGPT,2,0.025254680899282296,129,,
3409,GEARS,7,0.024556691509981951,,1369,4891
