analysis_status,endpoint,predictor,n_tasks,spearman,ci95_lower,ci95_upper,bootstrap_valid,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper
POST_HOC_EXPLORATORY,de_auprc,diversity_pretruth,263,-0.07548359688957022,-0.1909844947075023,0.04264660328882048,5000,-0.04805691567530902,-0.27679240779479997,0.15162929572463574
POST_HOC_EXPLORATORY,de_auprc,predicted_magnitude,263,-0.42328415786460066,-0.5226458831430167,-0.3093097977174286,5000,-0.8901638521466264,-1.0620546820927501,-0.6480636935255893
POST_HOC_EXPLORATORY,energy_distance_pca_k=50,diversity_pretruth,263,0.23384690078446788,0.11689894502463626,0.34874095432001795,5000,0.005535407479208298,-0.10179430197591045,0.1598299020044053
POST_HOC_EXPLORATORY,energy_distance_pca_k=50,predicted_magnitude,263,0.17682719277645698,0.05923451258497883,0.29261282415338397,5000,0.11816056302324256,-0.010979990173209744,0.30872758306803344
POST_HOC_EXPLORATORY,mse,diversity_pretruth,263,0.3251498088304752,0.2144776896159697,0.43161722700918,5000,0.05235759878359753,-0.04345351597975696,0.21320125773244558
POST_HOC_EXPLORATORY,mse,predicted_magnitude,263,0.07806088927471679,-0.04086218697176084,0.19874161990227038,5000,0.00944489123629291,-0.10351792021263113,0.19040374060638
POST_HOC_EXPLORATORY,pearson_pert,diversity_pretruth,263,0.027212302398788326,-0.09044627126635861,0.14659170112691638,5000,0.022537397574014635,-0.13474116929470933,0.20026531677127468
POST_HOC_EXPLORATORY,pearson_pert,predicted_magnitude,263,-0.5531765277070474,-0.6355884640600713,-0.46234445303680316,5000,-0.5911772683487011,-0.673595664067043,-0.43150068516096096
POST_HOC_EXPLORATORY,rank,diversity_pretruth,263,0.06227574824113844,-0.06447700586014327,0.1910860382669376,5000,0.11311357638498118,-0.04618513678566546,0.2850883821182054
POST_HOC_EXPLORATORY,rank,predicted_magnitude,263,-0.2915909562035115,-0.39755594812960704,-0.1793323188691735,5000,-0.20169514166676317,-0.3249145677164099,0.018051562209262156
