target,score,spearman,rc80_improve_pct
error_gears_rmse,baseline_predicted_magnitude,0.2537877532075722,3.2356357421779287
error_gears_rmse,risk_model_disagreement,0.24792663565000536,3.2959309912281642
error_gears_rmse,safeconf_calibrated_pair_risk,0.39701908543129455,2.302638225407922
error_gears_rmse,safeconf_frozen_pair_risk,0.38511384440834434,2.735307771339688
error_scgpt_rmse,baseline_predicted_magnitude,0.0007796527754754742,1.4428900990104694
error_scgpt_rmse,risk_model_disagreement,-0.013633517149414109,1.4218415813315997
error_scgpt_rmse,safeconf_calibrated_pair_risk,0.07097266195161955,0.8426298915988885
error_scgpt_rmse,safeconf_frozen_pair_risk,0.05747383659892363,0.8668374911198077
error_two_predictor_max_rmse,baseline_predicted_magnitude,0.2431792814596249,3.349734437756233
error_two_predictor_max_rmse,risk_model_disagreement,0.23369415067024724,3.400432517987401
error_two_predictor_max_rmse,safeconf_calibrated_pair_risk,0.36356153828195376,2.390370440405582
error_two_predictor_max_rmse,safeconf_frozen_pair_risk,0.35670873439497247,2.820903584507171
error_two_predictor_mean_rmse,baseline_predicted_magnitude,0.14814820954296473,2.3719691369939944
error_two_predictor_mean_rmse,risk_model_disagreement,0.13729477247694932,2.3930735595003223
error_two_predictor_mean_rmse,safeconf_calibrated_pair_risk,0.25300639357974863,1.5991533988730051
error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,0.24181226447413495,1.8352486883113963
