unit_id,study_id,lane,endpoint_id,perturbation_family,candidate_name,role,synthetic_kind,n_tasks,required_resolution,score_all_finite,score_unique,score_unique_fraction,score_std,G2_score_estimability_passed,prediction_all_finite,n_predictors,vector_dimensions,min_quantized_unique_vectors,min_predictor_max_coordinate_std,prediction_unique_fraction_min,G3_prediction_task_conditioning_passed,G4_replicate_stability_evaluated,G4_replicate_stability_passed,score_vs_magnitude_spearman,G5_exact_weak_order_equivalent,G5_near_redundant_abs_rho_ge_0_98,predictor_viability_fraction_vs_simple,authorization_status,reason_codes,target_truth_used_for_G0_to_G5,candidate_vs_loss_spearman,candidate_ci95_low,candidate_ci95_high,magnitude_vs_loss_spearman,delta_candidate_minus_magnitude,delta_ci95_low,delta_ci95_high,candidate_aurc,magnitude_aurc,truth_used_for_gate_override
E153::Frangieh,Frangieh,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,837,419,True,562,0.67144563918757472,0.0066085930536666738,True,True,2,512;512,837,0.0060974041699665459,1,True,False,,0.43719715457043817,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.29667211603532306,0.23781592582648961,0.36006969972560893,0.17782797360658786,0.1188441424287352,0.047537365006657825,0.19819480710485651,0.052730378308902759,0.052987912027066764,False
E153::Lara_exvivo,Lara_exvivo,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,345,173,True,345,1,0.021470865297529791,True,True,2,512;512,340,0.034525879064726886,0.98550724637681164,True,False,,0.57707586924376231,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.19722993389714608,0.032082967590205812,0.35009351820157641,0.12811037014091425,0.069119563756231822,-0.080122072411100642,0.19009503691992261,0.09967337498127242,0.10112069501056406,False
E153::Liang,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,612,306,True,552,0.90196078431372551,0.0089681964542243104,True,True,2,512;512,560,0.038537252869466646,0.91503267973856206,True,False,,0.4107513756681917,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.24369457040143991,0.13772291557322422,0.35995516406923239,0.099419250429791758,0.14427531997164816,0.03602321521959375,0.25882201792582027,0.079860401950290566,0.081547522970437866,False
E153::Nadig_two_cellline,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,256,128,True,243,0.94921875,0.044248335403352525,True,True,2,512;512,256,0.071671359101751514,1,True,False,,0.30449944447546407,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.22582037105524688,0.099528947327381434,0.35017856067997999,0.40654039826047145,-0.18072002720522456,-0.30531583471532081,-0.052922968442054776,0.1374126879651672,0.13211449261504082,False
E153::Replogle_two_cellline,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,256,128,True,125,0.48828125,0.27090468704493514,False,True,2,512;512,256,0.10861596359043488,1,True,False,,0.18765136661281226,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,-0.26690430312552466,-0.35220847788786325,-0.18931846273986683,0.079799811133808185,-0.34670411425933284,-0.47971823375655559,-0.21781092630466276,0.12304122884997391,0.1116467966530936,False
E153::Santinha,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,255,128,True,73,0.28627450980392155,0.0072359410227523817,False,True,2,512;512,254,0.034905868120032588,0.99607843137254903,True,False,,0.63207127103573502,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.1281226724692871,0.0070707740144712516,0.24747803000075416,0.20285505442334414,-0.074732381954057042,-0.19457677635085832,0.031342680054392398,0.051549067819341349,0.05131407400266795,False
E153::Shifrut,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,172,86,True,172,1,0.015168615194634475,True,True,2,512;512,172,0.074476401951501153,1,True,False,,0.9280557894265169,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.6149902245868738,0.48613874845031613,0.72403450263102187,0.61902774141968708,-0.0040375168328132816,-0.06095828937088283,0.047274763426745969,0.066772496728337391,0.066712205815655345,False
E153::Tian_CRISPRi,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,safeconf_calibrated_pair_risk,real_noncollapsed_reference,none,732,366,True,732,1,0.010286066163345129,True,True,2,512;512,703,0.025264600738268635,0.9603825136612022,True,False,,0.14091171469854416,False,False,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.18479227435117968,0.1298545376936453,0.23956977244266633,0.13508920229132429,0.049703072059855385,-0.027348088312091123,0.12617108487388221,0.096595696138116915,0.097490965707773408,False
E96::Norman_P1,Norman_P1,MODEL_UQ,prescribe_paper_pearson_accuracy_loss,genetic,prescribe_official_combined_risk,real_noncollapsed_reference,none,24,12,True,24,1,3.501213674037583,True,True,1,2037,24,0.061134787363561337,1,True,False,,0.99652173913043463,False,True,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.049565217391304345,-0.39667702044015524,0.498970855169245,0.046956521739130425,0.0026086956521739202,-0.034151361220301713,0.047203313193147071,-0.75805761621373835,-0.75775814420352194,False
E96::Norman_P2,Norman_P2,MODEL_UQ,prescribe_paper_pearson_accuracy_loss,genetic,prescribe_official_combined_risk,real_noncollapsed_reference,none,24,12,True,24,1,6.0035850281739833,True,True,1,2037,24,0.12836497234455108,1,True,False,,0.9939130434782607,False,True,,ELIGIBLE_G2_G3_ONLY,NONE,False,0.58434782608695646,0.20015842728421035,0.84168682552536478,0.57391304347826078,0.010434782608695681,-0.06058012078644201,0.086805937751219198,-0.68603674088046929,-0.69199325272778967,False
