unit_id,candidate_vs_loss_spearman,candidate_ci95_low,candidate_ci95_high,magnitude_vs_loss_spearman,delta_candidate_minus_magnitude,delta_ci95_low,delta_ci95_high,candidate_aurc,magnitude_aurc,truth_used_for_gate_override
E153::Frangieh,0.29667211603532306,0.23781592582648961,0.36006969972560893,0.17782797360658786,0.1188441424287352,0.047537365006657825,0.19819480710485651,0.052730378308902759,0.052987912027066764,False
E153::Lara_exvivo,0.19722993389714608,0.032082967590205812,0.35009351820157641,0.12811037014091425,0.069119563756231822,-0.080122072411100642,0.19009503691992261,0.09967337498127242,0.10112069501056406,False
E153::Liang,0.24369457040143991,0.13772291557322422,0.35995516406923239,0.099419250429791758,0.14427531997164816,0.03602321521959375,0.25882201792582027,0.079860401950290566,0.081547522970437866,False
E153::Nadig_two_cellline,0.22582037105524688,0.099528947327381434,0.35017856067997999,0.40654039826047145,-0.18072002720522456,-0.30531583471532081,-0.052922968442054776,0.1374126879651672,0.13211449261504082,False
E153::Replogle_two_cellline,-0.26690430312552466,-0.35220847788786325,-0.18931846273986683,0.079799811133808185,-0.34670411425933284,-0.47971823375655559,-0.21781092630466276,0.12304122884997391,0.1116467966530936,False
E153::Santinha,0.1281226724692871,0.0070707740144712516,0.24747803000075416,0.20285505442334414,-0.074732381954057042,-0.19457677635085832,0.031342680054392398,0.051549067819341349,0.05131407400266795,False
E153::Shifrut,0.6149902245868738,0.48613874845031613,0.72403450263102187,0.61902774141968708,-0.0040375168328132816,-0.06095828937088283,0.047274763426745969,0.066772496728337391,0.066712205815655345,False
E153::Tian_CRISPRi,0.18479227435117968,0.1298545376936453,0.23956977244266633,0.13508920229132429,0.049703072059855385,-0.027348088312091123,0.12617108487388221,0.096595696138116915,0.097490965707773408,False
E96::Norman_P1,0.049565217391304345,-0.39667702044015524,0.498970855169245,0.046956521739130425,0.0026086956521739202,-0.034151361220301713,0.047203313193147071,-0.75805761621373835,-0.75775814420352194,False
E96::Norman_P2,0.58434782608695646,0.20015842728421035,0.84168682552536478,0.57391304347826078,0.010434782608695681,-0.06058012078644201,0.086805937751219198,-0.68603674088046929,-0.69199325272778967,False
E159::Norman_P3::official,,,,,,,,-0.16526322592482962,-0.16526322592482962,False
E159::Norman_P3::raw_log_prob,0.17739130434782607,-0.20513161738702584,0.54525579361609089,,,,,-0.20166415307619207,-0.16526322592482962,False
E159::Norman_P4::official,,,,,,,,-0.25228268756293154,-0.25228268756293154,False
E159::Norman_P4::raw_log_prob,0.2904347826086956,-0.16140676916738714,0.66393509909123472,,,,,-0.28374601399234339,-0.25228268756293154,False
E165::Wessels::PRESCRIBE_seed3407,-0.20972644376899696,-0.492310872077727,0.085904305553464982,,,,,-0.24127778844428177,-0.26540365306154756,False
E165::Wessels::PRESCRIBE_seed3408,0.021710811984368215,-0.29065481369838392,0.34261172121343919,,,,,-0.26043603267497706,-0.26540365306154756,False
E165::Wessels::PRESCRIBE_seed3409,-0.16163699522362138,-0.44864878965635335,0.14878992723712711,,,,,-0.24184105022567376,-0.26540365306154756,False
E87::sciPlex3_to_OpenProblems,0.99307532748271954,0.98926883636976271,0.99588877646036345,0.99356033200848226,-0.00048500452576272224,-0.00095959137378690278,-0.00011203266298316425,0.35072324267447202,0.35065314925460622,False
E89::sciPlex3_to_sciPlex4,0.78379857690202503,0.71868131868131879,0.83736263736263739,0.83524904214559381,-0.051450465243568777,-0.079120879120878951,-0.004395604395604491,0.2952070123116185,0.29370376225039174,False
