culture_condition,predictor_name,n_tasks,all_finite,n_unique_vectors,max_repeat_fraction,max_coordinate_std,passed
Rest,scGPT_seed3407,200,True,200,0.0050000000000000001,0.00067176949619709178,True
Rest,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00077703019180964191,True
Rest,scGPT_seed3409,200,True,200,0.0050000000000000001,3.2970765224768612e-05,True
Rest,GEARS_seed3407,200,True,200,0.0050000000000000001,0.094976219674703127,True
Rest,GEARS_seed3408,200,True,200,0.0050000000000000001,0.12210016900523556,True
Rest,GEARS_seed3409,200,True,200,0.0050000000000000001,0.18090827533934226,True
Rest,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00025875416967025417,True
Rest,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.09620039556411919,True
Stim8hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.00088755942691942679,True
Stim8hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00050731662377637675,True
Stim8hr,scGPT_seed3409,200,True,200,0.0050000000000000001,3.2517044262968969e-05,True
Stim8hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.094951940772228141,True
Stim8hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.1221824897670683,True
Stim8hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.18087347051222111,True
Stim8hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00031013237003360561,True
Stim8hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.096198129704958085,True
Stim48hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.00074500811592172222,True
Stim48hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00073068887994479808,True
Stim48hr,scGPT_seed3409,200,True,200,0.0050000000000000001,3.0766307965324523e-05,True
Stim48hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.09497621931087849,True
Stim48hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.12210017049668527,True
Stim48hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.1809082744542681,True
Stim48hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.0002709188341155584,True
Stim48hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.09620039846152495,True
