dataset_name,validation_mode,dropped_group,dropped_features,n_features_kept,n,n_task_clusters,n_bootstrap,delta_partial_rho_control_magnitude_point,delta_aurc_reduction_vs_random_pct_point,delta_top10_enrichment_point,delta_partial_rho_control_magnitude_ci_low,delta_partial_rho_control_magnitude_ci_high,delta_aurc_reduction_vs_random_pct_ci_low,delta_aurc_reduction_vs_random_pct_ci_high,delta_top10_enrichment_ci_low,delta_top10_enrichment_ci_high
CuiHacohen2023,lopo,context,context_similarity_max;context_similarity_mean,12,1253,1253,1000,0.16589774926713707,10.179474977849516,1.4995590828924166,0.1354732514179327,0.19427553793950025,8.458702792190746,12.088820125241112,0.7892416225749561,1.8961529982363299
Frangieh,lopo,context,context_similarity_max;context_similarity_mean,12,633,633,1000,-0.018179837273216037,0.7672288002808543,-1.699951171875,-0.04344752076219755,0.004169112117806627,0.44125000557471683,1.0475951871820042,-2.318115234375,-0.463623046875
LaraAstiasoHuntly2023_exvivo,lopo,context,context_similarity_max;context_similarity_mean,12,323,323,1000,0.11244078156330095,24.144515459532386,0.0,0.0800543159112226,0.1483942778613666,17.051405206799565,31.857524639818354,0.0,0.0
LaraAstiasoHuntly2023_invivo,lopo,context,context_similarity_max;context_similarity_mean,12,375,375,1000,0.06335468234547692,11.842732607436758,0.25969529085872556,0.03095307190753042,0.09801581650559522,7.7935245468435035,16.70374224763574,0.0,1.038781163434903
McFarlandTsherniak2020,lopo,context,context_similarity_max;context_similarity_mean,12,1163,1163,1000,0.05466284558339324,5.2838257042224654,0.08495872598436716,0.02069950060225832,0.08935176652660724,3.3177363134681044,7.2422447554961495,-0.42479362992183445,0.42479362992183534
SantinhaPlatt2023,lopo,context,context_similarity_max;context_similarity_mean,12,273,273,1000,0.1260427348848342,17.817808225390685,0.0,0.07772071867564262,0.17323584463129504,12.771632712753147,23.192318015567793,0.0,1.7410714285714286
SrivatsanTrapnell2020_sciplex3,lopo,context,context_similarity_max;context_similarity_mean,12,564,564,1000,-0.012949397456389233,2.5635584775131868,-1.0415512465373968,-0.03234882586734514,0.006496960378302442,1.2093793828840342,3.9948188891544287,-2.083102493074793,0.5207756232686975
CuiHacohen2023,lopo,support,perturbation_support_count,13,1253,1253,1000,-0.009705591472515374,-0.05209296509852379,0.0789241622574961,-0.020335463951423896,0.0014306857170905028,-0.4751468215114663,0.38636435290632887,-0.47354497354497394,0.3946208112874787
Frangieh,lopo,support,perturbation_support_count,13,633,633,1000,0.07379871083452305,0.42655011644361807,2.009033203125,0.04472699061944381,0.10696038843462384,0.1806618706074478,0.7060837751491065,1.081787109375,2.936279296875
LaraAstiasoHuntly2023_exvivo,lopo,support,perturbation_support_count,13,323,323,1000,-0.01233487911364095,-1.1100799181343248,0.0,-0.025800365198060126,0.00028451442103857454,-2.522048757865336,0.2661910660157587,0.0,0.0
LaraAstiasoHuntly2023_invivo,lopo,support,perturbation_support_count,13,375,375,1000,-0.023696739465306593,-3.935847295620718,-0.5193905817174516,-0.06085974771754971,0.006491811150240268,-8.304271011333537,-0.3896730941755928,-0.7790858725761776,0.0
McFarlandTsherniak2020,lopo,support,perturbation_support_count,13,1163,1163,1000,-0.009713440260431583,-0.3695195491312262,-0.08495872598436671,-0.02505770720148423,0.006747793561266481,-0.9478365047587367,0.14566903391681957,-0.4247936299218349,0.25487617795310147
SantinhaPlatt2023,lopo,support,perturbation_support_count,13,273,273,1000,0.0419199285759988,0.4201882656027891,0.0,0.00901972331735408,0.07737835697023229,-0.631112752294727,1.705090038409559,-0.6964285714285714,1.0446428571428572
SrivatsanTrapnell2020_sciplex3,lopo,support,perturbation_support_count,13,564,564,1000,0.13209264720063274,2.403780143117018,1.041551246537396,0.09313848023401339,0.17006692258058637,1.1832943773753688,3.6448874843132932,0.0,2.083102493074792
CuiHacohen2023,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,1253,1253,1000,0.009843436411043016,-0.41621976048806886,-0.947089947089947,-0.018943464901754862,0.03953115530854149,-1.4291104132415795,0.6512643269927364,-1.6593805114638456,-0.47354497354497305
Frangieh,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,633,633,1000,-0.1500791588785979,-1.0899144561008747,-1.236328125,-0.1862627204520035,-0.11148896726153196,-1.380411034196367,-0.7819550007344606,-2.318115234375,-0.154541015625
LaraAstiasoHuntly2023_exvivo,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,323,323,1000,0.00979324905513057,-1.569968254868101,0.0,-0.005922898412854122,0.026919547563273333,-3.285766189922182,0.11137223904020399,-0.5932047750229568,0.0
LaraAstiasoHuntly2023_invivo,lopo,historical,perturbation_effect_stability;perturbation_effect_variance;historical_residual_risk,11,375,375,1000,-0.028568261274262152,-3.298519642355444,-0.7790858725761776,-0.05595780276563805,-0.0022770879437653225,-5.540718631774768,-1.2351675109730658,-1.558171745152355,0.0
