e172_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e172_selection_sha256,e172_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_all_e168_and_e170_targets,selection_used_expression_abundance_effect_error_or_e171_validation
601,Q04,1,ENSG00000167740,CYB5D2,2,CYB5D2-1+CYB5D2-2,True,CYB5D2,True,True,CYB5D2,True,True,764a44dcf54000217d5551ce1e9156866b8b727f5f5b0a793110d11745fdbb48,c4fdc8ba8ba48b26ad299d1d26dbb10596f74940f114e76d00fd2fce94689404,23163744938e438cf4ffbe1a59a34c0671480bb2114112b0f4c474deabb6713e,f1bc8d9752ed00823a5622ad6be083252a9d1c681e39cd07ea6f9a9df5cc7c5c,DONOR_UNSEEN_ONLY,6,True,False
602,Q04,2,ENSG00000198055,GRK6,2,GRK6-1+GRK6-2,True,GRK6,True,True,GRK6,True,True,345483204a249a849e9872ed0807d0f67e9963a67f9a54d1ef9aea4eb9fbc7d7,6e67981d2032d6f5717a60583dd5e2489cc0b67884af99848749a93cfd214e0b,234204594f2be293343975c23d2d3fe5b13aa0c1209f98ca47c219653b2d18a8,a8b8d835234a035d9561cf2a6313c7ede3f81796c115ff0261be20db2f834e40,DONOR_UNSEEN_ONLY,6,True,False
603,Q04,3,ENSG00000100528,CNIH1,2,CNIH1-1+CNIH1-2,True,CNIH1,True,True,CNIH1,True,True,a611ba06e796fd71796e39c9bdb14d0a8f243e04e8175a68fc643ff1ba603f22,d96b5b5e05be445964a03034e4fb53651dff8c6ea494882194f07f680abd7f20,234306bcea71172ee0be3c5edcb340bebe9bab7a98c50d0ac7ad387fea26bc58,5a8015bfb6840a47f9ee5aa3990a5204a8a932ee8c154109c3c3c4dccff66728,DONOR_UNSEEN_ONLY,6,True,False
604,Q04,4,ENSG00000172123,SLFN12,2,SLFN12-1+SLFN12-2,True,SLFN12,True,True,SLFN12,True,True,e46f784cfe7da904eef230293a406dae3e2afd4ac62560ef69eafbf017038e31,df54a3ae0371655d04c968724c23e9ba697221cddb3e66e81a3efbafc287fe84,236205dc43de80406127353f3326e537df2ef8349849e7beb7e19aa3cebe99e9,e4f08135007323cbe916c41399b00fd42d3434b8a5af92f6cbd87a156d2685d2,DONOR_UNSEEN_ONLY,6,True,False
605,Q04,5,ENSG00000248485,PCP4L1,2,PCP4L1-1+PCP4L1-2,True,PCP4L1,True,True,PCP4L1,True,True,599456c9aa4330c16d600a3cf51e7cc11487ebdd169b185b2cefb804b11b1932,9f27c5a333597c9ef1711f101ed6dfe13b46d888f7a79dfe1935f0f58ae78dd3,236e702adc60f7ac1736569ee5cc43c1c8bcfb6a4245d6138134143826954bdc,081a238da505f87e05e23114126b61200fb664f7f4641b62ceb8574dd24ab8f4,COLUMN_UNSEEN,0,True,False
606,Q04,6,ENSG00000140332,TLE3,2,TLE3-1+TLE3-2,True,TLE3,True,True,TLE3,True,True,734367820b9984835e9a1c9a8fa3b6d4f445e7cac284fcd6305a831266c45184,bd5ffb6ad6efb119bfa103a894031b22643f47691cc92cdffd94f84cee22f918,2371b1608d244d4cc45eca5372109d41e859bb833aac8047549807a1959b8824,bf232e6346bf60b7303987b83e4f44da6d8edd16bb31ae9b3a20a653ff7c7ee0,DONOR_UNSEEN_ONLY,6,True,False
607,Q04,7,ENSG00000131187,F12,2,F12-1+F12-2,True,F12,True,True,F12,True,True,51532cf6717ba96dc9e92b5689395d8ea057d9f603147b927309e632d2bf73ef,b72ecb7d84d50c948b3f300d6f4d65caa9fc7281fc36a9fa90f9e2f78f4cb728,237be89f99c57f27fda205dceb7cab0defd0689abdb4a008017d399e75cb3511,7c602482cfc7301ffa8ef03103529bce6940459e8257f13aca561bcb86590387,DONOR_UNSEEN_ONLY,6,True,False
608,Q04,8,ENSG00000100360,IFT27,2,IFT27-1+IFT27-2,True,IFT27,True,True,IFT27,True,True,445b2925778b56f66fa96e4f1a92c829c5c873daa004bc37fc19ad51a6902fea,873668d82d1b8a1b49e0a7da39252ce7c5954d1557ee5487c6688517cd1a37b7,237f85b75b7989116833bc9bfd03cf4a4abf8f0a0e8eef00dbf995f842f64500,b759e3cfaa0769d361656d8a424e589d1e4b343cffe24c4cfe8f53075b9e727c,DONOR_UNSEEN_ONLY,6,True,False
609,Q04,9,ENSG00000144597,EAF1,2,EAF1-1+EAF1-2,True,EAF1,True,True,EAF1,True,True,f857c54cd567ab3f9aa0af5de3908308d5510fb8cfb6ef50851f491d08211df2,bbf31e323ffc673a2f2f5958497f3f9df645ed1f9c7ffb5852676fdc92b7cfdd,23810abaf3eed4412525805071451eb5394dca9b8b0be41212942388fa4f719a,b1b2cbc4367a2079cef620b22339f5cfacc686efaf8c0ce1797be7cee68c7ec7,DONOR_UNSEEN_ONLY,6,True,False
610,Q04,10,ENSG00000196465,MYL6B,2,MYL6B-1+MYL6B-2,True,MYL6B,True,True,MYL6B,True,True,7267dce865b752763003b6529654bfc01ef291aa4e8babc02c77a7b3d550db9d,b0338450495be3c3b181cb7c54dc04359fb1b868d3cce14da202dae4714e3ff4,238190b9c1a47e2c40d29538b99537b4183e3ff23c2e878ee5f0124bb7658080,891a32ed6a6d79c1da82d9930d6cef050d276fba53db7eb5a04926c4e9fc4686,DONOR_UNSEEN_ONLY,6,True,False
