dataset,predictor,method,n_buckets,utility20_mean,delta_utility20_vs_M,positive_utility_buckets_vs_M,spearman_mean,delta_spearman_vs_M,positive_spearman_buckets_vs_M
CuiHacohen2023,ContextSimBaseline,M_plus_Bsafe_fixed,5,0.4668104246267835,0.15971187082304425,5,0.4545508267216042,0.13634858224438573,5
CuiHacohen2023,ContextSimBaseline,P_plus_Bsafe_fixed,5,0.5710525896824862,0.26395403587874694,5,0.4334921682402051,0.11528992376298657,5
CuiHacohen2023,PertMeanPredictor,M_plus_Bsafe_fixed,5,0.46409543415257526,0.23448744395445606,5,0.5165273038941269,0.12313434581852423,5
CuiHacohen2023,PertMeanPredictor,P_plus_Bsafe_fixed,5,0.5182590755924692,0.2886510853943501,5,0.5653952822483731,0.17200232417277048,5
CuiHacohen2023,V0StrongBaseline,M_plus_Bsafe_fixed,5,0.5355586507895704,0.2915413568255836,5,0.5153790566532315,0.06437630561883831,5
CuiHacohen2023,V0StrongBaseline,P_plus_Bsafe_fixed,5,0.6536692471466127,0.40965195318262576,5,0.5367249098007212,0.08572215876632813,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,M_plus_Bsafe_fixed,5,0.5608152138171568,0.4863458325227897,5,0.45330405396602946,0.302509860874123,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_Bsafe_fixed,5,0.21667965769623354,0.1422102764018664,4,0.29873342600487157,0.14793923291296515,4
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,M_plus_Bsafe_fixed,5,0.22281233736558265,0.08706068047484702,3,0.6657928817968669,0.2248384749868194,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_Bsafe_fixed,5,0.11826611190436256,-0.017485544986373034,2,0.6537085901728983,0.21275418336285085,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,M_plus_Bsafe_fixed,5,0.18277149799390635,0.10070552000055813,3,0.7127516385920172,0.22365656876664225,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_Bsafe_fixed,5,0.06699017929841652,-0.015075798694931692,1,0.6664570708797767,0.17736200105440164,5
SantinhaPlatt2023,ContextSimBaseline,M_plus_Bsafe_fixed,5,0.0849924615544772,-0.1316954701378452,0,0.17065553854481466,-0.1411200695314779,0
SantinhaPlatt2023,ContextSimBaseline,P_plus_Bsafe_fixed,5,0.18077605235460364,-0.035911879337718736,1,0.22004285779187388,-0.09173275028441866,0
SantinhaPlatt2023,PertMeanPredictor,M_plus_Bsafe_fixed,5,0.06454705649792271,-0.0374560581600914,2,0.1884118506880576,-0.11324818299398758,0
SantinhaPlatt2023,PertMeanPredictor,P_plus_Bsafe_fixed,5,0.05499139387631682,-0.047011720781697304,2,0.18483775583752324,-0.11682227784452195,0
SantinhaPlatt2023,V0StrongBaseline,M_plus_Bsafe_fixed,5,0.08056983175312259,-0.025145427935562015,2,0.1763708191250822,-0.1483088158181466,0
SantinhaPlatt2023,V0StrongBaseline,P_plus_Bsafe_fixed,5,0.03952204664680488,-0.06619321304187972,1,0.17231531755546908,-0.15236431738775966,0
