dataset,predictor,held_bucket,method,n_test,utility20,spearman
SantinhaPlatt2023,PertMeanPredictor,4,P_plus_Bsafe_fixed,57,-0.06396662375162211,0.157700285195748
SantinhaPlatt2023,V0StrongBaseline,0,M,58,0.12452399103111839,0.39579153403740674
SantinhaPlatt2023,V0StrongBaseline,0,M_plus_Bsafe_fixed,58,0.04166530120763442,0.31981912701098164
SantinhaPlatt2023,V0StrongBaseline,0,P_plus_Bsafe_fixed,58,-0.02163005246890024,0.28872448747589674
SantinhaPlatt2023,V0StrongBaseline,1,M,41,0.1463247602186278,0.4526247112382455
SantinhaPlatt2023,V0StrongBaseline,1,M_plus_Bsafe_fixed,41,0.2028888659936078,0.28902439024390253
SantinhaPlatt2023,V0StrongBaseline,1,P_plus_Bsafe_fixed,41,0.29341064148673685,0.31045296167247394
SantinhaPlatt2023,V0StrongBaseline,2,M,79,0.15578237609145082,0.21347262119910482
SantinhaPlatt2023,V0StrongBaseline,2,M_plus_Bsafe_fixed,79,0.12068681766570757,0.006499592254525432
SantinhaPlatt2023,V0StrongBaseline,2,P_plus_Bsafe_fixed,79,0.04113401977411928,-0.015859685001899725
SantinhaPlatt2023,V0StrongBaseline,3,M,38,0.06831937620593166,0.25138301577613775
SantinhaPlatt2023,V0StrongBaseline,3,M_plus_Bsafe_fixed,38,-0.04508836621219034,0.032498085129664074
SantinhaPlatt2023,V0StrongBaseline,3,P_plus_Bsafe_fixed,38,-0.04508836621219034,0.11193784877995405
SantinhaPlatt2023,V0StrongBaseline,4,M,57,0.03362579489629443,0.310126292465249
SantinhaPlatt2023,V0StrongBaseline,4,M_plus_Bsafe_fixed,57,0.08269654011085355,0.23401290098633729
SantinhaPlatt2023,V0StrongBaseline,4,P_plus_Bsafe_fixed,57,-0.07021600934574114,0.16632097485092043
