dataset,n_perturbations,expression_axis_compatible,scgpt_vocab_compatible,dual_adapter_compatible,compatibility_fraction
Adamson,76,76,76,76,1.0
Papalexi,24,24,24,24,1.0
Parekh,10,5,10,5,0.5
