gene,control_mean_22RV1,trametinib_mean_22RV1,effect_trametinib_minus_control
RPLP1,141.35443,105.85714,-35.49729
RPL41,321.77216,225.66667,-96.105484
RPS2,186.53165,128.4762,-58.05545
RPS18,148.33545,126.440475,-21.894974
TMSB10,194.22784,140.9881,-53.239746
MT-CO3,124.32912,83.97619,-40.35293
RPS19,105.35443,89.2619,-16.09253
MT-CO1,167.67722,115.57143,-52.10579
