gene_index,true_effect,predicted_effect,difference_pred_minus_true,squared_error
0,0.0,-1.6490127e-05,-1.6490127e-05,2.719243e-10
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.005575648,-0.0015035209,-0.007079169,5.0114635e-05
4,0.0,-0.00011038082,-0.00011038082,1.2183925e-08
5,-0.013411694,-0.0006788182,0.012732876,0.00016212615
6,0.0,0.0,0.0,0.0
7,0.0,4.7950807e-06,4.7950807e-06,2.2992799e-11
8,-0.25,-0.21862586,0.03137414,0.0009843367
9,0.011904762,-0.003585264,-0.015490026,0.00023994091
10,0.0,0.0,0.0,0.0
11,0.0,0.00013202052,0.00013202052,1.7429418e-08
12,0.0,-2.742857e-05,-2.742857e-05,7.523265e-10
13,0.0,-6.944289e-05,-6.944289e-05,4.822315e-09
14,0.0,-3.745821e-05,-3.745821e-05,1.4031174e-09
15,0.0,-2.5590656e-05,-2.5590656e-05,6.548817e-10
16,0.0,0.00055389595,0.00055389595,3.0680073e-07
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.005575648,0.009589693,0.0040140445,1.6112554e-05
