feature,standardized_ridge_coefficient,pair_group,directional_pair
log1p_source_support,-0.04894773809645778,lara_cross_condition,Lara_exvivo_celltype -> Lara_invivo_celltype
nearest_context_similarity,-3.3359989624585905e-17,lara_cross_condition,Lara_exvivo_celltype -> Lara_invivo_celltype
prediction_disagreement_rmse,0.024950513209063413,lara_cross_condition,Lara_exvivo_celltype -> Lara_invivo_celltype
predicted_l2_combined,0.011202346919086314,lara_cross_condition,Lara_exvivo_celltype -> Lara_invivo_celltype
log1p_source_support,-0.12248714601024815,lara_cross_condition,Lara_invivo_celltype -> Lara_exvivo_celltype
nearest_context_similarity,-4.447526123947669e-16,lara_cross_condition,Lara_invivo_celltype -> Lara_exvivo_celltype
prediction_disagreement_rmse,0.04052940777484728,lara_cross_condition,Lara_invivo_celltype -> Lara_exvivo_celltype
predicted_l2_combined,0.3688132390864542,lara_cross_condition,Lara_invivo_celltype -> Lara_exvivo_celltype
log1p_source_support,-0.05247588131817038,lara_cross_condition,Lara_exvivo_celltype -> Lara_leukemia_celltype
nearest_context_similarity,1.7716061146594832e-17,lara_cross_condition,Lara_exvivo_celltype -> Lara_leukemia_celltype
prediction_disagreement_rmse,0.00704689589165608,lara_cross_condition,Lara_exvivo_celltype -> Lara_leukemia_celltype
predicted_l2_combined,0.023399474386639696,lara_cross_condition,Lara_exvivo_celltype -> Lara_leukemia_celltype
log1p_source_support,-0.5198881456039934,lara_cross_condition,Lara_leukemia_celltype -> Lara_exvivo_celltype
nearest_context_similarity,0.0840158614435441,lara_cross_condition,Lara_leukemia_celltype -> Lara_exvivo_celltype
prediction_disagreement_rmse,0.01620170480758043,lara_cross_condition,Lara_leukemia_celltype -> Lara_exvivo_celltype
predicted_l2_combined,0.31305727450278575,lara_cross_condition,Lara_leukemia_celltype -> Lara_exvivo_celltype
log1p_source_support,-0.16168983303886472,lara_cross_condition,Lara_invivo_celltype -> Lara_leukemia_celltype
nearest_context_similarity,-1.8631752300234363e-16,lara_cross_condition,Lara_invivo_celltype -> Lara_leukemia_celltype
prediction_disagreement_rmse,0.02480823282226603,lara_cross_condition,Lara_invivo_celltype -> Lara_leukemia_celltype
predicted_l2_combined,0.4255002798598667,lara_cross_condition,Lara_invivo_celltype -> Lara_leukemia_celltype
log1p_source_support,-0.3964983089258408,lara_cross_condition,Lara_leukemia_celltype -> Lara_invivo_celltype
nearest_context_similarity,0.03529515282405318,lara_cross_condition,Lara_leukemia_celltype -> Lara_invivo_celltype
prediction_disagreement_rmse,0.0002893852058115792,lara_cross_condition,Lara_leukemia_celltype -> Lara_invivo_celltype
predicted_l2_combined,0.40808847452048813,lara_cross_condition,Lara_leukemia_celltype -> Lara_invivo_celltype
log1p_source_support,0.0016512039147980194,tian_crispra_crispri,TianActivation_batch -> TianInhibition_batch
nearest_context_similarity,1.199162623240651e-19,tian_crispra_crispri,TianActivation_batch -> TianInhibition_batch
prediction_disagreement_rmse,-0.0016325160723743761,tian_crispra_crispri,TianActivation_batch -> TianInhibition_batch
predicted_l2_combined,0.0027612288618261696,tian_crispra_crispri,TianActivation_batch -> TianInhibition_batch
log1p_source_support,-0.0011514282669210115,tian_crispra_crispri,TianInhibition_batch -> TianActivation_batch
nearest_context_similarity,0.0,tian_crispra_crispri,TianInhibition_batch -> TianActivation_batch
prediction_disagreement_rmse,7.868514000541791e-05,tian_crispra_crispri,TianInhibition_batch -> TianActivation_batch
predicted_l2_combined,0.003510849108173729,tian_crispra_crispri,TianInhibition_batch -> TianActivation_batch
log1p_source_support,-0.014925522688079928,chemical_pbmc_to_cancer,KaggleCrossCell_celltype -> McFarland_cellline
nearest_context_similarity,-0.00305750038228418,chemical_pbmc_to_cancer,KaggleCrossCell_celltype -> McFarland_cellline
prediction_disagreement_rmse,-0.006070939037533743,chemical_pbmc_to_cancer,KaggleCrossCell_celltype -> McFarland_cellline
predicted_l2_combined,0.023892809365516236,chemical_pbmc_to_cancer,KaggleCrossCell_celltype -> McFarland_cellline
log1p_source_support,0.0073225543371825685,same_panel_new_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor
nearest_context_similarity,-0.003907630899019299,same_panel_new_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor
prediction_disagreement_rmse,-0.005172435869203781,same_panel_new_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor
predicted_l2_combined,0.010740531360733843,same_panel_new_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor
