task_id,perturbation,guide_id,n_guide_cells,scgpt_rmse,gears_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,pair_lower_bound,predicted_magnitude,extra_trees_vector_base,base__constant,upper__constant,covered__constant,base__predicted_magnitude,upper__predicted_magnitude,covered__predicted_magnitude,base__magnitude_plus_pair_lower,upper__magnitude_plus_pair_lower,covered__magnitude_plus_pair_lower,base__extra_trees_vector,upper__extra_trees_vector,covered__extra_trees_vector,pair_lower_mean_violation,pair_lower_max_violation
E180::ACO2::ACO2_1,ACO2,ACO2_1,347,0.053368710125422353,0.053720919862983024,0.053544814994202689,0.053720919862983024,0.025095771177513382,0.012547885588756691,0.0140092449100998,0.089154443445230006,0,0.2168090299069399,True,0.0140092449100998,0.21876655541804621,True,0.0140092449100998,0.21876655541804621,True,0.089154443445230006,0.22483818397777861,True,False,False
E180::ACO2::ACO2_2,ACO2,ACO2_2,242,0.066479743369161667,0.065199751497084207,0.06583974743312293,0.066479743369161667,0.025095771177513382,0.012547885588756691,0.0140092449100998,0.089154443445230006,0,0.2168090299069399,True,0.0140092449100998,0.21876655541804621,True,0.0140092449100998,0.21876655541804621,True,0.089154443445230006,0.22483818397777861,True,False,False
E180::ACO2::ACO2_3,ACO2,ACO2_3,489,0.054539992972133765,0.050592309809435319,0.052566151390784542,0.054539992972133765,0.025095771177513382,0.012547885588756691,0.0140092449100998,0.089154443445230006,0,0.2168090299069399,True,0.0140092449100998,0.21876655541804621,True,0.0140092449100998,0.21876655541804621,True,0.089154443445230006,0.22483818397777861,True,False,False
E180::ATP12A::ATP12A_1,ATP12A,ATP12A_1,167,0.07217410135798126,0.069253782837472022,0.070713942097726634,0.07217410135798126,0.02447948867666392,0.01223974433833196,0.012802989859526799,0.096663623863575299,0,0.2168090299069399,True,0.012802989859526799,0.2175603003674732,True,0.012802989859526799,0.2175603003674732,True,0.096663623863575299,0.23234736439612391,True,False,False
E180::ATP12A::ATP12A_2,ATP12A,ATP12A_2,156,0.081284589802510285,0.076346993676984845,0.078815791739747565,0.081284589802510285,0.02447948867666392,0.01223974433833196,0.012802989859526799,0.096663623863575299,0,0.2168090299069399,True,0.012802989859526799,0.2175603003674732,True,0.012802989859526799,0.2175603003674732,True,0.096663623863575299,0.23234736439612391,True,False,False
E180::ATP12A::ATP12A_3,ATP12A,ATP12A_3,219,0.066655481969586747,0.065236500321364882,0.065945991145475807,0.066655481969586747,0.02447948867666392,0.01223974433833196,0.012802989859526799,0.096663623863575299,0,0.2168090299069399,True,0.012802989859526799,0.2175603003674732,True,0.012802989859526799,0.2175603003674732,True,0.096663623863575299,0.23234736439612391,True,False,False
E180::BRD7::BRD7_1,BRD7,BRD7_1,191,0.0813307733661396,0.081883693349918046,0.08160723335802883,0.081883693349918046,0.031233027914971657,0.015616513957485829,0.015958099982055898,0.11761292358563059,0,0.2168090299069399,True,0.015958099982055898,0.22071541049000232,True,0.015958099982055898,0.22071541049000232,True,0.11761292358563059,0.25329666411817919,True,False,False
E180::BRD7::BRD7_2,BRD7,BRD7_2,225,0.074119456316095025,0.075308546352399211,0.074714001334247118,0.075308546352399211,0.031233027914971657,0.015616513957485829,0.015958099982055898,0.11761292358563059,0,0.2168090299069399,True,0.015958099982055898,0.22071541049000232,True,0.015958099982055898,0.22071541049000232,True,0.11761292358563059,0.25329666411817919,True,False,False
E180::BRD7::BRD7_3,BRD7,BRD7_3,417,0.060467343111317517,0.06214682061650488,0.061307081863911199,0.06214682061650488,0.031233027914971657,0.015616513957485829,0.015958099982055898,0.11761292358563059,0,0.2168090299069399,True,0.015958099982055898,0.22071541049000232,True,0.015958099982055898,0.22071541049000232,True,0.11761292358563059,0.25329666411817919,True,False,False
E180::COX6B1::COX6B1_1,COX6B1,COX6B1_1,185,0.082064407775390508,0.080859939642020123,0.081462173708705315,0.082064407775390508,0.022759696629482441,0.011379848314741221,0.012050382615778401,0.0948751581811592,0,0.2168090299069399,True,0.012050382615778401,0.2168076931237248,True,0.012050382615778401,0.2168076931237248,True,0.0948751581811592,0.23055889871370783,True,False,False
