perturbation,n_guides,max_pair_mean_rmse,mean_pair_mean_rmse,max_pair_lower_bound,cluster_covered__constant,mean_upper__constant,cluster_covered__predicted_magnitude,mean_upper__predicted_magnitude,cluster_covered__magnitude_plus_pair_lower,mean_upper__magnitude_plus_pair_lower,cluster_covered__extra_trees_vector,mean_upper__extra_trees_vector
ACO2,3,0.06583974743312293,0.057316904606036723,0.012547885588756691,True,0.21680902990693993,True,0.21876655541804621,True,0.21876655541804621,True,0.22483818397777858
ATP12A,3,0.078815791739747565,0.071825241660983336,0.01223974433833196,True,0.21680902990693993,True,0.2175603003674732,True,0.2175603003674732,True,0.23234736439612391
BRD7,3,0.08160723335802883,0.072542772185395718,0.015616513957485829,True,0.21680902990693993,True,0.22071541049000232,True,0.22071541049000232,True,0.25329666411817919
COX6B1,3,0.08438788505015965,0.071873997717052399,0.011379848314741221,True,0.21680902990693993,True,0.2168076931237248,True,0.2168076931237248,True,0.23055889871370783
CYC1,2,0.092524812088580849,0.081014735046236991,0.011104367741318774,True,0.2168090299069399,True,0.21673982175062262,True,0.21673982175062262,True,0.2191296194260402
DDX56,2,0.1701728475936819,0.15737069599715947,0.011068594203533242,True,0.2168090299069399,True,0.21636143836729071,True,0.21636143836729071,True,0.21806913870958561
DHX29,2,0.14123460594689508,0.12763818122655834,0.012008706004427766,True,0.2168090299069399,True,0.21655355697297965,True,0.21676571991682089,True,0.21536340761011022
DNMT3A,3,0.074567143626952687,0.063260796062117305,0.01407541613610727,True,0.21680902990693993,True,0.21908004967962391,True,0.21908004967962391,True,0.23374134667274082
DROSHA,3,0.11464931274376668,0.095863632774956284,0.012285734541083553,True,0.21680902990693993,True,0.21708840441776681,True,0.21708840441776681,True,0.21564804936333551
EEF1G,3,0.13870860530247858,0.12540318576205675,0.016062412055462515,True,0.21680902990693993,True,0.22140106260763401,True,0.22140106260763401,True,0.2535305796380532
EXOSC6,3,0.12758299323266065,0.1113918039598402,0.012972702906031586,True,0.21680902990693993,True,0.21765162931552332,True,0.21773001341055584,True,0.23484265402306492
FOS,3,0.059275248608083544,0.05801089487826671,0.013108515220014607,True,0.21680902990693993,True,0.21824707361068652,True,0.21824707361068652,True,0.23977533007777599
GTF2A1,2,0.10033396902590286,0.095704389070297963,0.012618732096325261,True,0.2168090299069399,True,0.21803348825119712,True,0.21803348825119712,True,0.23218637769551251
JUN,3,0.15770375160339228,0.12184342211306294,0.01271356321530232,True,0.21680902990693993,True,0.21811222683856379,True,0.21811222683856379,True,0.24201028390218435
MCM3,3,0.14246519259954293,0.11996893206822275,0.012930208852619078,True,0.21680902990693993,True,0.21779030085051401,True,0.21779030085051401,True,0.23409860172846889
MCM6,2,0.19689918449594535,0.14854089853437491,0.011343645130048808,True,0.2168090299069399,True,0.21615090187540431,True,0.21615090187540431,True,0.22207757718573071
MNAT1,3,0.10749165637167092,0.093931864513152788,0.012327474064888129,True,0.21680902990693993,True,0.21852931981025173,True,0.21852931981025173,True,0.23166235107919805
PCNA,2,0.12353000973157677,0.11880271121392494,0.012728578698346428,True,0.2168090299069399,True,0.21881451015728631,True,0.21881451015728631,True,0.23126808420970651
POLR1B,2,0.16907389301121925,0.15720440032137972,0.012363927120151883,True,0.2168090299069399,True,0.21780656023797129,True,0.21780656023797129,True,0.23540772706714272
RELA,3,0.061482195019054595,0.058501602857533828,0.011414047202601002,True,0.21680902990693993,True,0.21698862339311167,True,0.21698862339311167,True,0.21574960535577117
SDHA,3,0.058489261986731503,0.056324556792982927,0.012019090344434637,True,0.21680902990693993,True,0.2169547489882537,True,0.2169547489882537,True,0.21562698116330012
SLC28A3,3,0.080162138291837035,0.074154657928911558,0.011034974676525106,True,0.21680902990693993,True,0.21625579710978812,True,0.21625579710978812,True,0.2428971078961295
SMG7,2,0.1032278087289521,0.094547614447701836,0.012020944694701927,True,0.2168090299069399,True,0.21783544454050011,True,0.21783544454050011,True,0.22484720803965721
SOX2,3,0.083028946858289349,0.07535587788006419,0.012274899904818294,True,0.21680902990693993,True,0.21794169303583469,True,0.21794169303583469,True,0.24398968816357935
TPI1,3,0.079401351708883766,0.078692821681968783,0.012357897165249572,True,0.21680902990693993,True,0.21739107837118574,True,0.21739107837118574,True,0.22505972190711052
XPO5,3,0.09278247207708705,0.066101602699218165,0.012383839080235423,True,0.21680902990693993,True,0.21724884836224848,True,0.21724884836224848,True,0.22782876007486552
XRN2,3,0.1485223171014185,0.1222887283061015,0.013146043895014805,True,0.21680902990693993,True,0.21831648002254711,True,0.21831648002254711,True,0.23597190309982072
