fold_id,setting,score,n_tasks,spearman,mean_error,accepted_nested_q80_fraction,accepted_nested_q80_mean_error
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,baseline_predicted_magnitude,60,0.016504584606835234,0.057164378625672134,0.9666666666666667,0.05598790409294202
frangieh_context_holdout_1_Co-culture,random_missing_pair,safeconf_nested_hard_risk,30,0.1581757508342603,0.05117951111678585,0.9666666666666667,0.050802121035889485
frangieh_context_holdout_1_Co-culture,random_missing_pair,safeconf_calibrated_pair_risk,30,0.19955506117908786,0.05117951111678585,0.9666666666666667,0.050802121035889485
frangieh_context_holdout_1_Co-culture,random_missing_pair,safeconf_frozen_pair_risk,30,0.207119021134594,0.05117951111678585,0.9666666666666667,0.050802121035889485
frangieh_context_holdout_1_Co-culture,random_missing_pair,risk_model_disagreement,30,0.1581757508342603,0.05117951111678585,0.9666666666666667,0.050802121035889485
frangieh_context_holdout_1_Co-culture,random_missing_pair,baseline_predicted_magnitude,30,0.13726362625139044,0.05117951111678585,0.9666666666666667,0.050802121035889485
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,safeconf_nested_hard_risk,279,0.045994540772911624,0.05349001008117537,0.8960573476702509,0.05213427365407232
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,safeconf_calibrated_pair_risk,279,0.07218170164329367,0.05349001008117537,0.8960573476702509,0.05213427365407232
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,safeconf_frozen_pair_risk,279,0.08477494502094177,0.05349001008117537,0.8960573476702509,0.05213427365407232
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,risk_model_disagreement,279,0.08931638099658523,0.05349001008117537,0.8960573476702509,0.05213427365407232
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,baseline_predicted_magnitude,279,0.11016863928212271,0.05349001008117537,0.8960573476702509,0.05213427365407232
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,safeconf_nested_hard_risk,30,0.04872080088987764,0.05583056094265013,0.9666666666666667,0.055588327924440385
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,safeconf_calibrated_pair_risk,30,0.056729699666295874,0.05583056094265013,0.9666666666666667,0.055588327924440385
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,safeconf_frozen_pair_risk,30,0.08298109010011123,0.05583056094265013,0.9666666666666667,0.055588327924440385
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,risk_model_disagreement,30,0.08298109010011123,0.05583056094265013,0.9666666666666667,0.055588327924440385
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,baseline_predicted_magnitude,30,-0.0028921023359288096,0.05583056094265013,0.9666666666666667,0.055588327924440385
frangieh_context_holdout_2_Control,context_unseen_row,safeconf_nested_hard_risk,159,0.19345593503701938,0.05847879790628503,0.9559748427672956,0.05813471698333336
frangieh_context_holdout_2_Control,context_unseen_row,safeconf_calibrated_pair_risk,159,0.19810723668497732,0.05847879790628503,0.9559748427672956,0.05813471698333336
frangieh_context_holdout_2_Control,context_unseen_row,safeconf_frozen_pair_risk,159,0.1791407929304992,0.05847879790628503,0.9559748427672956,0.05813471698333336
frangieh_context_holdout_2_Control,context_unseen_row,risk_model_disagreement,159,0.2031197754955816,0.05847879790628503,0.9559748427672956,0.05813471698333336
frangieh_context_holdout_2_Control,context_unseen_row,baseline_predicted_magnitude,159,0.1962891091473609,0.05847879790628503,0.9559748427672956,0.05813471698333336
frangieh_context_holdout_2_Control,perturbation_unseen_column,safeconf_nested_hard_risk,60,0.19699916643512091,0.05094589139225395,0.9666666666666667,0.05100792847934243
frangieh_context_holdout_2_Control,perturbation_unseen_column,safeconf_calibrated_pair_risk,60,0.20005557099194227,0.05094589139225395,0.9666666666666667,0.05100792847934243
frangieh_context_holdout_2_Control,perturbation_unseen_column,safeconf_frozen_pair_risk,60,0.22006112809113648,0.05094589139225395,0.9666666666666667,0.05100792847934243
frangieh_context_holdout_2_Control,perturbation_unseen_column,risk_model_disagreement,60,0.22006112809113648,0.05094589139225395,0.9666666666666667,0.05100792847934243
frangieh_context_holdout_2_Control,perturbation_unseen_column,baseline_predicted_magnitude,60,0.18438455126424008,0.05094589139225395,0.9666666666666667,0.05100792847934243
frangieh_context_holdout_2_Control,random_missing_pair,safeconf_nested_hard_risk,30,0.2738598442714127,0.049278857408866734,0.9666666666666667,0.04888812524764482
frangieh_context_holdout_2_Control,random_missing_pair,safeconf_calibrated_pair_risk,30,0.22580645161290322,0.049278857408866734,0.9666666666666667,0.04888812524764482
frangieh_context_holdout_2_Control,random_missing_pair,safeconf_frozen_pair_risk,30,0.2453837597330367,0.049278857408866734,0.9666666666666667,0.04888812524764482
frangieh_context_holdout_2_Control,random_missing_pair,risk_model_disagreement,30,0.24983314794215797,0.049278857408866734,0.9666666666666667,0.04888812524764482
frangieh_context_holdout_2_Control,random_missing_pair,baseline_predicted_magnitude,30,0.25739710789766407,0.049278857408866734,0.9666666666666667,0.04888812524764482
frangieh_context_holdout_2_Control,all_test_settings_pooled,safeconf_nested_hard_risk,279,0.2021676667882284,0.05558482043433715,0.9605734767025089,0.05531624617633957
frangieh_context_holdout_2_Control,all_test_settings_pooled,safeconf_calibrated_pair_risk,279,0.4420089734663882,0.05558482043433715,0.9605734767025089,0.05531624617633957
frangieh_context_holdout_2_Control,all_test_settings_pooled,safeconf_frozen_pair_risk,279,0.41914873631049077,0.05558482043433715,0.9605734767025089,0.05531624617633957
frangieh_context_holdout_2_Control,all_test_settings_pooled,risk_model_disagreement,279,0.16859618296146495,0.05558482043433715,0.9605734767025089,0.05531624617633957
frangieh_context_holdout_2_Control,all_test_settings_pooled,baseline_predicted_magnitude,279,0.21103835825348938,0.05558482043433715,0.9605734767025089,0.05531624617633957
