setting,n_tasks,median_rmse,mean_rmse
context_and_perturbation_unseen,90,0.05495866946876045,0.05778792806797552
context_unseen_row,477,0.0555408783257007,0.05855401709238433
perturbation_unseen_column,180,0.049801597371697356,0.053392934964762745
random_missing_pair,90,0.0498958639800548,0.05142909222178984
