predictor,outcome,n_tasks,n_gene_clusters,spearman,ci95_lower,ci95_upper,bootstrap_valid
diversity_lower_bound,family_rms_error,692,47,0.4238823589099221,0.13477919641265906,0.6321949710847506,2000
diameter_half_lower_bound,family_worst_error,692,47,0.5073345521887049,0.2397384480925466,0.6955886848395664,2000
predicted_magnitude,family_rms_error,692,47,0.41976338967379845,0.12849780419376636,0.6200635650839202,2000
source_effect_magnitude,family_rms_error,692,47,0.41909429518231034,0.16001799705140424,0.623812697902581,2000
