estimator,n_tasks,n_gene_clusters,mean_rmse,zero_mean_rmse,task_win_rate_vs_zero,gene_cluster_mean_delta,ci95_lower,ci95_upper,n_boot
scGPT,692,47,0.2582610531666656,0.2582832894744899,0.5708092485549133,0.0004272800113409201,0.0001260961749263392,0.000731073887347675,5000
GEARS,692,47,0.23850458631322977,0.2582832894744899,0.6069364161849711,-0.006385921323673767,-0.014772741766660307,0.0011227129158094867,5000
six_model_family,692,47,0.24918536704640062,0.2582832894744899,0.5982658959537572,-0.002540422798775574,-0.006747180433700461,0.0011009129034226428,5000
source_effect,692,47,0.23705777613775944,0.2582832894744899,0.6242774566473989,-0.007340309589055406,-0.01631224715483063,0.0002839754213290547,5000
