culture_condition,stratum,n_tasks,n_leave_one_seed_out_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
Rest,all_200,200,5,10,0.84470261756543918,0.9239915997899949,0.96772069301732566,0.93651001275031875,2000,0.89712954356918095,0.94119281153310475,True
Rest,seen_160,160,5,10,0.72723543888433151,0.87004863471229343,0.94297140513301314,0.88980311730926986,2000,0.82379050285173039,0.90365022308546017,True
Stim8hr,all_200,200,5,10,0.84176854421360547,0.92219305482637082,0.96867621690542283,0.93580403510087751,2000,0.89638553916797437,0.94057567337780901,True
Stim8hr,seen_160,160,5,10,0.7219354271651236,0.86718182350873085,0.94456521739130439,0.88860025782257124,2000,0.82362348295132171,0.90242071361710452,True
Stim48hr,all_200,200,5,10,0.8447506187654692,0.92269631740793523,0.96872571814295361,0.93640081002025055,2000,0.89654516523860051,0.94059073716593256,True
Stim48hr,seen_160,160,5,10,0.72624516582679011,0.86742353216922541,0.94460916442048526,0.88918715574827145,2000,0.8195790499671991,0.90075421428255642,True
