seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,1,0.011132304292793075,129,,
3407,GEARS,1,0.012131141871213913,,1261,4074
3408,scGPT,2,0.011038969286407034,129,,
3408,GEARS,1,0.011843769143645962,,1261,4074
3409,scGPT,3,0.011086595989763737,129,,
3409,GEARS,1,0.012147628438348572,,1261,4074
3410,scGPT,2,0.011086825374513864,129,,
3410,GEARS,1,0.011980141870056589,,1261,4074
3411,scGPT,3,0.011088754578183094,129,,
3411,GEARS,1,0.01196907254246374,,1261,4074
