culture_condition,predictor_name,n_tasks,all_finite,n_unique_vectors,max_repeat_fraction,max_coordinate_std,passed
Rest,scGPT_seed3407,200,True,200,0.0050000000000000001,4.2315326826738067e-05,True
Rest,scGPT_seed3408,200,True,200,0.0050000000000000001,0.0011972836223787435,True
Rest,scGPT_seed3409,200,True,200,0.0050000000000000001,0.00061356367454116708,True
Rest,scGPT_seed3410,200,True,200,0.0050000000000000001,0.00056772635581579995,True
Rest,scGPT_seed3411,200,True,200,0.0050000000000000001,0.0002517356907828355,True
Rest,GEARS_seed3407,200,True,200,0.0050000000000000001,0.11195347204419072,True
Rest,GEARS_seed3408,200,True,200,0.0050000000000000001,0.066947128021703342,True
Rest,GEARS_seed3409,200,True,200,0.0050000000000000001,0.087497257346257823,True
Rest,GEARS_seed3410,200,True,200,0.0050000000000000001,0.067330124581095385,True
Rest,GEARS_seed3411,200,True,200,0.0050000000000000001,0.062707853129644067,True
Rest,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00024233352070253999,True
Rest,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.036935150330681912,True
Stim8hr,scGPT_seed3407,200,True,200,0.0050000000000000001,4.2070740134795657e-05,True
Stim8hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.0010659308192960662,True
Stim8hr,scGPT_seed3409,200,True,200,0.0050000000000000001,0.00070958579598572329,True
Stim8hr,scGPT_seed3410,200,True,200,0.0050000000000000001,0.00062529574539864591,True
Stim8hr,scGPT_seed3411,200,True,200,0.0050000000000000001,0.00027448578531970373,True
Stim8hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.11189645808898313,True
Stim8hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.06697584128486013,True
Stim8hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.087390279110271876,True
Stim8hr,GEARS_seed3410,200,True,200,0.0050000000000000001,0.067359166961153558,True
Stim8hr,GEARS_seed3411,200,True,200,0.0050000000000000001,0.062722595930359101,True
Stim8hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00022321819506699298,True
Stim8hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.036860775110011706,True
Stim48hr,scGPT_seed3407,200,True,200,0.0050000000000000001,4.3117787450530584e-05,True
Stim48hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.0012075951662173987,True
Stim48hr,scGPT_seed3409,200,True,200,0.0050000000000000001,0.00051056874466898965,True
Stim48hr,scGPT_seed3410,200,True,200,0.0050000000000000001,0.00062201148153317738,True
Stim48hr,scGPT_seed3411,200,True,200,0.0050000000000000001,0.00021951791967212978,True
Stim48hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.11194897428741879,True
Stim48hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.06702415846139019,True
Stim48hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.087589470547230999,True
Stim48hr,GEARS_seed3410,200,True,200,0.0050000000000000001,0.067390021162875541,True
Stim48hr,GEARS_seed3411,200,True,200,0.0050000000000000001,0.062697815690145153,True
Stim48hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00024208939461449672,True
Stim48hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.036927903675588507,True
