perturbation
ADAM10
ADARB2
AFG3L2
AIFM1
ANO10
AP2A2
ATP1A3
ATP6AP2
ATXN1
BAX
BCS1L
BECN1
CALB1
CASP3
CELF1
CEP63
CIC
COASY
COG4
COX10
CREBBP
CYB561
DAP
DMXL1
DNAJC6
DNM2
DROSHA
DYNC1H1
ECHS1
EEF2
ELMO1
ELOVL5
FARP1
FBXO7
FERMT2
FOXRED1
FRMD4A
FXN
GLE1
GOLIM4
GRN
GTF2H3
HEXA
HSPA9
HTT
HYOU1
IGF1R
KIFAP3
MAPT
MRPL10
MTA1
NDUFA9
NDUFAF2
NDUFV1
NSF
NTRK2
OPTN
PARP1
PAXIP1
PFN1
PLEKHG5
PMPCA
POLG
PON2
POU4F1
PPP2R2B
PRRC2C
PSAP
PSMF1
RAB7A
RBM17
RELN
RGL1
RGS2
RPL6
SASH1
SCAPER
SCO2
SERAC1
SLMAP
SNCB
SOD2
SPG7
STX1B
SYNJ1
TAF1
TFAM
TOP1
TRAP1
TRPM7
UBA5
UBTD2
VAPB
VPS13A
VPS13C
VPS54
WDR45
XRCC1
ZNF599
