fold_id,setting,split,n_tasks,min_cells,median_cells
Tian_CRISPRi_batch_holdout_1_B1,context_and_perturbation_unseen,test,20,30,45.5
Tian_CRISPRi_batch_holdout_1_B1,context_unseen_row,test,79,33,50.0
Tian_CRISPRi_batch_holdout_1_B1,perturbation_unseen_column,test,60,30,45.0
Tian_CRISPRi_batch_holdout_1_B1,random_missing_pair,test,24,30,55.5
Tian_CRISPRi_batch_holdout_1_B1,source_train_pair,train,189,30,47.0
Tian_CRISPRi_batch_holdout_1_B1,source_validation_pair,val,24,30,50.0
Tian_CRISPRi_batch_holdout_2_B2,context_and_perturbation_unseen,test,20,34,46.5
Tian_CRISPRi_batch_holdout_2_B2,context_unseen_row,test,79,31,49.0
Tian_CRISPRi_batch_holdout_2_B2,perturbation_unseen_column,test,60,30,44.5
Tian_CRISPRi_batch_holdout_2_B2,random_missing_pair,test,24,31,48.5
Tian_CRISPRi_batch_holdout_2_B2,source_train_pair,train,189,30,48.0
Tian_CRISPRi_batch_holdout_2_B2,source_validation_pair,val,24,31,51.5
Tian_CRISPRi_batch_holdout_3_B3,context_and_perturbation_unseen,test,20,30,43.0
Tian_CRISPRi_batch_holdout_3_B3,context_unseen_row,test,79,30,38.0
Tian_CRISPRi_batch_holdout_3_B3,perturbation_unseen_column,test,60,34,52.0
Tian_CRISPRi_batch_holdout_3_B3,random_missing_pair,test,24,31,48.0
Tian_CRISPRi_batch_holdout_3_B3,source_train_pair,train,189,30,51.0
Tian_CRISPRi_batch_holdout_3_B3,source_validation_pair,val,24,34,55.0
Tian_CRISPRi_batch_holdout_4_B4,context_and_perturbation_unseen,test,20,40,58.5
Tian_CRISPRi_batch_holdout_4_B4,context_unseen_row,test,79,34,55.0
Tian_CRISPRi_batch_holdout_4_B4,perturbation_unseen_column,test,60,30,49.5
Tian_CRISPRi_batch_holdout_4_B4,random_missing_pair,test,24,31,40.5
Tian_CRISPRi_batch_holdout_4_B4,source_train_pair,train,189,30,46.0
Tian_CRISPRi_batch_holdout_4_B4,source_validation_pair,val,24,30,42.0
