fold_id,metric,score,endpoint,n_tasks,spearman
Replogle_cellline_holdout_1_K562,absolute_safeconf_spearman,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,128,0.43286834037471666
Replogle_cellline_holdout_1_K562,absolute_magnitude_spearman,baseline_predicted_magnitude,error_two_predictor_mean_rmse,128,0.42242148873832625
Replogle_cellline_holdout_1_K562,absolute_disagreement_spearman,risk_model_disagreement,error_two_predictor_mean_rmse,128,0.4335973264969785
Replogle_cellline_holdout_1_K562,directional_pearson_spearman,directional_risk_frozen,error_centered_pearson_mean,128,0.4950880320230757
Replogle_cellline_holdout_1_K562,directional_cosine_spearman,directional_risk_frozen,error_centered_cosine_mean,128,0.4964785760376578
Replogle_cellline_holdout_1_K562,directional_composite_spearman,directional_risk_frozen,direction_error_rank_target,128,0.49596983063579864
Replogle_cellline_holdout_1_K562,magnitude_pearson_spearman,baseline_predicted_magnitude,error_centered_pearson_mean,128,0.4634396172862113
Replogle_cellline_holdout_1_K562,magnitude_cosine_spearman,baseline_predicted_magnitude,error_centered_cosine_mean,128,0.4595483885735213
Replogle_cellline_holdout_1_K562,magnitude_composite_spearman,baseline_predicted_magnitude,direction_error_rank_target,128,0.4609952520423803
Replogle_cellline_holdout_2_RPE1,absolute_safeconf_spearman,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,128,0.22641217929505392
Replogle_cellline_holdout_2_RPE1,absolute_magnitude_spearman,baseline_predicted_magnitude,error_two_predictor_mean_rmse,128,0.21913912287126897
Replogle_cellline_holdout_2_RPE1,absolute_disagreement_spearman,risk_model_disagreement,error_two_predictor_mean_rmse,128,0.22673846365134592
Replogle_cellline_holdout_2_RPE1,directional_pearson_spearman,directional_risk_frozen,error_centered_pearson_mean,128,0.25082761326633546
Replogle_cellline_holdout_2_RPE1,directional_cosine_spearman,directional_risk_frozen,error_centered_cosine_mean,128,0.2505557956073157
Replogle_cellline_holdout_2_RPE1,directional_composite_spearman,directional_risk_frozen,direction_error_rank_target,128,0.25086949000945324
Replogle_cellline_holdout_2_RPE1,magnitude_pearson_spearman,baseline_predicted_magnitude,error_centered_pearson_mean,128,0.2306983611060245
Replogle_cellline_holdout_2_RPE1,magnitude_cosine_spearman,baseline_predicted_magnitude,error_centered_cosine_mean,128,0.2301833455411097
Replogle_cellline_holdout_2_RPE1,magnitude_composite_spearman,baseline_predicted_magnitude,direction_error_rank_target,128,0.23097843596091092
