dataset,fold_id,endpoint,score,n_tasks,spearman
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_pearson_mean,directional_risk_frozen,128,0.7248027193096109
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude,128,0.22479857169016662
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_pearson_mean,novelty,128,0.3048026209600592
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_pearson_mean,disagreement,128,-0.059850531038271385
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude_plus_novelty,128,0.328004692593627
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_cosine_mean,directional_risk_frozen,128,0.7476352066777252
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude,128,0.2686149514740889
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_cosine_mean,novelty,128,0.31771798625497705
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_cosine_mean,disagreement,128,-0.04765610694012085
Nadig,Nadig_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude_plus_novelty,128,0.377848038008514
Nadig,Nadig_cellline_holdout_1_HepG2,direction_error_rank_target,directional_risk_frozen,128,0.7372371288271392
Nadig,Nadig_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude,128,0.24894808800050952
Nadig,Nadig_cellline_holdout_1_HepG2,direction_error_rank_target,novelty,128,0.3099878367982497
Nadig,Nadig_cellline_holdout_1_HepG2,direction_error_rank_target,disagreement,128,-0.05022282956432472
Nadig,Nadig_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude_plus_novelty,128,0.3533315117712429
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_pearson_mean,directional_risk_frozen,128,0.7713894948421376
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude,128,0.33465711408167004
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_pearson_mean,novelty,128,0.43653934696822044
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_pearson_mean,disagreement,128,0.30430553012268813
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude_plus_novelty,128,0.4720085837219004
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_cosine_mean,directional_risk_frozen,128,0.7659072834142325
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude,128,0.3285913752060062
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_cosine_mean,novelty,128,0.4434275417921765
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_cosine_mean,disagreement,128,0.2951554202527009
Nadig,Nadig_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude_plus_novelty,128,0.47380257513832696
Nadig,Nadig_cellline_holdout_2_Jurkat,direction_error_rank_target,directional_risk_frozen,128,0.7696751710288425
Nadig,Nadig_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude,128,0.3336185144888345
Nadig,Nadig_cellline_holdout_2_Jurkat,direction_error_rank_target,novelty,128,0.441297709013862
Nadig,Nadig_cellline_holdout_2_Jurkat,direction_error_rank_target,disagreement,128,0.30158003507949893
Nadig,Nadig_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude_plus_novelty,128,0.4753048801748949
Replogle,Replogle_cellline_holdout_1_K562,error_centered_pearson_mean,directional_risk_frozen,128,0.10067615793241082
Replogle,Replogle_cellline_holdout_1_K562,error_centered_pearson_mean,magnitude,128,0.16246475357201887
Replogle,Replogle_cellline_holdout_1_K562,error_centered_pearson_mean,novelty,128,0.0836752689158763
Replogle,Replogle_cellline_holdout_1_K562,error_centered_pearson_mean,disagreement,128,-0.2397626350485259
Replogle,Replogle_cellline_holdout_1_K562,error_centered_pearson_mean,magnitude_plus_novelty,128,0.18850735217195225
Replogle,Replogle_cellline_holdout_1_K562,error_centered_cosine_mean,directional_risk_frozen,128,0.09443815585513805
Replogle,Replogle_cellline_holdout_1_K562,error_centered_cosine_mean,magnitude,128,0.18569198877855705
Replogle,Replogle_cellline_holdout_1_K562,error_centered_cosine_mean,novelty,128,0.07518031775690409
Replogle,Replogle_cellline_holdout_1_K562,error_centered_cosine_mean,disagreement,128,-0.25866370628090096
Replogle,Replogle_cellline_holdout_1_K562,error_centered_cosine_mean,magnitude_plus_novelty,128,0.2019296524821831
Replogle,Replogle_cellline_holdout_1_K562,direction_error_rank_target,directional_risk_frozen,128,0.09799269740657388
Replogle,Replogle_cellline_holdout_1_K562,direction_error_rank_target,magnitude,128,0.1737935515898113
Replogle,Replogle_cellline_holdout_1_K562,direction_error_rank_target,novelty,128,0.0796440411243286
Replogle,Replogle_cellline_holdout_1_K562,direction_error_rank_target,disagreement,128,-0.24669587166904536
Replogle,Replogle_cellline_holdout_1_K562,direction_error_rank_target,magnitude_plus_novelty,128,0.19520510710336095
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_pearson_mean,directional_risk_frozen,128,0.2867590465502221
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_pearson_mean,magnitude,128,0.2460572697308185
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_pearson_mean,novelty,128,-0.014016669412304152
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_pearson_mean,disagreement,128,0.17980910089727153
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_pearson_mean,magnitude_plus_novelty,128,0.20674717349398683
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_cosine_mean,directional_risk_frozen,128,0.27968034246164625
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_cosine_mean,magnitude,128,0.23719327961911735
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_cosine_mean,novelty,128,-0.019963135223584703
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_cosine_mean,disagreement,128,0.1834142098516755
Replogle,Replogle_cellline_holdout_2_RPE1,error_centered_cosine_mean,magnitude_plus_novelty,128,0.19681568672872354
Replogle,Replogle_cellline_holdout_2_RPE1,direction_error_rank_target,directional_risk_frozen,128,0.28304300065380505
Replogle,Replogle_cellline_holdout_2_RPE1,direction_error_rank_target,magnitude,128,0.24233953022272153
Replogle,Replogle_cellline_holdout_2_RPE1,direction_error_rank_target,novelty,128,-0.015928717065844995
Replogle,Replogle_cellline_holdout_2_RPE1,direction_error_rank_target,disagreement,128,0.17852636293979887
