dataset,endpoint,score,n_folds,n_gene_clusters,fold_macro_spearman,ci95_low,ci95_high,delta_vs_magnitude,delta_vs_magnitude_ci95_low,delta_vs_magnitude_ci95_high,delta_vs_novelty,delta_vs_novelty_ci95_low,delta_vs_novelty_ci95_high,delta_vs_magnitude_plus_novelty,delta_vs_magnitude_plus_novelty_ci95_low,delta_vs_magnitude_plus_novelty_ci95_high
Nadig,direction_error_rank_target,directional_risk_frozen,2,96,0.7534561499279908,0.694262395368862,0.800346596438386,0.4621728486833188,0.3689941219166323,0.5586775470313677,0.37781337702193496,0.2973289030812212,0.45293262935923734,0.3391379539549219,0.26264494359865087,0.4253850700143259
Nadig,direction_error_rank_target,magnitude,2,96,0.291283301244672,0.17776503759730616,0.38806150658333516,0.0,0.0,0.0,-0.08435947166138386,-0.20536088336167693,0.02436011539473245,-0.1230348947283969,-0.1830912340306567,-0.06480509426502662
Nadig,direction_error_rank_target,novelty,2,96,0.37564277290605586,0.28878194316338796,0.45741607151180275,0.08435947166138386,-0.02436011539473248,0.2053608833616769,0.0,0.0,0.0,-0.03867542306701305,-0.10701722442594168,0.03699869974923436
Nadig,direction_error_rank_target,disagreement,2,96,0.1256786027575871,0.024153739293850767,0.23698655892756584,-0.1656046984870849,-0.28171258054578013,-0.03350082718680195,-0.24996417014846875,-0.3920494142463918,-0.10270187980742862,-0.2886395932154818,-0.4073338767679496,-0.15464002124163143
Nadig,direction_error_rank_target,magnitude_plus_novelty,2,96,0.4143181959730689,0.3183952273147534,0.4881818798187156,0.1230348947283969,0.0648050942650266,0.18309123403065664,0.03867542306701305,-0.03699869974923439,0.10701722442594166,0.0,0.0,0.0
Nadig,error_centered_cosine_mean,directional_risk_frozen,2,96,0.7567712450459789,0.6939524145648146,0.8042009392735703,0.4581680817059314,0.35533868034467747,0.5667209780052659,0.37619848102240216,0.2945980097824999,0.4560852559836611,0.33094593847255843,0.25663512350980905,0.4201574665571032
Nadig,error_centered_cosine_mean,magnitude,2,96,0.29860316334004755,0.1800306745769893,0.39620044187168835,0.0,0.0,0.0,-0.08196960068352921,-0.20797620835757474,0.02746667262987829,-0.12722214323337294,-0.1883302790169236,-0.06577828729389691
Nadig,error_centered_cosine_mean,novelty,2,96,0.38057276402357676,0.29135654692659474,0.46707733434607857,0.08196960068352921,-0.02746667262987829,0.2079762083575746,0.0,0.0,0.0,-0.04525254254984373,-0.11222039918838979,0.029768823767813663
Nadig,error_centered_cosine_mean,disagreement,2,96,0.12374965665629004,0.01586636728182534,0.2306553113552803,-0.17485350668375751,-0.2967186551399414,-0.04716965787427465,-0.25682310736728675,-0.40398721654732506,-0.11109957916365075,-0.30207564991713043,-0.41803352851046416,-0.1719423966518782
Nadig,error_centered_cosine_mean,magnitude_plus_novelty,2,96,0.4258253065734205,0.32570361869563025,0.5049435960032013,0.12722214323337294,0.06577828729389686,0.1883302790169235,0.04525254254984373,-0.029768823767813667,0.11222039918838977,0.0,0.0,0.0
