draw,delta_spearman,delta_utility_20
0,0.08611355048261071,0.08037801230239783
1,0.08746857211729553,0.07910416163127298
2,0.09355453144490833,0.0760662712450837
3,0.08826927307451904,0.07172702981000179
4,0.09143224910319647,0.0635402074550575
5,0.08714900226491917,0.10108798518078654
6,0.09089871230413682,0.09129188399674193
7,0.0864183329876761,0.08616074760675074
8,0.09072133452730924,0.09232720688005758
9,0.09386329295304296,0.11581489183957427
10,0.10141208531844503,0.06249097372957635
11,0.11056942487343069,0.09770846667733635
12,0.08698047358038996,0.07311573902101232
13,0.0915942290827606,0.11923134639301991
14,0.09058721595099017,0.08150347882288589
15,0.0856943381529015,0.06712935916471041
16,0.0904402648262167,0.09415383669405875
17,0.08631766048429346,0.08774157929771764
18,0.09982701230383784,0.09422762332518009
19,0.08725252402629236,0.08913794941748898
20,0.0936420713992534,0.11423039070780783
21,0.08883876051738371,0.07350998657894425
22,0.10105829133265465,0.10858266268738437
23,0.09731454351738189,0.0816548484122307
24,0.09204840131458225,0.07642932218366805
25,0.09467428696924873,0.09792773641111507
26,0.09121943527417231,0.09824304641108572
27,0.09513647179623541,0.11577426834856475
28,0.08875132131801455,0.10847515994805046
29,0.10769024217800005,0.09808546806317686
30,0.08641584512357958,0.09601035446104944
31,0.10264868874527522,0.0940174668680328
32,0.0973792391708046,0.07776639091605386
33,0.10113163917040746,0.11823030787438682
34,0.08618642216303152,0.09419572519734176
35,0.08603519889187672,0.07668423558796167
36,0.09566076707630622,0.07668086409213104
37,0.09400722557327112,0.13172441494269005
38,0.09305720930239203,0.09006482013723327
39,0.08880220501096114,0.06350803758949852
40,0.1002713739935771,0.11020560779519972
41,0.09028759798592711,0.06826598290480546
42,0.09758970069553363,0.08489774156310137
43,0.09357980620621831,0.07668180255843182
44,0.0948326371303927,0.09082060742840747
45,0.08757777844891512,0.08762368369076257
46,0.08161461664251923,0.06714758403236831
47,0.09708071218324787,0.09513164731450985
48,0.10352266938207744,0.11302441182797918
49,0.09976275853798733,0.07921539938835853
50,0.08700385073788519,0.09650447930638406
51,0.1010196178705195,0.1017422765089514
52,0.0913305928493382,0.07769885158359235
53,0.09176929939653022,0.1038585023088493
54,0.08650916118597529,0.08435454018084287
55,0.09423255969045019,0.08854734186987867
56,0.08829455115322526,0.08278784553898066
57,0.0975445117575442,0.0928030301020959
58,0.09773487913901124,0.12950988865778335
59,0.10214883575890321,0.11245692119856932
60,0.0861959821031052,0.09123037505533582
61,0.09211083879376059,0.07404578827249808
62,0.09769885925702604,0.08125954656827372
63,0.09977435600471829,0.06748837153543297
64,0.09736857882194527,0.1030400197547715
65,0.08993703517491558,0.058622622373905586
66,0.09568592562633194,0.09039823102242772
67,0.08813983742534981,0.09888623536604346
68,0.08124275637418754,0.051025349345110604
69,0.08434939209569847,0.09954768070728515
70,0.08757297649413198,0.07634321812689104
71,0.10088693925937386,0.08350674193938623
72,0.09944090402919703,0.08111227548827071
73,0.09429165460321587,0.09256904626981965
74,0.08774090155024017,0.11064867171204296
75,0.09408246874891768,0.10626938764944538
76,0.09243025654779902,0.09329216749038716
77,0.10018469995430701,0.10891752829299517
78,0.0900981558133126,0.05387985063578693
79,0.09025501913255296,0.08383067382464349
80,0.09166650810160548,0.07505015619591959
81,0.10768575129860869,0.06638597950303271
82,0.10113088171160911,0.09451131065308349
83,0.08977513069052634,0.10009169580676591
84,0.09107651552323093,0.06257638142650979
85,0.09666044985099653,0.08365934190942514
86,0.10539673158862117,0.10028047436731946
87,0.08941814853853158,0.07443281686364722
88,0.0890075264490714,0.08081384211585674
89,0.08270971900086199,0.09237608686277765
90,0.09570925228422322,0.13490406639229624
91,0.08504224827446394,0.06521554777764305
92,0.09384915709210329,0.12897912806560552
93,0.09428482387675119,0.08906539353291132
94,0.09115467027443558,0.09686328756905804
95,0.08918778718406017,0.09165535160907756
96,0.09413120149301613,0.06731651857793264
97,0.09571601845528521,0.10732006048063114
98,0.09223456280362041,0.09239577991151537
99,0.0950914620776413,0.06965993923778158
100,0.08954884236173555,0.08204556127948981
101,0.09195631061839882,0.09252087489508687
102,0.09873395066312096,0.09939806865657475
103,0.09189056080568914,0.05243036895611741
104,0.08552669454492523,0.07309219865813243
105,0.10223096085152128,0.09416477307437121
106,0.09595819444781406,0.07735455321243734
107,0.08881074462868466,0.0785897326597661
108,0.08645428555107093,0.06681422908266388
109,0.08904412370265036,0.06408280585429083
110,0.08907490700220977,0.09304311740225346
111,0.10663231573084697,0.09986497630711799
112,0.0887471271827236,0.06771971703065338
113,0.0949424541120355,0.08047345675808903
114,0.09143287856271232,0.09068056929983559
115,0.09634293612078171,0.11864199194408309
116,0.09869996448459584,0.0802723920730557
117,0.08584236800082823,0.09021609733121072
118,0.08247874096669416,0.08499058741617516
119,0.0866617672019645,0.08141265136395881
120,0.09064206104171302,0.06479667313907866
121,0.08741382032575284,0.08010981627403002
122,0.08559232905082792,0.10591070123107282
123,0.09739720002987229,0.08754690068434823
124,0.09763966037514893,0.10190009842690195
125,0.08757001891039651,0.09209684226580206
