target,n_primary_tasks,safeconf_m_delta_spearman,safeconf_m_delta_utility_20,context_router_delta_spearman,context_router_delta_utility_20
K562,566,0.0151501230794171,-0.0009981319101494135,0.015444268231410097,-0.0020595308826243386
RPE1,416,0.015675935172320576,0.008007462892726913,0.003142545995771906,0.008977492269311882
hepg2,405,0.026615103881061142,0.03883199841647689,0.0038660857478781674,0.02899394967607305
jurkat,421,0.029731851628543304,0.01439332744336308,0.02074980841580476,0.0012585622778067407
