scope,predictor,outcome,n_tasks,spearman,partial_spearman_control_magnitude
pooled,safeconf_m_4to1,family_rms_error,1808,0.6934928386771626,0.5299866548954423
pooled,predicted_magnitude,family_rms_error,1808,0.6010379528489618,
pooled,safeconf_e205_risk,family_rms_error,1808,0.44151760472889295,0.26460423699469876
pooled,family_disagreement,family_rms_error,1808,0.37548319654833623,0.11154601754878617
pooled,gat_family_disagreement,family_rms_error,1808,0.23221404181837263,0.06712001876983975
pooled,registered_family_disagreement,family_rms_error,1808,0.3612110788899538,0.12458691550834212
pooled,cross_family_disagreement,family_rms_error,1808,0.3068714226875006,0.1217797698513445
K562,safeconf_m_4to1,family_rms_error,566,0.9022571878843457,0.35833655506202544
K562,predicted_magnitude,family_rms_error,566,0.8871070648049286,
K562,safeconf_e205_risk,family_rms_error,566,0.49920197298789487,0.3481948992748939
K562,family_disagreement,family_rms_error,566,0.5267141416051637,0.14524370497686526
K562,gat_family_disagreement,family_rms_error,566,0.5288821648995512,0.3359413039394745
K562,registered_family_disagreement,family_rms_error,566,0.5806355063367473,0.29012980099112495
K562,cross_family_disagreement,family_rms_error,566,0.5441745417917278,0.3422172732939932
RPE1,safeconf_m_4to1,family_rms_error,416,0.5896483050058329,0.1673649501070998
RPE1,predicted_magnitude,family_rms_error,416,0.5739723698335123,
RPE1,safeconf_e205_risk,family_rms_error,416,0.36922460178289257,0.1754441948568356
RPE1,family_disagreement,family_rms_error,416,0.3461110073942701,0.023132626635666297
RPE1,gat_family_disagreement,family_rms_error,416,0.04285726191984318,-0.03011751423208793
RPE1,registered_family_disagreement,family_rms_error,416,0.27823157599962667,0.025714977078912633
RPE1,cross_family_disagreement,family_rms_error,416,0.17181309632553454,0.046836000430502414
hepg2,safeconf_m_4to1,family_rms_error,405,0.7959227571422819,0.34032060571608314
hepg2,predicted_magnitude,family_rms_error,405,0.7693076532612207,
hepg2,safeconf_e205_risk,family_rms_error,405,0.5897315839958382,0.3586020894722018
hepg2,family_disagreement,family_rms_error,405,0.371172240376747,0.02544452149455045
hepg2,gat_family_disagreement,family_rms_error,405,0.28150478430437464,0.03474703140796735
hepg2,registered_family_disagreement,family_rms_error,405,0.3657302183420314,0.04642293096389794
hepg2,cross_family_disagreement,family_rms_error,405,0.33297222989950903,0.07219116712892173
jurkat,safeconf_m_4to1,family_rms_error,421,0.717007850837314,0.29942026714036435
jurkat,predicted_magnitude,family_rms_error,421,0.6872759992087707,
jurkat,safeconf_e205_risk,family_rms_error,421,0.4938018741848492,0.3279485283247475
jurkat,family_disagreement,family_rms_error,421,0.427254320804996,0.1507461206301656
jurkat,gat_family_disagreement,family_rms_error,421,0.29355003160093723,0.2705151318819129
jurkat,registered_family_disagreement,family_rms_error,421,0.4244325902958592,0.25052787278864985
jurkat,cross_family_disagreement,family_rms_error,421,0.3834967522599092,0.25668142189608834
