draw,predictor,delta_spearman,delta_utility_20
0,context_holdout_router,0.09330966210587233,0.07661045463290128
0,architecture_aware_router,0.07444682552649262,0.084739685287471
0,historical_nonnegative_router,0.06723665036037363,0.08272305953226788
0,certificate_priority_q80,0.02578202059497592,-0.14636723023976544
1,context_holdout_router,0.08094170987361238,0.07171861554854841
1,architecture_aware_router,0.06505092902111542,0.06559399919876585
1,historical_nonnegative_router,0.059524970786985265,0.06549299226678607
1,certificate_priority_q80,-0.005937869335753798,-0.2321801293362774
2,context_holdout_router,0.09101353860607253,0.09084991391558506
2,architecture_aware_router,0.08144439034788464,0.07884181878728902
2,historical_nonnegative_router,0.07652616066298312,0.06360949087639889
2,certificate_priority_q80,0.007852044946999204,-0.19609823993812603
3,context_holdout_router,0.08345072434354861,0.08519216495233983
3,architecture_aware_router,0.0680809865347195,0.07057313000957421
3,historical_nonnegative_router,0.06314925428471618,0.06886151871898805
3,certificate_priority_q80,0.014385396069215406,-0.17508220172792383
4,context_holdout_router,0.09253016036081008,0.0550018485494963
4,architecture_aware_router,0.08119664048069664,0.049563281051168806
4,historical_nonnegative_router,0.07679174878651085,0.04531037494702317
4,certificate_priority_q80,0.0019474860934467486,-0.2342056976423294
5,context_holdout_router,0.08756053854533619,0.06250846413903843
5,architecture_aware_router,0.07821008512073624,0.06190951308723014
5,historical_nonnegative_router,0.0732526230396765,0.05682860971949266
5,certificate_priority_q80,-0.008058741078731724,-0.22636939021673896
6,context_holdout_router,0.08537938118775545,0.06243810609650735
6,architecture_aware_router,0.0741967060424843,0.059473163595671785
6,historical_nonnegative_router,0.06888520481229998,0.05758580857689599
6,certificate_priority_q80,0.018413129881325596,-0.1911843752711604
7,context_holdout_router,0.0920936907262303,0.054240691782265094
7,architecture_aware_router,0.08078835161464315,0.04703846059169969
7,historical_nonnegative_router,0.07556810748215748,0.0381206240909584
7,certificate_priority_q80,0.010327332973245174,-0.20028154848292667
8,context_holdout_router,0.09435694974721454,0.08377231186924616
8,architecture_aware_router,0.08571017207996723,0.08556857124471362
8,historical_nonnegative_router,0.08130919796051461,0.08014119129353792
8,certificate_priority_q80,0.01422860038987206,-0.2057232145244699
9,context_holdout_router,0.08380929745472177,0.05871582501660133
9,architecture_aware_router,0.06593449284624442,0.04079776742718222
9,historical_nonnegative_router,0.059822139955909126,0.04081332445865249
9,certificate_priority_q80,-0.006395058858401859,-0.24003914470701598
10,context_holdout_router,0.08802497039639756,0.07331954483153147
10,architecture_aware_router,0.06376157141541239,0.06127629061797768
10,historical_nonnegative_router,0.055577016605115825,0.06212805399338539
10,certificate_priority_q80,-0.008524232089369588,-0.1931781964978772
