scope,predictor,budget,n_tasks,n_selected,high_error_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility
pooled,safeconf_m_4to1,0.05,1808,91,0.3626373626373626,0.10252842663648379,0.06111707102848912,1.677574283438602,0.11997289676417235,0.7036067388463757
pooled,safeconf_m_4to1,0.1,1808,181,0.46408839779005523,0.09481856247395669,0.06111707102848912,1.5514251726781532,0.11024181574278924,0.6860390143799999
pooled,safeconf_m_4to1,0.2,1808,362,0.5276243093922652,0.08614889343031015,0.06111707102848912,1.4095716954458222,0.09834253425419447,0.6724381708844869
pooled,safeconf_m_4to1,0.3,1808,543,0.6390423572744015,0.08038743929988774,0.06111707102848912,1.3153025488151409,0.09060455460540323,0.6535100976363234
pooled,predicted_magnitude,0.05,1808,91,0.2967032967032967,0.09687855828031318,0.06111707102848912,1.5851309077811369,0.11997289676417235,0.6076116816783103
pooled,predicted_magnitude,0.1,1808,181,0.32044198895027626,0.08772116214036263,0.06111707102848912,1.4352972199775782,0.11024181574278924,0.5415619209137408
pooled,predicted_magnitude,0.2,1808,362,0.4447513812154696,0.08259846052306101,0.06111707102848912,1.3514793679258377,0.09834253425419447,0.577061710806014
pooled,predicted_magnitude,0.3,1808,543,0.585635359116022,0.07840479268891581,0.06111707102848912,1.2828624043905539,0.09060455460540323,0.5862732103040943
pooled,safeconf_e205_risk,0.05,1808,91,0.23076923076923078,0.0803180999249189,0.06111707102848912,1.3141680151439097,0.11997289676417235,0.32623837413580853
pooled,safeconf_e205_risk,0.1,1808,181,0.27624309392265195,0.07752329400337805,0.06111707102848912,1.2684392870731866,0.11024181574278924,0.33397065104977763
pooled,safeconf_e205_risk,0.2,1808,362,0.3784530386740331,0.07500919296409497,0.06111707102848912,1.2273034636939681,0.09834253425419447,0.37318869214266503
pooled,safeconf_e205_risk,0.3,1808,543,0.49355432780847147,0.0732525294322945,0.06111707102848912,1.198560863594863,0.09060455460540323,0.411546084363275
pooled,family_disagreement,0.05,1808,91,0.1978021978021978,0.08065484455456377,0.06111707102848912,1.3196778444596486,0.11997289676417235,0.3319598915121371
pooled,family_disagreement,0.1,1808,181,0.2596685082872928,0.08045976495104766,0.06111707102848912,1.3164859440587742,0.11024181574278924,0.39374645171291683
