predictor,measure,estimate,ci95_lower,ci95_upper,positive_fraction
context_holdout_router,delta_spearman,0.0869545459290132,0.07723842542858372,0.09808991409980454,1.0
context_holdout_router,delta_utility_20,0.07589696850188721,0.04141698295069019,0.10292183025577871,1.0
architecture_aware_router,delta_spearman,0.07374845303282596,0.05844193751095953,0.09081686138522875,1.0
architecture_aware_router,delta_utility_20,0.06843454282263228,0.03526762176388512,0.09476664062544987,1.0
historical_nonnegative_router,delta_spearman,0.06860760036770286,0.052007154501728936,0.0867534443247694,1.0
historical_nonnegative_router,delta_utility_20,0.05838808475512269,0.03180009965683452,0.09088373135415209,1.0
certificate_priority_q80,delta_spearman,0.005067241221583529,-0.021436940379393622,0.0307330996520264,0.6774
certificate_priority_q80,delta_utility_20,-0.24375105477744313,-0.2880127719093643,-0.11851929682679539,0.0
