measure,estimate,ci95_lower,ci95_upper,positive_fraction
delta_spearman,0.09245488582820083,0.08169903484498449,0.105197563292943,1.0
delta_utility_20,0.09537646007847289,0.05773831523401973,0.12092651091134185,1.0
