unit,scope,quantile,tau,n_units,n_true_high,n_certified_high,n_false_certificates,certified_high_coverage,certified_high_recall,certified_high_precision,unknown_fraction
task,pooled,0.1,0.003364159519586211,1808,1808,1627,0,0.8998893805309734,0.8998893805309734,1.0,0.10011061946902655
task,pooled,0.2,0.003870082280706508,1808,1808,1446,0,0.7997787610619469,0.7997787610619469,1.0,0.2002212389380531
task,pooled,0.3,0.004398234804013016,1808,1808,1265,0,0.6996681415929203,0.6996681415929203,1.0,0.30033185840707965
task,pooled,0.4,0.004904438551037312,1808,1808,1085,0,0.6001106194690266,0.6001106194690266,1.0,0.39988938053097345
task,pooled,0.5,0.005480961464107082,1808,1808,904,0,0.5,0.5,1.0,0.5
task,pooled,0.6,0.006115895310671559,1808,1808,723,0,0.39988938053097345,0.39988938053097345,1.0,0.6001106194690266
task,pooled,0.7,0.00689114860066347,1808,1808,543,0,0.30033185840707965,0.30033185840707965,1.0,0.6996681415929203
task,pooled,0.8,0.00808331453615503,1808,1808,362,0,0.2002212389380531,0.2002212389380531,1.0,0.7997787610619469
task,pooled,0.9,0.00992596250370223,1808,1808,181,0,0.10011061946902655,0.10011061946902655,1.0,0.8998893805309734
task,K562,0.1,0.003364159519586211,566,566,553,0,0.9770318021201413,0.9770318021201413,1.0,0.02296819787985871
task,K562,0.2,0.003870082280706508,566,566,507,0,0.8957597173144877,0.8957597173144877,1.0,0.10424028268551233
task,K562,0.3,0.004398234804013016,566,566,460,0,0.8127208480565371,0.8127208480565371,1.0,0.1872791519434629
task,K562,0.4,0.004904438551037312,566,566,413,0,0.7296819787985865,0.7296819787985865,1.0,0.27031802120141346
task,K562,0.5,0.005480961464107082,566,566,358,0,0.6325088339222615,0.6325088339222615,1.0,0.36749116607773846
task,K562,0.6,0.006115895310671559,566,566,303,0,0.5353356890459364,0.5353356890459364,1.0,0.4646643109540636
task,K562,0.7,0.00689114860066347,566,566,233,0,0.411660777385159,0.411660777385159,1.0,0.588339222614841
task,K562,0.8,0.00808331453615503,566,566,172,0,0.303886925795053,0.303886925795053,1.0,0.6961130742049471
task,K562,0.9,0.00992596250370223,566,566,97,0,0.17137809187279152,0.17137809187279152,1.0,0.8286219081272085
task,RPE1,0.1,0.003364159519586211,416,416,378,0,0.9086538461538461,0.9086538461538461,1.0,0.09134615384615385
task,RPE1,0.2,0.003870082280706508,416,416,341,0,0.8197115384615384,0.8197115384615384,1.0,0.18028846153846156
task,RPE1,0.3,0.004398234804013016,416,416,305,0,0.7331730769230769,0.7331730769230769,1.0,0.26682692307692313
task,RPE1,0.4,0.004904438551037312,416,416,265,0,0.6370192307692307,0.6370192307692307,1.0,0.3629807692307693
task,RPE1,0.5,0.005480961464107082,416,416,224,0,0.5384615384615384,0.5384615384615384,1.0,0.46153846153846156
task,RPE1,0.6,0.006115895310671559,416,416,173,0,0.41586538461538464,0.41586538461538464,1.0,0.5841346153846154
task,RPE1,0.7,0.00689114860066347,416,416,135,0,0.3245192307692308,0.3245192307692308,1.0,0.6754807692307692
task,RPE1,0.8,0.00808331453615503,416,416,77,0,0.18509615384615385,0.18509615384615385,1.0,0.8149038461538461
task,RPE1,0.9,0.00992596250370223,416,416,31,0,0.07451923076923077,0.07451923076923077,1.0,0.9254807692307693
task,hepg2,0.1,0.003364159519586211,405,405,325,0,0.8024691358024691,0.8024691358024691,1.0,0.19753086419753085
task,hepg2,0.2,0.003870082280706508,405,405,278,0,0.6864197530864198,0.6864197530864198,1.0,0.3135802469135802
task,hepg2,0.3,0.004398234804013016,405,405,241,0,0.5950617283950618,0.5950617283950618,1.0,0.4049382716049382
task,hepg2,0.4,0.004904438551037312,405,405,199,0,0.49135802469135803,0.49135802469135803,1.0,0.508641975308642
task,hepg2,0.5,0.005480961464107082,405,405,153,0,0.37777777777777777,0.37777777777777777,1.0,0.6222222222222222
task,hepg2,0.6,0.006115895310671559,405,405,118,0,0.291358024691358,0.291358024691358,1.0,0.7086419753086419
task,hepg2,0.7,0.00689114860066347,405,405,89,0,0.21975308641975308,0.21975308641975308,1.0,0.7802469135802469
task,hepg2,0.8,0.00808331453615503,405,405,60,0,0.14814814814814814,0.14814814814814814,1.0,0.8518518518518519
task,hepg2,0.9,0.00992596250370223,405,405,26,0,0.06419753086419754,0.06419753086419754,1.0,0.9358024691358025
task,jurkat,0.1,0.003364159519586211,421,421,371,0,0.8812351543942993,0.8812351543942993,1.0,0.11876484560570066
task,jurkat,0.2,0.003870082280706508,421,421,320,0,0.7600950118764845,0.7600950118764845,1.0,0.23990498812351546
task,jurkat,0.3,0.004398234804013016,421,421,259,0,0.6152019002375297,0.6152019002375297,1.0,0.38479809976247026
task,jurkat,0.4,0.004904438551037312,421,421,208,0,0.49406175771971494,0.49406175771971494,1.0,0.505938242280285
task,jurkat,0.5,0.005480961464107082,421,421,169,0,0.4014251781472684,0.4014251781472684,1.0,0.5985748218527316
task,jurkat,0.6,0.006115895310671559,421,421,129,0,0.30641330166270786,0.30641330166270786,1.0,0.6935866983372921
task,jurkat,0.7,0.00689114860066347,421,421,86,0,0.2042755344418052,0.2042755344418052,1.0,0.7957244655581948
task,jurkat,0.8,0.00808331453615503,421,421,53,0,0.12589073634204276,0.12589073634204276,1.0,0.8741092636579573
task,jurkat,0.9,0.00992596250370223,421,421,27,0,0.06413301662707839,0.06413301662707839,1.0,0.9358669833729216
perturbation_cluster,pooled,0.1,0.003364159519586211,575,575,570,0,0.991304347826087,0.991304347826087,1.0,0.008695652173912993
perturbation_cluster,pooled,0.2,0.003870082280706508,575,575,531,0,0.9234782608695652,0.9234782608695652,1.0,0.07652173913043481
perturbation_cluster,pooled,0.3,0.004398234804013016,575,575,490,0,0.8521739130434782,0.8521739130434782,1.0,0.14782608695652177
perturbation_cluster,pooled,0.4,0.004904438551037312,575,575,454,0,0.7895652173913044,0.7895652173913044,1.0,0.21043478260869564
perturbation_cluster,pooled,0.5,0.005480961464107082,575,575,406,0,0.7060869565217391,0.7060869565217391,1.0,0.29391304347826086
perturbation_cluster,pooled,0.6,0.006115895310671559,575,575,351,0,0.6104347826086957,0.6104347826086957,1.0,0.38956521739130434
perturbation_cluster,pooled,0.7,0.00689114860066347,575,575,278,0,0.4834782608695652,0.4834782608695652,1.0,0.5165217391304349
perturbation_cluster,pooled,0.8,0.00808331453615503,575,575,204,0,0.35478260869565215,0.35478260869565215,1.0,0.6452173913043479
perturbation_cluster,pooled,0.9,0.00992596250370223,575,575,117,0,0.20347826086956522,0.20347826086956522,1.0,0.7965217391304348
