dataset,perturbation,gears_rmse,scgpt_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,triangle_certificate_rmse,triangle_mean_bound_holds,triangle_max_bound_holds,pair_mean_mse,ensemble_mean_prediction_mse,disagreement_mse_component,mse_identity_abs_error,certificate_fraction_of_pair_mean_rmse,disagreement_component_fraction_of_pair_mean_mse,gears_predicted_magnitude,scgpt_predicted_magnitude,rank__model_disagreement_rmse,rank__gears_predicted_magnitude,rank__scgpt_predicted_magnitude,rank__magnitude_mean,rank__magnitude_max,rank__gears_rmse,rank__scgpt_rmse,rank__pair_mean_rmse,rank__pair_max_rmse
Adamson,ATF4+ctrl,0.06041790884145862,0.11583371748497132,0.08812581316321497,0.11583371748497132,0.10307713858550464,0.05153856929275232,True,True,0.008533886907581476,0.005877662782837645,0.0026562241247438324,1.3010426069826053e-18,0.58482943240818,0.31125607282000095,0.8263827371225798,2.368883294260123,0.9583333333333334,0.4166666666666667,0.875,0.6458333333333334,0.875,0.2916666666666667,0.6666666666666666,0.5416666666666666,0.6666666666666666
Adamson,COPZ1+ctrl,0.11901599316196891,0.14861632464973337,0.13381615890585113,0.14861632464973337,0.07754724003362537,0.038773620016812685,True,True,0.018125809290362387,0.01662241568115421,0.0015033936092081774,1.734723475976807e-18,0.28975289930487835,0.08294215089240412,1.323279751554589,1.6609514547351092,0.5,0.9166666666666666,0.2916666666666667,0.6041666666666666,0.9166666666666666,0.75,0.8333333333333334,0.7916666666666666,0.8333333333333334
Adamson,DAD1+ctrl,0.07195821366003856,0.06579344781326811,0.06887583073665333,0.07195821366003856,0.07077745713539835,0.035388728567699174,True,True,0.004753381144150497,0.003501019034512208,0.0012523621096382875,1.734723475976807e-18,0.5138047438296307,0.2634676394884602,1.0940232662564873,1.7991849839689282,0.2916666666666667,0.8333333333333334,0.375,0.6041666666666667,0.8333333333333334,0.4583333333333333,0.125,0.2916666666666667,0.20833333333333334
Adamson,DERL2+ctrl,0.062038854259937985,0.0819017909316196,0.07197032259577879,0.0819017909316196,0.06127173160289892,0.03063586580144946,True,True,0.005278361397846276,0.0043398051244418565,0.0009385562734044206,7.589415207398531e-19,0.4256735928990586,0.17781205238947426,0.7810169563576524,1.4898666720822835,0.125,0.25,0.16666666666666666,0.20833333333333331,0.25,0.3333333333333333,0.375,0.3333333333333333,0.375
Adamson,DNAJC19+ctrl,0.13055408884982492,0.12171517332825942,0.12613463108904216,0.13055408884982492,0.0786703925065196,0.0393351962532598,True,True,0.015929476766868105,0.014382219102585638,0.0015472576642824637,3.686287386450715e-18,0.31185088435777736,0.09713173175283585,1.577025304437767,2.368258132640355,0.625,0.9583333333333334,0.8333333333333334,0.8958333333333334,0.9583333333333334,0.7916666666666666,0.75,0.75,0.75
Adamson,EIF2S1+ctrl,0.2938470385866767,0.25024383499094954,0.2720454367888131,0.2938470385866767,0.086255750273959,0.0431278751369795,True,True,0.07448402951856872,0.07262401590473784,0.0018600136138308945,1.1926223897340549e-17,0.15853188219605888,0.024971978904111205,0.7951510487953122,2.0878059962532625,0.8333333333333334,0.3333333333333333,0.75,0.5416666666666666,0.75,1.0,1.0,1.0,1.0
Adamson,GBF1+ctrl,0.036481836513266,0.07803533402861673,0.05725858527094137,0.07803533402861673,0.07438865407887552,0.03719432703943776,True,True,0.0037102188761692287,0.002326800912252578,0.0013834179639166508,2.168404344971009e-19,0.6495851558930118,0.3728669413015921,0.8485541497280803,1.8500928034037336,0.3333333333333333,0.5416666666666666,0.4583333333333333,0.5,0.5416666666666666,0.041666666666666664,0.3333333333333333,0.08333333333333333,0.25
Adamson,IARS2+ctrl,0.2182410571247132,0.2110704404722116,0.2146557487984624,0.2182410571247132,0.07846047369213095,0.039230236846065476,True,True,0.046089944928022875,0.04455093344502449,0.0015390114829983933,9.107298248878237e-18,0.18275884557323577,0.03339148018948202,0.9294290618397029,1.8475733657388307,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
Adamson,IDH3A+ctrl,0.06386056378037754,0.10438393281855392,0.08412224829946573,0.10438393281855392,0.09575122472268703,0.047875612361343516,True,True,0.007487088518508022,0.0051950142595343935,0.002292074258973628,8.673617379884035e-19,0.5691195055903847,0.3061369253625944,0.7738056697220765,2.5104742863688387,0.875,0.20833333333333334,0.9166666666666666,0.5625,0.9166666666666666,0.375,0.5,0.4583333333333333,0.5
Adamson,MRPL39+ctrl,0.07831731800343295,0.0688454106415726,0.07358136432250277,0.07831731800343295,0.0856649262208165,0.04283246311040825,True,True,0.0054366464328287996,0.0036020265367243155,0.0018346198961044838,2.168404344971009e-19,0.5821102055498196,0.33745433306574124,0.8663210820833691,1.9288869021543558,0.7916666666666666,0.5833333333333334,0.625,0.6041666666666667,0.625,0.5416666666666666,0.20833333333333334,0.375,0.2916666666666667
Adamson,NEDD8+ctrl,0.16264199692917283,0.15617437564749903,0.15940818628833592,0.16264199692917283,0.08526939369362622,0.04263469684681311,True,True,0.025421427386997604,0.023603710011777947,0.0018177173752196559,1.5178830414797062e-18,0.2674561315796913,0.0715033561077444,0.8402403910667767,2.031730044141441,0.75,0.5,0.7083333333333334,0.6041666666666667,0.7083333333333334,0.875,0.875,0.875,0.875
Adamson,OST4+ctrl,0.06494987554796398,0.06640130434915502,0.0656755899485595,0.06640130434915502,0.07514008083031487,0.037570040415157435,True,True,0.0043138097764825615,0.0029023018396859977,0.001411507936796563,6.505213034913027e-19,0.5720548600261409,0.32720681020559345,0.9022317008630254,1.6190748086427216,0.375,0.625,0.25,0.4375,0.625,0.4166666666666667,0.16666666666666666,0.25,0.125
Adamson,PDIA6+ctrl,0.0785371355897325,0.07091908546580433,0.07472811052776843,0.0785371355897325,0.07952518512816863,0.03976259256408431,True,True,0.0055987991749730445,0.004017735407555672,0.001581063767417373,6.505213034913027e-19,0.5320968546275343,0.28239337007921617,0.7263629188243563,1.8830287253553315,0.6666666666666666,0.125,0.5,0.3125,0.5,0.5833333333333334,0.2916666666666667,0.4166666666666667,0.3333333333333333
Adamson,PSMD4+ctrl,0.2162949100840667,0.249336051968762,0.23281548102641436,0.249336051968762,0.10218093675578416,0.05109046837789208,True,True,0.05447597746982184,0.05186574151074945,0.0026102359590723903,3.0357660829594124e-18,0.21944618181166203,0.04791535793035357,0.9731245108658031,2.6258074842645382,0.9166666666666666,0.75,1.0,0.875,1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334
Adamson,PTDSS1+ctrl,0.0446355671451616,0.08280474910256552,0.06372015812386356,0.08280474910256552,0.07778697618368734,0.03889348809184367,True,True,0.004424480164154528,0.0029117767482041415,0.0015127034159503853,1.5178830414797062e-18,0.6103796543668312,0.34189404400673745,0.836485408268304,1.8964841669553036,0.5416666666666666,0.4583333333333333,0.5833333333333334,0.5208333333333334,0.5833333333333334,0.125,0.4166666666666667,0.20833333333333334,0.4166666666666667
Adamson,SEC61G+ctrl,0.088403026565964,0.10550345182131465,0.09695323919363932,0.10550345182131465,0.07736028042543695,0.038680140212718477,True,True,0.0094730367261175,0.007976883479241938,0.0014961532468755609,8.673617379884035e-19,0.3989566571929049,0.15793808153943,1.111520193560897,1.5527781863439263,0.4583333333333333,0.875,0.20833333333333334,0.5416666666666666,0.875,0.625,0.5416666666666666,0.625,0.5416666666666666
Adamson,SEL1L+ctrl,0.07721429679139799,0.09969627139125703,0.08845528409132751,0.09969627139125703,0.06647017295826617,0.033235086479133084,True,True,0.007950697079154634,0.0068461261058791805,0.0011045709732754548,1.5178830414797062e-18,0.3757275421196864,0.13892756349269686,1.0249415542595919,1.3428225370242703,0.20833333333333334,0.7916666666666666,0.125,0.4583333333333333,0.7916666666666666,0.5,0.4583333333333333,0.5833333333333334,0.4583333333333333
Adamson,SLC35B1+ctrl,0.043769599455385756,0.06520908535271543,0.054489342404050595,0.06520908535271543,0.06740280654832258,0.03370140327416129,True,True,0.0030840013245113152,0.0019482167418636656,0.0011357845826476492,4.336808689942018e-19,0.6184953201354109,0.3682827804322112,0.9521418020637031,1.6915568263531353,0.25,0.7083333333333334,0.3333333333333333,0.5208333333333334,0.7083333333333334,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664
Adamson,SPCS3+ctrl,0.09711840552710271,0.11332623925037467,0.10522232238873869,0.11332623925037467,0.06540046648918615,0.03270023324459308,True,True,0.011137410597379969,0.010068105343129177,0.0010693052542507903,1.5178830414797062e-18,0.310772776177508,0.09601022112827017,0.7946795125868118,1.269479051423193,0.16666666666666666,0.2916666666666667,0.08333333333333333,0.1875,0.2916666666666667,0.7083333333333334,0.625,0.7083333333333334,0.625
Adamson,SRP68+ctrl,0.09239025295507183,0.11160744378692387,0.10199884837099785,0.11160744378692387,0.08442208280623197,0.04221104140311598,True,True,0.010496090174876765,0.008714318158541191,0.0017817720163355716,2.8189256484623115e-18,0.41383841168071644,0.1697557839775792,0.7128457024571577,1.9768698874958452,0.7083333333333334,0.08333333333333333,0.6666666666666666,0.375,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334
Adamson,SYVN1+ctrl,0.052271337095954024,0.06977297686206141,0.061022156979007716,0.06977297686206141,0.058879294343229936,0.029439647171614968,True,True,0.0038002804909963075,0.002933587665407131,0.0008666928255891772,6.505213034913027e-19,0.48244192976892847,0.2280602254603473,0.8130201708319179,1.2273517526054345,0.08333333333333333,0.375,0.041666666666666664,0.20833333333333334,0.375,0.16666666666666666,0.25,0.125,0.16666666666666666
Adamson,TELO2+ctrl,0.055076058654256105,0.11598947478381039,0.08553276671903325,0.11598947478381039,0.10681338876866872,0.05340669438433436,True,True,0.008243465248755622,0.005391190243693931,0.002852275005061691,0.0,0.6244004073873831,0.34600437061249834,0.682604346579902,2.560161713053512,1.0,0.041666666666666664,0.9583333333333334,0.5,0.9583333333333334,0.20833333333333334,0.7083333333333334,0.5,0.7083333333333334
Adamson,TIMM23+ctrl,0.05915003326414382,0.06538937851271634,0.06226970588843008,0.06538937851271634,0.058361825329032606,0.029180912664516303,True,True,0.0038872486287143053,0.0030357229647801766,0.000851525663934128,7.589415207398531e-19,0.468621334374059,0.2190561359116788,1.9406574377211996,2.2760854717190697,0.041666666666666664,1.0,0.7916666666666666,0.8958333333333333,1.0,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333
Adamson,TTI1+ctrl,0.1359782700885392,0.1427629062817987,0.13937058818516895,0.1427629062817987,0.07607091768507274,0.03803545884253637,True,True,0.019435668673148672,0.017988972543786393,0.001446696129362278,6.505213034913027e-19,0.2729087918607485,0.07443510967857564,0.7562411111334603,1.883998035929352,0.4166666666666667,0.16666666666666666,0.5416666666666666,0.35416666666666663,0.5416666666666666,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.7916666666666666
Norman,BCL2L11+ctrl,0.06828616695908253,0.11664775331718681,0.09246696013813467,0.11664775331718681,0.07736606315321717,0.03868303157660859,True,True,0.00913484947595548,0.0076384725439985835,0.001496376931956897,2.168404344971009e-19,0.4183443634225752,0.1638096977838138,1.459324689956595,2.661071632939684,0.125,0.08333333333333333,0.25,0.16666666666666666,0.25,0.041666666666666664,0.7916666666666666,0.375,0.5833333333333334
Norman,CKS1B+ctrl,0.11013109228047072,0.1390522853500552,0.12459168881526296,0.1390522853500552,0.07658975845106633,0.038294879225533165,True,True,0.01573219777398137,0.014265699999083201,0.0014664977748981717,4.553649124439119e-18,0.3073630319139064,0.09321633226118814,1.5316357812508559,1.3099478481352385,0.08333333333333333,0.125,0.08333333333333333,0.10416666666666666,0.125,0.5416666666666666,0.875,0.7916666666666666,0.75
Norman,CLDN6+ctrl,0.14256985680560982,0.10138910597938837,0.12197948139249909,0.14256985680560982,0.1235658537378668,0.0617829268689334,True,True,0.015302957440435867,0.011485827387943896,0.0038171300524919727,1.734723475976807e-18,0.5065026196506901,0.2494374089027886,3.9015379005552573,3.6406457037990334,0.8333333333333334,0.875,0.625,0.75,0.875,0.9166666666666666,0.5833333333333334,0.75,0.8333333333333334
Norman,FEV+ctrl,0.2007041133576992,0.09593607422935926,0.14832009379352923,0.2007041133576992,0.17485194176690716,0.08742597088345358,True,True,0.02474293572862065,0.017099635343706173,0.007643300384914473,4.336808689942018e-18,0.5894411785172948,0.3089083877817018,4.69034802996858,4.586890752110134,1.0,0.9583333333333334,0.875,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.4583333333333333,0.9166666666666666,0.9166666666666666
