culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.3231937631848212,True
Rest,seen_160,160,True,160,1.2753289972221404,True
Stim8hr,all_200,200,True,200,1.2846171446036134,True
Stim8hr,seen_160,160,True,160,1.2311786911893834,True
Stim48hr,all_200,200,True,200,1.2826769138100726,True
Stim48hr,seen_160,160,True,160,1.2306485870382875,True
