culture_condition,stratum,n_tasks,n_leave_one_seed_out_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
Rest,all_200,200,5,10,0.84598214955373907,0.91372684317107944,0.95555538888472236,0.93434815870396759,2000,0.89406296258927775,0.93551755105615841,True
Rest,seen_160,160,5,10,0.74267256533458337,0.86063811086370556,0.93422008672213763,0.89205765850228524,2000,0.81954045479979987,0.9011818356852348,True
Stim8hr,all_200,200,5,10,0.84976224405610157,0.9135085877146929,0.95024975624390629,0.93287728193204833,2000,0.89122283340183306,0.93696601962183934,True
Stim8hr,seen_160,160,5,10,0.74699695300597679,0.85654664244697065,0.92281143794679488,0.88768311262158683,2000,0.81574030604525161,0.90079287443561273,True
Stim48hr,all_200,200,5,10,0.84178354458861482,0.90937373434335866,0.95242181054526376,0.93105635640891027,2000,0.88843436779225682,0.93305980645346542,True
Stim48hr,seen_160,160,5,10,0.73509902730575416,0.85101664127504972,0.92758408531583258,0.88550685573655219,2000,0.81393328568842471,0.89935141629590809,True
