target,seed_index,budget,D,M,M_plus_D_fixed,M_plus_H_fixed,ridge_no_history,ridge_with_history,history_minus_no_history,history_minus_M,history_minus_best_fixed
K562,0,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8731709720844376,0.8007389997059003,-0.07243197237853727,-0.15400973267700402,-0.16905568271624083
K562,0,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8737307615349765,0.8775790739064744,0.003848312371497853,-0.07716965847642998,-0.09221560851566679
K562,0,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8731709720844376,0.8821746657292674,0.00900369364482978,-0.07257406665363697,-0.08762001669287378
K562,0,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9256232347665302,0.8799114863556303,-0.045711748410899866,-0.07483724602727404,-0.08988319606651085
K562,0,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9000974676025636,-0.03946430717507887,-0.05465126478034077,-0.06969721481957758
K562,0,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,1,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.7769732024066409,0.8753552604494105,0.09838205804276956,-0.07939347193349389,-0.0944394219727307
K562,1,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9017911840955228,-0.03777059068211963,-0.05295754828738153,-0.06800349832661834
K562,1,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9000974676025636,-0.03946430717507887,-0.05465126478034077,-0.06969721481957758
K562,1,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9017911840955228,-0.03777059068211963,-0.05295754828738153,-0.06800349832661834
K562,1,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9000974676025636,-0.03946430717507887,-0.05465126478034077,-0.06969721481957758
K562,1,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,2,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8775728199449386,0.5339363174006699,-0.3436365025442687,-0.42081241498223443,-0.43585836502147124
K562,2,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8398766101985689,-0.03159097196277083,-0.11487212218433551,-0.12991807222357232
K562,2,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8461874530471402,-0.09337432173050231,-0.1085612793357642,-0.12360722937500102
K562,2,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8804712758061696,0.009003693644829891,-0.07427745657673479,-0.0893234066159716
K562,2,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8900009860014134,-0.04956078877622905,-0.06474774638149094,-0.07979369642072776
K562,2,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,3,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8703615064475456,-0.0011060757137940636,-0.08438722593535875,-0.09943317597459556
K562,3,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8737307615349765,0.8300194924378189,-0.04371126909715761,-0.12472923994508545,-0.13977518998432226
K562,3,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8731709720844376,0.8661742687171914,-0.0069967033672462264,-0.08857446366571298,-0.10362041370494979
K562,3,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.904499315463065,-0.03506245931457752,-0.05024941691983942,-0.06529536695907623
K562,3,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9346269284113593,-0.004934846366283163,-0.02012180397154506,-0.03516775401078187
K562,3,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,4,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9547487323829044,0.8140954878255253,-0.14065324455737904,-0.14065324455737904,-0.15569919459661585
K562,4,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9334050856531662,0.8839295069932427,-0.04947557865992347,-0.07081922538966168,-0.08586517542889849
K562,4,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8817824398759738,-0.057779334901668644,-0.07296629250693054,-0.08801224254616735
K562,4,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9334050856531662,0.8983426263385886,-0.03506245931457752,-0.05640610604431573,-0.07145205608355254
K562,4,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8900009860014134,-0.04956078877622905,-0.06474774638149094,-0.07979369642072776
K562,4,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,5,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9697946824221412,0.8109148373799064,-0.15887984504223474,-0.14383389500299792,-0.15887984504223474
K562,5,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8775728199449386,0.6664685638904086,-0.21110425605452998,-0.2882801684924957,-0.3033261185317325
K562,5,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8629439299411518,-0.008523652220187916,-0.0918048024417526,-0.10685075248098941
K562,5,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9334050856531662,0.8823422293265131,-0.05106285632665308,-0.07240650305639129,-0.0874524530956281
K562,5,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8900009860014134,-0.04956078877622905,-0.06474774638149094,-0.07979369642072776
K562,5,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,6,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.4907926195332906,-0.44876915524435185,-0.46395611284961374,-0.47900206288885055
K562,6,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8900079679567808,0.01854038579544115,-0.06474076442612353,-0.07978671446536034
K562,6,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8821746657292674,0.010707083567927711,-0.07257406665363697,-0.08762001669287378
K562,6,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8821746657292674,0.010707083567927711,-0.07257406665363697,-0.08762001669287378
K562,6,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8860681754801066,-0.05349359929753583,-0.06868055690279773,-0.08372650694203454
K562,6,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,7,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8731709720844376,0.8030021790795371,-0.07016879300490053,-0.15174655330336728,-0.1667925033426041
K562,7,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8461874530471402,-0.025280129114199523,-0.1085612793357642,-0.12360722937500102
K562,7,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8270636906597512,-0.04440389150158852,-0.1276850417231532,-0.14273099176239
K562,7,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8743928148426311,0.002925232681291412,-0.08035591754027327,-0.09540186757951008
K562,7,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8721296354689944,-0.06743213930864811,-0.08261909691391,-0.09766504695314682
K562,7,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,8,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8737307615349765,0.6484407668002471,-0.22528999473472944,-0.30630796558265727,-0.3213539156218941
K562,8,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8775728199449386,0.5913001950885705,-0.2862726248563682,-0.3634485372943339,-0.3784944873335707
K562,8,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8775728199449386,0.6975962641767959,-0.17997655576814275,-0.2571524682061085,-0.2721984182453453
K562,8,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8737307615349765,0.8661742687171914,-0.007556492817785143,-0.08857446366571298,-0.10362041370494979
K562,8,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9346269284113593,-0.004934846366283163,-0.02012180397154506,-0.03516775401078187
K562,8,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,9,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9017911840955228,-0.03777059068211963,-0.05295754828738153,-0.06800349832661834
K562,9,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8983126831956093,-0.04124909158203316,-0.056436049187295056,-0.07148199922653187
K562,9,0.1,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8983126831956093,-0.04124909158203316,-0.056436049187295056,-0.07148199922653187
K562,9,0.2,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8860681754801066,-0.05349359929753583,-0.06868055690279773,-0.08372650694203454
K562,9,0.5,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.8860681754801066,-0.05349359929753583,-0.06868055690279773,-0.08372650694203454
K562,9,1.0,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.9395617747776425,0.9441636205619709,0.004601845784328429,-0.010585111820933468,-0.02563106186017028
K562,10,0.01,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8714675821613397,0.8322146400989295,-0.039252942062410145,-0.12253409228397483,-0.13758004232321164
K562,10,0.05,0.5075637143377131,0.9547487323829044,0.9395617747776425,0.9697946824221412,0.8775728199449386,0.8300194924378189,-0.047553327507119714,-0.12472923994508545,-0.13977518998432226
