target,seed_index,budget,n_calibration_genes,n_evaluation_tasks,method,utility_20,spearman
K562,0,0.01,5,114,M,0.9547487323829044,0.9357161661367733
K562,0,0.01,5,114,D,0.5075637143377131,0.5527753589437234
K562,0,0.01,5,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,0.01,5,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,0,0.01,5,114,ridge_no_history,0.8731709720844376,0.9045948846722425
K562,0,0.01,5,114,ridge_with_history,0.8007389997059003,0.9056722221097183
K562,0,0.05,23,114,M,0.9547487323829044,0.9357161661367733
K562,0,0.05,23,114,D,0.5075637143377131,0.5527753589437234
K562,0,0.05,23,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,0.05,23,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,0,0.05,23,114,ridge_no_history,0.8737307615349765,0.8958060792612544
K562,0,0.05,23,114,ridge_with_history,0.8775790739064744,0.916559000425265
K562,0,0.1,46,114,M,0.9547487323829044,0.9357161661367733
K562,0,0.1,46,114,D,0.5075637143377131,0.5527753589437234
K562,0,0.1,46,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,0.1,46,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,0,0.1,46,114,ridge_no_history,0.8731709720844376,0.9026994188048035
K562,0,0.1,46,114,ridge_with_history,0.8821746657292674,0.9010793625078473
K562,0,0.2,91,114,M,0.9547487323829044,0.9357161661367733
K562,0,0.2,91,114,D,0.5075637143377131,0.5527753589437234
K562,0,0.2,91,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,0.2,91,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
K562,0,0.2,91,114,ridge_no_history,0.9256232347665302,0.928344909985622
K562,0,0.2,91,114,ridge_with_history,0.8799114863556303,0.9228529191389401
K562,0,0.5,226,114,M,0.9547487323829044,0.9357161661367733
K562,0,0.5,226,114,D,0.5075637143377131,0.5527753589437234
K562,0,0.5,226,114,M_plus_D_fixed,0.9395617747776425,0.9403900285534924
K562,0,0.5,226,114,M_plus_H_fixed,0.9697946824221412,0.9416150778964204
