target,seed_index,budget,method,n_calibration_genes,intercept,predicted_magnitude,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit
K562,0,0.01,ridge_no_history,5,0.05467654519567543,0.0014493701590800596,0.0008925695863431408,0.0,0.0,0.0,0.0
K562,0,0.01,ridge_with_history,5,0.05386285107351737,0.0013863214414356333,0.0008537421222375805,0.0003085303015293461,0.0014609657399659685,0.0,0.0
K562,0,0.05,ridge_no_history,23,0.046152836423262934,0.007730585058753483,0.00555224279779028,0.0,0.0,0.0,0.0
K562,0,0.05,ridge_with_history,23,0.04430291963193862,0.007232584260988367,0.005250519232514591,4.266101836850622e-05,0.004443890606143528,0.0,0.0
K562,0,0.1,ridge_no_history,46,0.03921346424124926,0.01446643349383627,0.00923634416116292,0.0,0.0,0.0,0.0
K562,0,0.1,ridge_with_history,46,0.034263773525240404,0.012572258288911958,0.008524942270721186,0.002405309167332869,0.008178234361807505,0.0017679980484715352,0.0
K562,0,0.2,ridge_no_history,91,0.03597936823533651,0.0238062356322863,0.010580837698572688,0.0,0.0,0.0,0.0
K562,0,0.2,ridge_with_history,91,0.03010115583076953,0.020077031637475845,0.009216279482069096,0.0030309101463119317,0.011903720496462898,0.0013607740380011505,0.0
K562,0,0.5,ridge_no_history,226,0.03058168109731814,0.03586795820593106,0.01167295517202249,0.0,0.0,0.0,0.0
K562,0,0.5,ridge_with_history,226,0.025171241660271546,0.031708388572748034,0.0093684927845753,0.0,0.010944054160709996,0.003169461744636829,0.0029353775546105193
K562,0,1.0,ridge_no_history,452,0.02654814421149081,0.04259357993040551,0.013079958349263399,0.0,0.0,0.0,0.0
K562,0,1.0,ridge_with_history,452,0.02068961597218616,0.037851124045362845,0.009948091505965933,0.000240861356389212,0.011431557462439065,0.00314142460162952,0.004728137078911342
K562,1,0.01,ridge_no_history,5,0.04571184791344517,0.002570654687983278,0.0025163657146156575,0.0,0.0,0.0,0.0
K562,1,0.01,ridge_with_history,5,0.04522896715306369,0.00252546191184726,0.002472127352711752,0.0,0.0016175055585473956,0.0,0.0
K562,1,0.05,ridge_no_history,23,0.044915190127241746,0.012324458558939882,0.00454380502482229,0.0,0.0,0.0,0.0
K562,1,0.05,ridge_with_history,23,0.042169419843222054,0.011101634151654572,0.004276567387528578,0.0,0.007920827445453684,0.0,0.0
K562,1,0.1,ridge_no_history,46,0.04118762279050887,0.020500861364845555,0.007653522041954325,0.0,0.0,0.0,0.0
K562,1,0.1,ridge_with_history,46,0.037164724498894644,0.01775471950697191,0.0070084316860237784,0.0004416664439522336,0.012055385310866527,0.00011396107999945457,0.0
K562,1,0.2,ridge_no_history,91,0.0378288055168495,0.02582439096552971,0.008596485072261788,0.0,0.0,0.0,0.0
K562,1,0.2,ridge_with_history,91,0.033588509804123624,0.021602628011689735,0.007843955441750589,0.00020925177449208083,0.013348316205024444,0.0,7.633706189027957e-05
K562,1,0.5,ridge_no_history,226,0.02990408324960261,0.03632277347375938,0.012014210689191215,0.0,0.0,0.0,0.0
K562,1,0.5,ridge_with_history,226,0.024996329766689498,0.03157573472558995,0.010180246465531909,0.0013764980591119836,0.012926900873892132,0.00041254854654924737,0.0015066951272871302
K562,1,1.0,ridge_no_history,452,0.02654814421149081,0.04259357993040551,0.013079958349263399,0.0,0.0,0.0,0.0
