perturbation,n_cells,gears_ensemble_rmse,scgpt_finetuned_rmse,task_mean_rmse,task_max_rmse,risk_gears_scgpt_disagreement,risk_gears_predicted_magnitude,risk_scgpt_predicted_magnitude,true_l2_diagnostic,uses_target_truth_in_deployable_risk
ARRDC3+ctrl,495,0.051559614945767565,0.07790741201373139,0.06473351347974948,0.07790741201373139,0.06837545666163224,1.4666998386383057,1.9699934720993042,1.350783348083496,False
ATL1+ctrl,379,0.14491725031054667,0.1857005721476098,0.16530891122907823,0.1857005721476098,0.07699191082408464,1.2719463109970093,1.4340075254440308,4.070082187652588,False
BPGM+ctrl,464,0.11593636326069696,0.14333080870347897,0.12963358598208796,0.14333080870347897,0.08202581499383284,1.0269775390625,2.1197187900543213,2.8467206954956055,False
CBFA2T3+ctrl,658,0.09368600428879455,0.13230214019913475,0.11299407224396465,0.13230214019913475,0.11462525508784789,0.9315601587295532,2.9008493423461914,2.2716643810272217,False
CDKN1C+ctrl,230,0.09611929463780647,0.08360238687912398,0.08986084075846523,0.09611929463780647,0.10410130860195514,2.369917392730713,4.006545543670654,3.39056134223938,False
CEBPA+ctrl,460,0.1593322678221421,0.08781139145181509,0.1235718296369786,0.1593322678221421,0.14577950257059835,5.384756565093994,7.902327537536621,8.076719284057617,False
CEBPB+ctrl,488,0.09282414037095761,0.07513028991784099,0.08397721514439929,0.09282414037095761,0.10003159852011649,3.3057971000671387,4.896978378295898,4.470222473144531,False
CELF2+ctrl,475,0.08924383086174599,0.1025536699862611,0.09589875042400355,0.1025536699862611,0.07208154988365391,1.6451730728149414,1.3574436902999878,1.9912301301956177,False
COL1A1+ctrl,328,0.16360039471829432,0.16831830331477013,0.16595934901653223,0.16831830331477013,0.0587420734755451,1.4395341873168945,1.729363203048706,4.243128299713135,False
COL2A1+ctrl,598,0.15412218049888565,0.13710281902373203,0.14561249976130886,0.15412218049888565,0.12050471399756015,2.0871267318725586,3.934204339981079,3.8448824882507324,False
CSRNP1+ctrl,478,0.1242046997161033,0.1653066980155923,0.1447556988658478,0.1653066980155923,0.09704155456344389,1.9917269945144653,3.0789105892181396,1.2660267353057861,False
DLX2+ctrl,732,0.12229085104568227,0.17479625419055891,0.14854355261812058,0.17479625419055891,0.1430200138081499,3.401092290878296,5.448470115661621,2.639165163040161,False
HK2+ctrl,303,0.060014193867446684,0.09141090131461754,0.07571254759103212,0.09141090131461754,0.07987510565201662,1.3745383024215698,2.267484426498413,1.601267695426941,False
HOXA13+ctrl,274,0.1937664083577455,0.16111199498388953,0.1774392016708175,0.1937664083577455,0.10867980913976548,1.3393162488937378,2.881078004837036,5.147519111633301,False
NCL+ctrl,237,0.0725237094674932,0.08462236567129948,0.07857303756939635,0.08462236567129948,0.0773098334657027,1.4024473428726196,1.676951289176941,1.370488166809082,False
RREB1+ctrl,331,0.08507665089295571,0.10603182721456861,0.09555423905376216,0.10603182721456861,0.08647046914225408,1.1675307750701904,2.3212735652923584,2.3305623531341553,False
SAMD1+ctrl,498,0.07313353703955709,0.09958869922264517,0.08636111813110113,0.09958869922264517,0.10987344551146155,2.7388193607330322,4.504195213317871,2.965574264526367,False
SGK1+ctrl,483,0.08919849402818021,0.0930644078044096,0.0911314509162949,0.0930644078044096,0.09945947896773738,1.8657968044281006,3.5562753677368164,2.959280490875244,False
SLC38A2+ctrl,332,0.09411134324307596,0.07461443354477257,0.08436288839392427,0.09411134324307596,0.08414428630252803,1.5268956422805786,1.511147379875183,1.1482651233673096,False
SLC4A1+ctrl,1000,0.1286419532418932,0.15924096337756946,0.14394145830973132,0.15924096337756946,0.09079157804842762,1.1401855945587158,2.4415640830993652,2.967634677886963,False
SLC6A9+ctrl,558,0.07735786771645556,0.14695838903203415,0.11215812837424485,0.14695838903203415,0.13842639780734586,1.3487635850906372,3.7196171283721924,2.0718259811401367,False
TBX3+ctrl,691,0.1005149845151172,0.08677569355893143,0.09364533903702432,0.1005149845151172,0.08722457791660629,2.3023133277893066,2.1117515563964844,2.0373308658599854,False
TP73+ctrl,248,0.2628453243216319,0.235088343262758,0.24896683379219492,0.2628453243216319,0.10404499834761124,1.2959805727005005,2.8004393577575684,6.764493942260742,False
ZC3HAV1+ctrl,516,0.08609287787262263,0.09931835726653944,0.09270561756958104,0.09931835726653944,0.07389223443852228,1.144426703453064,1.5758132934570312,1.5004829168319702,False
