e172_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e172_selection_sha256,e172_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_all_e168_and_e170_targets,selection_used_expression_abundance_effect_error_or_e171_validation
401,Q03,1,ENSG00000162889,MAPKAPK2,2,MAPKAPK2-1+MAPKAPK2-2,True,MAPKAPK2,True,True,MAPKAPK2,True,True,dd48dc0e838443359cecae6ec0e771935d992008be9c90431c3e3e3ecc21470b,b744381f6e043a77df905b60798325aca6778c96f25df89ffed7f9e702c27121,176ed0648a903bc1e2e4c1a46105971d0fc45a453dde90cbbb3a2e785e3d30d7,ba29d24af4de3aecdb040d0bb36d3fdf0255f343bcdd61f964fa27b47bfd441f,DONOR_UNSEEN_ONLY,6,True,False
402,Q03,2,ENSG00000133317,LGALS12,2,LGALS12-1+LGALS12-2,True,LGALS12,True,True,LGALS12,True,True,5e4a71071ab4c86abb93b4520557ec2373a698503fe1fc6bdfbe1290207f49fa,1bf51df296aa53cbcfbec3b4523a9a4f1b31cf8a821f5c96520e5199d04e8fa4,1779bcec9d8ef0e0fbe08f81ffd5f77661d83b08b12dd5680bf0141d9399e707,bc2a5d952227ea8d5586d2c39da20669c1f3ae8afb1b6dc95e1e2a700101e1ed,DONOR_UNSEEN_ONLY,6,True,False
403,Q03,3,ENSG00000179941,BBS10,2,BBS10-1+BBS10-2,True,BBS10,True,True,BBS10,True,True,9d09446c4c036fb8589764fb6b7392b8479aaaedd459372ecd795ccba07227f6,3499285ea0f0d768c2cb6bdb2c20931c64276253f95a09b3b8c9d1c31a7d1f65,178ac9400a7e3ae4a7319476d009dc1fa71480c9d4dd9e4db423f5087f861754,3c00fe25740287f07db843266a81343d783825a1d9b8cef7e21ceea123885919,DONOR_UNSEEN_ONLY,6,True,False
404,Q03,4,ENSG00000160058,BSDC1,2,BSDC1-1+BSDC1-2,True,BSDC1,True,True,BSDC1,True,True,575ec216ed121b36f2841e3eea05ae708b7cbe2285074c3da6466f688ea40a79,b7c2896a3301ff1fa223e7f6e5c68a43be7027815df521a70fe8879df443daff,1798ca5f37fbbaae3743402a5fbed7517639d0f9e13d8470c3cbfad627feb40f,0049ea4da6576deed0a535711c3c825a30c1c7795a66cb259e29166fb101521c,COLUMN_UNSEEN,0,True,False
405,Q03,5,ENSG00000111837,MAK,2,MAK-1+MAK-2,True,MAK,True,True,MAK,True,True,54b01c17b3bfe189871fa2dcde24750b03549e45e351d59755f178462085350f,8268278c8b91e02cf49def0c42778511ec67cf159bc7928a2c636fad43f6bda2,179ad82255cce797c0ef92178ca2805a216d90b1ddaef1b0ecbf6cb469bf6523,4b1f7fce68daa7f6057ac075380eb5f39113cd00a7624e3fa26856ed0906d838,DONOR_UNSEEN_ONLY,6,True,False
406,Q03,6,ENSG00000111676,ATN1,2,ATN1-1+ATN1-2,True,ATN1,True,True,ATN1,True,True,1c0674b128858935dc593e69e4b8aff42dce404439ae283853d748c848903892,adf25b3b3d96fe89bde39695d9384bb915e2cef79de76df6d3020f731808c110,17a61076d282405985583b9de28d27fc84ca5ca55c6e4a34858c4a1cd67c9af7,cf8da3f3de5185d2fc04000631088ab9060f2d4d9af989c4ff172c271ac0a27e,DONOR_UNSEEN_ONLY,6,True,False
407,Q03,7,ENSG00000145476,CYP4V2,2,CYP4V2-1+CYP4V2-2,True,CYP4V2,True,True,CYP4V2,True,True,731198cb3c8e227f80e5f9d949a016a6f4833bf5401d56d027402ea6febeb018,2b932a1762cedea044e82b379680c237681c1a2c41ee9c6b6b84947621cb06d0,17a9a1c240855c7b2d74e619f0f10dd510b0cfa847a004affa5e1471114bcd4b,20f92270c47d0f96a78698523df7b9f1d0adc81f9bc7f6f523fbf864a137da4a,COLUMN_UNSEEN,0,True,False
408,Q03,8,ENSG00000102174,PHEX,2,PHEX-1+PHEX-2,True,PHEX,True,True,PHEX,True,True,17f7079838d1aa3dc2aee436bae27ac02c4c0e63a2d99f49ac70c40d012dc55b,326012ab79ea32527da898788ecb33569f471b05278b1762615effe6be67e7ef,17ae2a11425863cac414419d0973e7ebe5b92ebc398572fb40b79b87ab9f0a8d,3dcb8e9e583d4282481553749a063753a5564f2c2ebdeb9ba3788c52f5d35ed3,DONOR_UNSEEN_ONLY,6,True,False
409,Q03,9,ENSG00000172159,FRMD3,2,FRMD3-1+FRMD3-2,True,FRMD3,True,True,FRMD3,True,True,42a0d976d720ac5dc8b18489ac976428164d07ab484b78d0b47f97686ce4c357,acf54ed7aa83b76cab4b37b056c0545ef06ea1161695556d2469c002ac711561,17c102fc501b41e5577194ee787f72c876272aca38950e6afcae5e4c5552b4c8,a3f2e1dc09bee3baedcd0f4773a70d1aca538dc0cde1a2c5963e4f3946dd3b3a,DONOR_UNSEEN_ONLY,6,True,False
410,Q03,10,ENSG00000007080,CCDC124,2,CCDC124-1+CCDC124-2,True,CCDC124,True,True,CCDC124,True,True,adc86b494dbcdb1e41d99470a65fb5718e3f40edc2ad6c4f6d6b368196ef6668,8ad975bb0718b79d1a58ce899263306d2a09619b28dc7751acdab97be2e47036,17ceab442de2aa9fd71f0eac5e8e509a1009fbb8dde64e7908b7ea30910d3e6a,8d399d38564b6f605ab4808580e32a8d2cdaf7e0e8ae878915631956d0060732,DONOR_UNSEEN_ONLY,6,True,False
