context,n_plates,n_tasks
ACH-000681,4,161
ACH-000139,4,126
ACH-000236,4,126
ACH-000669,4,126
ACH-000790,4,126
ACH-000927,4,126
ACH-001021,4,126
ACH-000842,3,140
ACH-000164,3,127
ACH-000222,3,127
ACH-000861,3,127
ACH-000943,3,127
ACH-000957,3,127
ACH-000958,3,127
ACH-000997,3,127
ACH-000138,3,126
ACH-000396,3,126
ACH-000601,3,126
ACH-000552,3,120
ACH-000148,3,113
ACH-001039,3,99
ACH-000348,2,127
ACH-000950,2,127
ACH-000178,1,63
ACH-000954,1,27
