outer_heldout_study,setting,rule,n_tasks,spearman,utility_20,capture_20,remaining_error_80
Cui_direct41,context_and_perturbation_unseen,magnitude,216,0.14073346142485746,-0.046014549485215814,0.20132449298684105,0.11515274455376329
Cui_direct41,context_unseen_row,magnitude,768,0.6166804937634277,0.6361259807193801,0.23820165293403808,0.11285938354485683
Cui_direct41,perturbation_unseen_column,magnitude,1080,0.10165957852479314,-0.0555983869500256,0.19629652172332637,0.10494686658382453
Cui_direct41,random_missing_pair,magnitude,384,0.5818075552382055,0.5604987053207958,0.2340125885697168,0.1092755898799341
Cui_direct41,context_and_perturbation_unseen,fixed_80m_20s,216,0.14270405579246434,-0.0407387871231689,0.20159727954004714,0.11511341428758733
Cui_direct41,context_unseen_row,fixed_80m_20s,768,0.6270766986074208,0.6330741577229071,0.2380208786923488,0.1128861650015985
Cui_direct41,perturbation_unseen_column,fixed_80m_20s,1080,0.10818834671268461,-0.030816188486782317,0.19794729504053307,0.10473131011086699
Cui_direct41,random_missing_pair,fixed_80m_20s,384,0.6063715495693218,0.6276551099515039,0.23802541829634377,0.1087031205039086
Cui_direct41,context_and_perturbation_unseen,one_sided_s0.25,216,0.1511664169830159,-0.03301421697133078,0.20199668321332043,0.11505582841102241
Cui_direct41,context_unseen_row,one_sided_s0.25,768,0.6244245483032334,0.6330741577229071,0.2380208786923488,0.1128861650015985
Cui_direct41,perturbation_unseen_column,one_sided_s0.25,1080,0.10811641794570706,-0.05203910707552786,0.19653360981920318,0.10491590783667572
Cui_direct41,random_missing_pair,one_sided_s0.25,384,0.5997194963089487,0.6276551099515039,0.23802541829634377,0.1087031205039086
Cui_direct41,context_and_perturbation_unseen,one_sided_s0.50,216,0.1634667618499969,-0.013474856594360901,0.20300697791640046,0.11491016448763146
Cui_direct41,context_unseen_row,one_sided_s0.50,768,0.630256690735666,0.6480044109615476,0.23890526982858543,0.11275514366395367
Cui_direct41,perturbation_unseen_column,one_sided_s0.50,1080,0.1133411116709543,-0.030141823555968835,0.19799221533424705,0.10472544445991645
Cui_direct41,random_missing_pair,one_sided_s0.50,384,0.6156063090746761,0.6216081526145354,0.23766409147590323,0.10875466730592372
Cui_direct41,context_and_perturbation_unseen,one_sided_s0.75,216,0.17356149878698318,-0.023465200812509475,0.20249042099484235,0.11498464147698863
Cui_direct41,context_unseen_row,one_sided_s0.75,768,0.6333405337559075,0.656813962022181,0.2394271021610796,0.11267783491737278
Cui_direct41,perturbation_unseen_column,one_sided_s0.75,1080,0.1183728965917355,-0.01551784676023606,0.1989663367674868,0.10459824457232873
Cui_direct41,random_missing_pair,one_sided_s0.75,384,0.627825795277798,0.6239976621174635,0.23780687301428569,0.10873429812413575
Cui_direct41,context_and_perturbation_unseen,one_sided_s1.00,216,0.18258082645245344,0.013341863419876853,0.20439355299673412,0.11471024859609824
Cui_direct41,context_unseen_row,one_sided_s1.00,768,0.6335205298812542,0.6473591777921488,0.23886704954613602,0.11276080594654167
Cui_direct41,perturbation_unseen_column,one_sided_s1.00,1080,0.12402036767032301,-0.013195998455676714,0.1991209979947162,0.10457804905044978
Cui_direct41,random_missing_pair,one_sided_s1.00,384,0.6341238760638912,0.6367355257528496,0.23856800485466453,0.10862571522891754
Cui_direct41,context_and_perturbation_unseen,scenario_a,216,0.14073346142485746,-0.046014549485215814,0.20132449298684105,0.11515274455376329
Cui_direct41,context_unseen_row,scenario_a,768,0.6244245483032334,0.6330741577229071,0.2380208786923488,0.1128861650015985
Cui_direct41,perturbation_unseen_column,scenario_a,1080,0.1183728965917355,-0.01551784676023606,0.1989663367674868,0.10459824457232873
Cui_direct41,random_missing_pair,scenario_a,384,0.5997194963089487,0.6276551099515039,0.23802541829634377,0.1087031205039086
Cui_direct41,context_and_perturbation_unseen,scenario_b,216,0.1511664169830159,-0.03301421697133078,0.20199668321332043,0.11505582841102241
Cui_direct41,context_unseen_row,scenario_b,768,0.630256690735666,0.6480044109615476,0.23890526982858543,0.11275514366395367
Cui_direct41,perturbation_unseen_column,scenario_b,1080,0.1133411116709543,-0.030141823555968835,0.19799221533424705,0.10472544445991645
Cui_direct41,random_missing_pair,scenario_b,384,0.6156063090746761,0.6216081526145354,0.23766409147590323,0.10875466730592372
Cui_direct41,context_and_perturbation_unseen,scenario_c,216,0.14073346142485746,-0.046014549485215814,0.20132449298684105,0.11515274455376329
